,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Treasury Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Preferred Securities Outside Stock Equity,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investmentsin Joint Venturesat Cost,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Net Preferred Stock Issuance,CashFlow_Preferred Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,205530000.0,0.3,207200000.0,685100000.0,941400000.0,-8164300000.0,2981000000.0,21112500000.0,-2057900000.0,-5038900000.0,-6211200000.0,3075200000.0,70500000.0,-8643870000.0,-8164300000.0,39884700000.0,145200000.0,4965240401.0,4965240401.0,-1.64,-1.64,-8164300000.0,-8164300000.0,0.0,-8164300000.0,-8164300000.0,-8164300000.0,50200000.0,-8114100000.0,999800000.0,685100000.0,-925400000.0,240300000.0,-6211200000.0,3206500000.0,3075200000.0,70500000.0,-3608900000.0,18772200000.0,8728600000.0,2981000000.0,10900000.0,2970100000.0,981500000.0,637200000.0,,145200000.0,15163300000.0,21112500000.0,36275800000.0,36275800000.0,,4965240401.0,4965240401.0,223931100000.0,224202300000.0,-206353300000.0,53301300000.0,-1193500000.0,-206353300000.0,24900000.0,-206301200000.0,15270700000.0,-206301200000.0,-206301200000.0,-211266500000.0,-242492800000.0,11694100000.0,4965300000.0,4965300000.0,273599900000.0,257408100000.0,,35425100000.0,411100000.0,,221571900000.0,0.0,221571900000.0,411100000.0,16191800000.0,1939100000.0,2630400000.0,24900000.0,2605500000.0,39000000.0,11652200000.0,2694400000.0,4847700000.0,4110100000.0,67298700000.0,52300400000.0,3257900000.0,2730300000.0,43400000.0,500000.0,224200000.0,500000.0,,,1946000000.0,52100000.0,52100000.0,46547600000.0,-127813000000.0,174360600000.0,928600000.0,642700000.0,95206500000.0,31398200000.0,46184600000.0,0.0,14998300000.0,1103300000.0,14700000.0,468800000.0,3025400000.0,8663300000.0,80000000.0,4203300000.0,965100000.0,3414900000.0,-1815400000.0,4395200000.0,-2860000000.0,7255200000.0,246300000.0,590200000.0,246300000.0,,246300000.0,358500000.0,-9700000.0,500000000.0,0.0,-793700000.0,246300000.0,,191200000.0,-386100000.0,441200000.0,-3476800000.0,-2934000000.0,0.0,0.0,-492200000.0,-982500000.0,,490300000.0,-9700000.0,500000000.0,2765800000.0,660700000.0,65700000.0,1510600000.0,528800000.0,1322500000.0,-793700000.0,1152200000.0,-270900000.0,1574800000.0,-289500000.0,1377800000.0,41900000.0,731500000.0,-292000000.0,5280300000.0,0.0,2981000000.0,10900000.0,2970100000.0,3206500000.0,9900000.0,16000000.0,-9055500000.0
2024-03-31,-70788.711841,0.003436,709500000.0,-20600000.0,0.0,-8468200000.0,3246200000.0,38575900000.0,-258300000.0,-3504500000.0,-5888400000.0,4992900000.0,72300000.0,-8447670788.711841,-8468200000.0,56912500000.0,162100000.0,4965240401.0,4965240401.0,-1.71,-1.71,-8468200000.0,-8468200000.0,0.0,-8468200000.0,-8468200000.0,-8468200000.0,-29200000.0,-8497400000.0,81200000.0,-20600000.0,3500000.0,17100000.0,-5888400000.0,967800000.0,4992900000.0,72300000.0,-2697600000.0,18336600000.0,8200700000.0,3246200000.0,2400000.0,3243800000.0,1435700000.0,1039200000.0,396500000.0,162100000.0,15639000000.0,38575900000.0,54214900000.0,54214900000.0,0.0,4965240401.0,4965240401.0,224471400000.0,224733900000.0,-197820700000.0,26903900000.0,-9432100000.0,-197820700000.0,71300000.0,-197758700000.0,10881200000.0,-197758700000.0,-197758700000.0,-202724000000.0,-234328500000.0,11694100000.0,4965300000.0,4965300000.0,271827000000.0,244473100000.0,,35413600000.0,394800000.0,,208664700000.0,24800000.0,208639900000.0,394800000.0,27353900000.0,2063500000.0,16069200000.0,46500000.0,16022700000.0,58100000.0,9141800000.0,2602500000.0,1652700000.0,4886600000.0,74068300000.0,56146500000.0,3508800000.0,3310800000.0,96700000.0,500000.0,206000000.0,500000.0,0.0,0.0,1990000000.0,62000000.0,62000000.0,50680400000.0,-126429600000.0,177110000000.0,583500000.0,592900000.0,96180500000.0,32873500000.0,46879600000.0,0.0,17921800000.0,100000.0,0.0,1976500000.0,3452900000.0,9415700000.0,65800000.0,5103900000.0,1071800000.0,3174200000.0,-1761900000.0,4647300000.0,-2484500000.0,7131800000.0,191200000.0,1976500000.0,191200000.0,,191200000.0,-11968800000.0,-48054700000.0,34606300000.0,33000000000.0,-361500000.0,191200000.0,,138600000.0,-282100000.0,334700000.0,13639500000.0,-4781100000.0,33000000000.0,33000000000.0,-14528800000.0,-1080400000.0,,-13448400000.0,-48054700000.0,34606300000.0,-1697500000.0,34900000.0,72300000.0,-1514300000.0,-290400000.0,71100000.0,-361500000.0,-11607300000.0,-42100000.0,-12222200000.0,-15800000.0,-548400000.0,-11371200000.0,974600000.0,-1226100000.0,5853400000.0,0.0,3246200000.0,2400000.0,3243800000.0,967800000.0,6600000.0,3500000.0,-8497400000.0
2023-03-31,52650000.0,0.3,-548100000.0,175500000.0,175500000.0,-8804600000.0,3649100000.0,51992700000.0,-372600000.0,-4021700000.0,-4987100000.0,4777800000.0,25300000.0,-8927450000.0,-8804600000.0,73367000000.0,161100000.0,4965240401.0,4965240401.0,-1.77,-1.77,-8804600000.0,-8804600000.0,0.0,-8804600000.0,-8804600000.0,-8804600000.0,5100000.0,-8799500000.0,110400000.0,208000000.0,-222300000.0,14300000.0,-4987100000.0,234600000.0,4777800000.0,25300000.0,-4358300000.0,21374300000.0,10665100000.0,3649100000.0,800000.0,3648300000.0,1641700000.0,1229600000.0,412100000.0,161100000.0,17016000000.0,51992700000.0,69008700000.0,69008700000.0,,4965240401.0,4965240401.0,238971700000.0,239224100000.0,-189010300000.0,50106000000.0,-26052200000.0,-189010300000.0,113800000.0,-189004300000.0,26900000000.0,-189004300000.0,-189004300000.0,-193969600000.0,-225860300000.0,11694100000.0,4965300000.0,4965300000.0,263615400000.0,219488300000.0,,2403100000.0,414300000.0,,215975600000.0,71300000.0,215904300000.0,414300000.0,44127100000.0,2097100000.0,23248500000.0,42500000.0,23206000000.0,69800000.0,18669200000.0,2416600000.0,0.0,16252600000.0,74611100000.0,56536200000.0,906400000.0,586200000.0,67500000.0,205000000.0,204500000.0,500000.0,0.0,0.0,1996900000.0,6000000.0,6000000.0,53664200000.0,-123374300000.0,177038500000.0,471800000.0,564700000.0,96239300000.0,32869100000.0,46893600000.0,0.0,18074900000.0,3523000000.0,1500000.0,457900000.0,5614900000.0,10390300000.0,72500000.0,6119200000.0,1026900000.0,3171700000.0,-1975700000.0,3447400000.0,-2397000000.0,5844400000.0,138600000.0,577100000.0,138600000.0,,138600000.0,7690500000.0,-3397600000.0,0.0,0.0,-442200000.0,138600000.0,,169500000.0,-1168900000.0,1138000000.0,-6868700000.0,-4577000000.0,0.0,0.0,-2266400000.0,1131200000.0,1131200000.0,-3397600000.0,-3397600000.0,0.0,-126000000.0,29400000.0,20900000.0,-19400000.0,-156900000.0,285300000.0,-442200000.0,8132700000.0,-61400000.0,8412300000.0,1014000000.0,536300000.0,2990700000.0,2453900000.0,1372900000.0,4917000000.0,213500000.0,3649100000.0,800000.0,3648300000.0,234600000.0,-9800000.0,-222300000.0,-8799500000.0
2022-03-31,0.0,0.003916,6089400000.0,-127500000.0,-127500000.0,-2086000000.0,3421600000.0,48840500000.0,6089400000.0,2667800000.0,-4762000000.0,4762000000.0,35800000.0,-2086000000.0,-2086000000.0,70866500000.0,157200000.0,4966666667.0,4966666667.0,-0.42,-0.42,-2086000000.0,-2086000000.0,0.0,-2086000000.0,-2086000000.0,-2086000000.0,-8200000.0,-2094200000.0,449100000.0,-134300000.0,-10100000.0,144400000.0,-4762000000.0,,4762000000.0,35800000.0,2228500000.0,22026000000.0,14111400000.0,3421600000.0,300000.0,3421600000.0,1379600000.0,977400000.0,402200000.0,157200000.0,24254500000.0,48840500000.0,73095000000.0,73095000000.0,,4965240401.0,4965240401.0,240851700000.0,241021200000.0,-179074500000.0,61948100000.0,-13917900000.0,-179074500000.0,,-179073100000.0,42883200000.0,-179073100000.0,-179073100000.0,-184038400000.0,-217055700000.0,11694100000.0,4965300000.0,4965300000.0,261348800000.0,224771200000.0,,2393500000.0,421400000.0,,221956300000.0,,221956300000.0,421400000.0,36577600000.0,9900000.0,19064900000.0,,19064900000.0,55200000.0,15602700000.0,2345300000.0,,13257400000.0,82275700000.0,59616100000.0,-100000.0,529900000.0,61200000.0,203800000.0,203300000.0,500000.0,0.0,0.0,2004100000.0,1400000.0,1400000.0,56794900000.0,-120228400000.0,177023300000.0,605300000.0,579500000.0,96391200000.0,32800200000.0,46647100000.0,0.0,22659700000.0,3449000000.0,20000000.0,423700000.0,5551800000.0,12844200000.0,120100000.0,4187800000.0,5192400000.0,3343900000.0,-1516000000.0,5166500000.0,-2234400000.0,7400900000.0,169500000.0,1030500000.0,169500000.0,41700000.0,127800000.0,1178500000.0,-18200000.0,1559000000.0,,-1069900000.0,169500000.0,,1936500000.0,-414500000.0,-1352500000.0,-2931800000.0,-4472600000.0,,,1540800000.0,1559000000.0,1559000000.0,-18200000.0,-18200000.0,0.0,-669100000.0,14500000.0,23900000.0,360800000.0,-1068300000.0,1600000.0,-1069900000.0,2248400000.0,-58900000.0,-3766700000.0,163500000.0,-1472900000.0,2378700000.0,-3200500000.0,-1732500000.0,4635200000.0,120200000.0,3421600000.0,300000.0,3421600000.0,,-30500000.0,-10100000.0,-2094200000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,367200000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1573200000.0,,,,,,,,100000.0,,,,,,,,,,792400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
