,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Extraordinary,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Special Income Charges,Income_Other Special Charges,Income_Gain On Sale Of Security,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Insurance And Claims,Income_Rent And Landing Fees,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Fixed Assets Revaluation Reserve,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Long Term Debt And Capital Lease Obligation,Balance_Payables,Balance_Other Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Investments And Advances,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Properties,Balance_Prepaid Assets,Balance_Receivables,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,Balance_Cash Cash Equivalents And Federal Funds Sold,CashFlow_Free Cash Flow,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Investment Purchase And Sale,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Deferred Tax,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Pension And Employee Benefit Expense,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,168678.74266,0.06953,2426000.0,2426000.0,666414000.0,253266000.0,4832853000.0,8365919000.0,13198772000.0,664156678.74266,666414000.0,280808754.0,280808754.0,2.37,2.37,666414000.0,666414000.0,666414000.0,666442000.0,0.0,666442000.0,49800000.0,716242000.0,2426000.0,-2426000.0,131899000.0,5569383000.0,1330720000.0,253266000.0,253266000.0,43909000.0,12075000.0,31834000.0,232046000.0,560982000.0,6355483000.0,6524900000.0,394698851.0,394698851.0,2000000000.0,13952857000.0,15952900000.0,13952857000.0,13952857000.0,15952900000.0,13952857000.0,13952857000.0,1586381000.0,-7112474000.0,11560538000.0,3946989000.0,3946989000.0,165416516000.0,2000000000.0,510576000.0,267753000.0,242823000.0,179369373000.0,39551519000.0,39551519000.0,,0.0,2815576000.0,-2829019000.0,5644595000.0,151426000.0,,2257135000.0,571328000.0,3306871000.0,12576909000.0,499970000.0,960710000.0,12576909000.0,-374092000.0,2922924000.0,-326216000.0,10798231000.0,9746247000.0,1051984000.0,1422923000.0,-1500000000.0,2922924000.0,2922924000.0,,,-323063000.0,0.0,-323063000.0,3153000.0,-326216000.0,-47876000.0,93840000.0,-1339725000.0,-228842000.0,-69063000.0,-7624000.0,225292000.0,,253266000.0,253266000.0,0.0,-2426000.0,716224000.0
2024-03-31,453427.328378,0.179646,2524000.0,2524000.0,578219000.0,250769000.0,4584517000.0,7485389000.0,12069906000.0,576148427.328378,578219000.0,261394472.0,261394472.0,2.21,2.21,578219000.0,578219000.0,578219000.0,578118000.0,0.0,578118000.0,126600000.0,704718000.0,2524000.0,-2524000.0,190247000.0,5414695000.0,1078834000.0,250769000.0,250769000.0,46305000.0,11489000.0,34816000.0,216165000.0,497097000.0,5805774000.0,5805774000.0,311989327.0,311989327.0,2990350000.0,10297622000.0,13287972000.0,10297622000.0,10297622000.0,13287972000.0,10297622000.0,10297622000.0,1593682000.0,-7612278000.0,10054482000.0,2530121000.0,2530121000.0,149321266000.0,2990350000.0,436462000.0,173000000.0,263462000.0,159618888000.0,39423992000.0,39423992000.0,258323000.0,0.0,2743353000.0,-2705769000.0,5449122000.0,78224000.0,3113763000.0,2257135000.0,597363000.0,3036755000.0,12115329000.0,1999975000.0,1060649000.0,12115329000.0,-246126000.0,0.0,-419051000.0,9746247000.0,8466269000.0,1279978000.0,0.0,,0.0,0.0,,,1107053000.0,1522910000.0,-415857000.0,3194000.0,-419051000.0,172925000.0,-70487000.0,-789812000.0,110886000.0,52110000.0,207341000.0,-259821000.0,,250769000.0,250769000.0,85800000.0,-2524000.0,704777000.0
2023-03-31,2300700.0,0.3,7669000.0,7669000.0,493625000.0,211074000.0,4757533000.0,5954838000.0,10712371000.0,488256700.0,493625000.0,311989327.0,311989327.0,1.58138,1.58138,493625000.0,493625000.0,493625000.0,493637000.0,0.0,493637000.0,-177500000.0,316137000.0,7669000.0,-7669000.0,-424322000.0,4277566000.0,875839000.0,211074000.0,211074000.0,49277000.0,9537000.0,39740000.0,193467000.0,468393000.0,5495034000.0,5495034000.0,311989327.0,311989327.0,4923785000.0,9611506000.0,14535291000.0,9611506000.0,9611506000.0,14535291000.0,9611506000.0,9611506000.0,1601036000.0,-7887965000.0,10054482000.0,2530121000.0,2530121000.0,141709819000.0,4923785000.0,549058000.0,270374000.0,278684000.0,151321325000.0,38886427000.0,38886427000.0,13278000.0,0.0,2575741000.0,-2491812000.0,5067553000.0,67153000.0,2743265000.0,2257135000.0,514313000.0,2257006000.0,11019914000.0,0.0,1051031000.0,11019914000.0,1812029000.0,,-351927000.0,8466269000.0,7358407000.0,1107862000.0,0.0,,,,,,-1056094000.0,-712700000.0,-343394000.0,8533000.0,-351927000.0,2163956000.0,1260000.0,101700000.0,-218757000.0,-201217000.0,203554000.0,943552000.0,,211074000.0,211074000.0,28585000.0,-7669000.0,316135000.0
2022-03-31,647100.0,0.3,2157000.0,2157000.0,359041000.0,200171000.0,3623133000.0,5543242000.0,9166375000.0,357531100.0,359041000.0,312027381.0,311989327.0,1.151569,1.151569,359041000.0,359041000.0,359041000.0,359041000.0,0.0,359041000.0,11900000.0,359041000.0,2157000.0,-2157000.0,793265000.0,3971328000.0,751282000.0,200171000.0,200171000.0,39891000.0,3380000.0,36511000.0,174627000.0,454645000.0,5312157000.0,5312157000.0,311989327.0,311989327.0,1500000000.0,9000027000.0,10500027000.0,9000027000.0,9000027000.0,10500027000.0,9000027000.0,9000027000.0,1380676000.0,-8257840000.0,10054482000.0,2530121000.0,2530121000.0,128957609000.0,1500000000.0,564048000.0,320987000.0,243061000.0,137957636000.0,40440582000.0,40440582000.0,717143000.0,0.0,2210001000.0,-2325465000.0,4535466000.0,0.0,2538561000.0,1996905000.0,503201000.0,1912309000.0,10005682000.0,0.0,1013603000.0,10005682000.0,1226838000.0,,-161541000.0,7358407000.0,9849729000.0,-2491322000.0,0.0,,,,0.0,0.0,-3879701000.0,-3720971000.0,-158730000.0,2811000.0,-161541000.0,1388379000.0,-9883000.0,56146000.0,-138749000.0,42960000.0,184155000.0,659291000.0,,200171000.0,200171000.0,28585000.0,-2157000.0,370946000.0
