,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Restructuring And Mergern Acquisition,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investmentsin Joint Venturesat Cost,Balance_Investmentsin Associatesat Cost,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Assets Held For Sale Current,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Intangibles Purchase And Sale,CashFlow_Purchase Of Intangibles,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Gain Loss On Sale Of Business,CashFlow_Net Income From Continuing Operations
2025-03-31,-18399000.0,0.3,-1666990000.0,-61330000.0,-61330000.0,-2161000000.0,244840000.0,1891310000.0,-1728320000.0,-1973160000.0,-173890000.0,197430000.0,30090000.0,-2118069000.0,-2161000000.0,6620290000.0,105100000.0,81198827.0,81198827.0,-26.614631,-26.614631,-2161000000.0,-2161000000.0,0.0,-2161000000.0,19230000.0,-2180230000.0,-2180230000.0,9640000.0,-2170590000.0,39000000.0,-58510000.0,58460000.0,50000.0,,,-173890000.0,6550000.0,197430000.0,30090000.0,-1969980000.0,4728980000.0,522000000.0,244840000.0,2140000.0,242700000.0,2176660000.0,2020530000.0,156130000.0,42450000.0,2759000000.0,1891310000.0,4650310000.0,4650310000.0,81198827.0,81198827.0,2512610000.0,3382340000.0,571600000.0,3197730000.0,107720000.0,571600000.0,771880000.0,587270000.0,3017730000.0,602580000.0,15310000.0,587270000.0,329400000.0,-3404340000.0,2759390000.0,257890000.0,257890000.0,5827660000.0,3324550000.0,,180770000.0,,3143780000.0,713320000.0,2430460000.0,180800000.0,2503110000.0,543000000.0,238560000.0,58560000.0,180000000.0,134660000.0,1774180000.0,369810000.0,1404370000.0,6430240000.0,3819410000.0,10000.0,92320000.0,22070000.0,39370000.0,1000000.0,38370000.0,301490000.0,0.0,301490000.0,0.0,15670000.0,15410000.0,260000.0,1974930000.0,-706400000.0,2681330000.0,0.0,1974900000.0,1524890000.0,1156440000.0,0.0,2610830000.0,629100000.0,185810000.0,621960000.0,,299150000.0,0.0,1401170000.0,-216960000.0,1618130000.0,102740000.0,4890000.0,97850000.0,13160000.0,84690000.0,-2233390000.0,-417000000.0,2710290000.0,-789660000.0,97850000.0,,143520000.0,-45670000.0,2132260000.0,-26560000.0,2293290000.0,,,2293290000.0,-417000000.0,2710290000.0,-734200000.0,,27450000.0,20120000.0,148220000.0,-128100000.0,,,-781770000.0,7890000.0,-789660000.0,-1443730000.0,89540000.0,174320000.0,-26400000.0,-213020000.0,517510000.0,,-123020000.0,134040000.0,15970000.0,244840000.0,2140000.0,242700000.0,2820000.0,,59450000.0,,-2170590000.0
2024-03-31,300000.0,0.3,-63460000.0,1000000.0,1000000.0,-202290000.0,94770000.0,1235700000.0,-62460000.0,-157230000.0,2710000.0,43290000.0,48630000.0,-202990000.0,-202290000.0,4056100000.0,168040000.0,81198827.0,81198827.0,-2.493137,-2.493137,-202290000.0,-202290000.0,0.0,-202290000.0,11380000.0,-213670000.0,-213670000.0,13150000.0,-200520000.0,152170000.0,-25250000.0,5450000.0,19800000.0,,0.0,2710000.0,2630000.0,43290000.0,48630000.0,-356040000.0,2820400000.0,207440000.0,94770000.0,2760000.0,92010000.0,1040700000.0,929310000.0,111390000.0,113970000.0,2464360000.0,1235700000.0,3700060000.0,3700060000.0,81198827.0,81198827.0,162530000.0,1134860000.0,2575960000.0,2889010000.0,423180000.0,2575960000.0,828810000.0,2582960000.0,2889010000.0,2858640000.0,275680000.0,2582960000.0,4120000.0,-1408650000.0,2759390000.0,257890000.0,257890000.0,3134980000.0,1231300000.0,,159420000.0,,1071880000.0,765830000.0,306050000.0,159400000.0,1903680000.0,597500000.0,62980000.0,62980000.0,0.0,122810000.0,1151480000.0,228630000.0,922850000.0,5993620000.0,3666760000.0,10000.0,148430000.0,21770000.0,42920000.0,1730000.0,41190000.0,307320000.0,0.0,307320000.0,168340000.0,7000000.0,6740000.0,260000.0,1513980000.0,-665650000.0,2179630000.0,363490000.0,1150500000.0,625050000.0,1191090000.0,0.0,2326860000.0,467500000.0,0.0,464860000.0,,256560000.0,34620000.0,1294190000.0,-200990000.0,1495180000.0,276630000.0,133110000.0,143520000.0,43470000.0,100050000.0,-1046520000.0,-30400000.0,306050000.0,-370650000.0,143520000.0,,107330000.0,36190000.0,213440000.0,-6210000.0,275650000.0,0.0,0.0,275650000.0,-30400000.0,306050000.0,498620000.0,,44860000.0,774000000.0,774000000.0,0.0,,,-370240000.0,410000.0,-370650000.0,-675870000.0,50870000.0,-380990000.0,-23620000.0,-360640000.0,470480000.0,,-483490000.0,-149120000.0,-80210000.0,94770000.0,2760000.0,92010000.0,-26250000.0,,5450000.0,0.0,-200520000.0
2023-03-31,12145203.681447,0.162914,749650000.0,74550000.0,74550000.0,487310000.0,171200000.0,1043290000.0,824200000.0,653000000.0,38600000.0,20640000.0,67180000.0,424905203.681447,487310000.0,3416270000.0,72670000.0,81198827.0,81198827.0,6.002584,6.002584,487310000.0,487310000.0,0.0,487310000.0,-42030000.0,529340000.0,529340000.0,103020000.0,632360000.0,65590000.0,77920000.0,-142180000.0,31810000.0,,32450000.0,38600000.0,7940000.0,20640000.0,67180000.0,442360000.0,2372980000.0,289060000.0,171200000.0,2390000.0,168810000.0,583740000.0,450190000.0,133550000.0,42140000.0,2815340000.0,1043290000.0,3858630000.0,3858630000.0,81198827.0,81198827.0,,75020000.0,2786700000.0,2826790000.0,797140000.0,2786700000.0,44620000.0,2796390000.0,2809620000.0,3084200000.0,287810000.0,2796390000.0,4120000.0,-1195220000.0,2759390000.0,257890000.0,257890000.0,1575570000.0,161220000.0,,131130000.0,,30090000.0,16860000.0,13230000.0,131100000.0,1414350000.0,558900000.0,44930000.0,27760000.0,17170000.0,122010000.0,793680000.0,191960000.0,601720000.0,4659770000.0,2448280000.0,1010000.0,115200000.0,20300000.0,16180000.0,1240000.0,14940000.0,305250000.0,2450000.0,302800000.0,172220000.0,9690000.0,9430000.0,260000.0,304540000.0,-608070000.0,912610000.0,0.0,304500000.0,567330000.0,345280000.0,0.0,2211490000.0,1930000.0,,322910000.0,,159860000.0,27870000.0,737270000.0,-207190000.0,944460000.0,963580000.0,856250000.0,107330000.0,0.0,107330000.0,-240060000.0,-61010000.0,0.0,-110560000.0,107330000.0,-110000.0,33670000.0,73770000.0,-192400000.0,-9990000.0,-61010000.0,-42500000.0,-42500000.0,-18510000.0,-18510000.0,0.0,395670000.0,277200000.0,60440000.0,494610000.0,494610000.0,0.0,,,-109380000.0,1180000.0,-110560000.0,-129500000.0,-166600000.0,-587360000.0,-456650000.0,-102570000.0,57180000.0,0.0,-60150000.0,-98600000.0,54760000.0,171200000.0,2390000.0,168810000.0,-103240000.0,,7910000.0,-43480000.0,632360000.0
2022-03-31,-21676470.771824,0.118192,1431490000.0,-183400000.0,-183400000.0,798410000.0,189440000.0,832490000.0,1248090000.0,1058650000.0,-70680000.0,97420000.0,31270000.0,960133529.228176,798410000.0,2892510000.0,27480000.0,81198827.0,81198827.0,9.829628,9.829628,798410000.0,798410000.0,0.0,798410000.0,-49210000.0,847620000.0,847620000.0,113610000.0,961230000.0,119680000.0,-259400000.0,19600000.0,239800000.0,,,-70680000.0,4530000.0,97420000.0,31270000.0,1071450000.0,2060020000.0,71530000.0,189440000.0,2300000.0,187140000.0,629320000.0,470580000.0,158740000.0,14490000.0,3131470000.0,832490000.0,3963960000.0,3963960000.0,81198827.0,81198827.0,57740000.0,218240000.0,2242270000.0,2419900000.0,555320000.0,2242270000.0,126830000.0,2328490000.0,2360230000.0,2567400000.0,238910000.0,2328490000.0,77770000.0,-1603370000.0,2759390000.0,257890000.0,257890000.0,2225660000.0,195580000.0,,142760000.0,0.0,52820000.0,21080000.0,31740000.0,142800000.0,2030080000.0,1032500000.0,165420000.0,105750000.0,59670000.0,127450000.0,788270000.0,187180000.0,601090000.0,4793060000.0,2207660000.0,1010000.0,69730000.0,16410000.0,18760000.0,450000.0,18310000.0,300380000.0,3620000.0,296760000.0,219150000.0,86220000.0,8560000.0,77660000.0,379230000.0,-478660000.0,857890000.0,,379300000.0,552080000.0,305810000.0,0.0,2585400000.0,2060000.0,,261250000.0,,89680000.0,339180000.0,737090000.0,-160240000.0,897330000.0,1158200000.0,1124530000.0,33670000.0,0.0,33670000.0,1482060000.0,-590620000.0,23330000.0,-63760000.0,33670000.0,,79690000.0,-46020000.0,-811140000.0,-73960000.0,-567290000.0,-500280000.0,-500280000.0,-67010000.0,-90340000.0,23330000.0,-780700000.0,,24050000.0,-742950000.0,225490000.0,-968440000.0,0.0,0.0,-61800000.0,1960000.0,-63760000.0,1545820000.0,-158390000.0,582640000.0,425170000.0,188790000.0,-407730000.0,0.0,369290000.0,-18910000.0,31890000.0,189440000.0,,189440000.0,-76000000.0,0.0,19600000.0,0.0,961230000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1800000.0,,,,,,,,,,,,,,,,,,,,,,579010000.0,,,,,,,,,,,,,,,,,,,600000.0,,580000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,-28630000.0,,,,,,-315680000.0,-315680000.0,,,,,-100000.0,,,,,-2910000.0,-2910000.0,,,,,,,,,,5690000.0,,,,,,,,0.0,,-337280000.0,
