,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Accrued Expenses,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Financial Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investmentsin Associatesat Cost,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Sale Of Business,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Capital Expenditure Reported,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,-131684085.837467,0.282555,4391837000.0,-466048000.0,-466048000.0,1150554000.0,2005948000.0,14074155000.0,3925789000.0,1919841000.0,-149788000.0,316159000.0,197706000.0,1484917914.162533,1150554000.0,19499535000.0,3723000.0,192977530.0,192977530.0,5.96,5.96,1150554000.0,1150554000.0,0.0,1150554000.0,1150554000.0,1150554000.0,453128000.0,1603682000.0,142516000.0,-724000.0,724000.0,,-149788000.0,31335000.0,316159000.0,197706000.0,1943672000.0,5425380000.0,1069408000.0,2005948000.0,3250000.0,2002698000.0,2022598000.0,1737251000.0,285347000.0,3723000.0,7369052000.0,14074155000.0,21443207000.0,21443207000.0,192977530.0,192977530.0,5340931000.0,5876712000.0,44511517000.0,50386248000.0,13710669000.0,44511517000.0,28147000.0,44537683000.0,44537683000.0,44537683000.0,44537683000.0,44151700000.0,42904946000.0,202993000.0,385959000.0,385959000.0,11943937000.0,1089074000.0,49469000.0,67981000.0,0.0,,0.0,949347000.0,22277000.0,22277000.0,0.0,68000000.0,10854863000.0,7201000.0,,5854435000.0,5870000.0,5848565000.0,13292000.0,32583000.0,4850338000.0,658614000.0,56716000.0,142091000.0,3992917000.0,56481620000.0,31916088000.0,48648000.0,547218000.0,,0.0,4186939000.0,8000000.0,4178939000.0,5892705000.0,5892705000.0,64760000.0,26166000.0,16869000.0,9297000.0,20083932000.0,-15075132000.0,35159064000.0,787042000.0,2817838000.0,24690311000.0,6424221000.0,439652000.0,0.0,24565532000.0,587466000.0,0.0,189947000.0,580972000.0,12546380000.0,4575023000.0,4508785000.0,3462572000.0,223096000.0,175312000.0,4428709000.0,-51354000.0,4480063000.0,5833650000.0,5326016000.0,507634000.0,312759000.0,194875000.0,974754000.0,,-1822303000.0,507634000.0,15999000.0,1370517000.0,-878882000.0,-1591454000.0,,-337458000.0,-872499000.0,-376316000.0,-376316000.0,,-2084485000.0,-730181000.0,281366000.0,19350000.0,-253069000.0,9177205000.0,-9430274000.0,387173000.0,387173000.0,-372800000.0,-1789124000.0,33179000.0,-1822303000.0,,2797057000.0,-447200000.0,-737286000.0,59212000.0,-721460000.0,-92181000.0,-656106000.0,665821000.0,5816000.0,12965000.0,2005948000.0,3250000.0,2002698000.0,446322000.0,29633000.0,724000.0,1603682000.0
2024-03-31,19953455.093655,0.21169,5963263000.0,94258000.0,94258000.0,3116791000.0,1746514000.0,16252271000.0,6057521000.0,4311007000.0,74607000.0,357245000.0,431993000.0,3042486455.093655,3116791000.0,21170403000.0,3688000.0,192977530.0,192977530.0,16.15,16.15,3116791000.0,3116791000.0,0.0,3116791000.0,3116791000.0,3116791000.0,836971000.0,3953762000.0,300683000.0,12860000.0,-12860000.0,0.0,74607000.0,141000.0,357245000.0,431993000.0,2627795000.0,4918132000.0,737182000.0,1746513000.0,1530000.0,1744983000.0,1619001000.0,1385006000.0,233995000.0,3688000.0,7545927000.0,16252271000.0,23798198000.0,23798198000.0,192977530.0,192977530.0,4823264000.0,6226755000.0,44247067000.0,50453193000.0,14622682000.0,44247067000.0,32974000.0,44259412000.0,44259412000.0,44259412000.0,44259412000.0,43873400000.0,42626675000.0,202993000.0,385959000.0,385959000.0,12754246000.0,1078618000.0,41845000.0,49784000.0,0.0,,0.0,960373000.0,26616000.0,26616000.0,0.0,49800000.0,11675628000.0,13878000.0,,6200139000.0,6358000.0,6193781000.0,9551000.0,32583000.0,5335482000.0,904503000.0,60816000.0,117204000.0,4252959000.0,57013658000.0,30715348000.0,40130000.0,479933000.0,,0.0,2813900000.0,2000000.0,2811900000.0,5949416000.0,5949416000.0,69069000.0,12345000.0,12345000.0,0.0,20290991000.0,-13382402000.0,33673393000.0,2215926000.0,1717783000.0,23408515000.0,5893377000.0,437792000.0,0.0,26298310000.0,561046000.0,12635000.0,218736000.0,777849000.0,11941523000.0,5055861000.0,3518252000.0,3367410000.0,535989000.0,48350000.0,5082488000.0,-35945000.0,5118433000.0,7119694000.0,5749177000.0,1370517000.0,1186654000.0,183863000.0,2407036000.0,,-3715180000.0,1370517000.0,-1000.0,332883000.0,1037635000.0,-3241231000.0,100000.0,-386560000.0,-1634962000.0,-1215292000.0,-1215292000.0,,-1843350000.0,14489000.0,526169000.0,23649000.0,1269648000.0,9976886000.0,-8707238000.0,12685000.0,12685000.0,0.0,-3689990000.0,25190000.0,-3715180000.0,,6122216000.0,-354333000.0,2328139000.0,-121949000.0,-468981000.0,645584000.0,2459627000.0,-207739000.0,-639061000.0,27042000.0,1746514000.0,1530000.0,1744984000.0,-105047000.0,-5322000.0,-12860000.0,3953762000.0
2023-03-31,39447849.643992,0.21401,7869872000.0,184327000.0,184327000.0,5324084000.0,1023033000.0,14196730000.0,8054199000.0,7031166000.0,249417000.0,257436000.0,508057000.0,5179204849.643992,5324084000.0,19120338000.0,3688000.0,192977530.0,192977530.0,27.59,27.59,5324084000.0,5324084000.0,0.0,5324084000.0,5324084000.0,5324084000.0,1449647000.0,6773730000.0,237921000.0,-19025000.0,3431000.0,15594000.0,249417000.0,1204000.0,257436000.0,508057000.0,5232820000.0,4923608000.0,1166445000.0,1023032000.0,615000.0,1022417000.0,2122100000.0,1896201000.0,225899000.0,3688000.0,10156428000.0,14196730000.0,24353158000.0,24353158000.0,192977530.0,192977530.0,7076190000.0,7425698000.0,42806031000.0,50218458000.0,15363733000.0,42806031000.0,16625000.0,42809385000.0,42809385000.0,42809385000.0,42809385000.0,42423000000.0,41147784000.0,202993000.0,385959000.0,385959000.0,14110207000.0,949313000.0,36959000.0,30582000.0,0.0,,0.0,867966000.0,13806000.0,13806000.0,0.0,30600000.0,13160894000.0,12251000.0,,7411892000.0,2819000.0,7409073000.0,7156000.0,43547000.0,5656655000.0,1337423000.0,55469000.0,144260000.0,4119503000.0,56919592000.0,28394965000.0,556498000.0,656209000.0,,0.0,2195008000.0,2000000.0,2193008000.0,5162731000.0,5162731000.0,72480000.0,3354000.0,3354000.0,,18271739000.0,-11752833000.0,30024572000.0,4720080000.0,954217000.0,19905851000.0,4323653000.0,120771000.0,0.0,28524627000.0,87133000.0,27405000.0,467406000.0,498116000.0,14401150000.0,5598680000.0,3559337000.0,5243133000.0,327284000.0,151808000.0,4891399000.0,-8902000.0,4900301000.0,7672926000.0,7340043000.0,332883000.0,0.0,332883000.0,-3664222000.0,,-4797384000.0,332883000.0,6000.0,410352000.0,-77475000.0,-999551000.0,-230200000.0,-231369000.0,-1538357000.0,775068000.0,775068000.0,,-211086000.0,14316000.0,441159000.0,19763000.0,4091910000.0,24858716000.0,-20766806000.0,10179000.0,10179000.0,,-4788413000.0,8971000.0,-4797384000.0,,1133162000.0,-1480110000.0,-3899228000.0,-9265000.0,79791000.0,-378186000.0,-4623011000.0,1039895000.0,-262289000.0,-33055000.0,1023033000.0,615000.0,1022418000.0,-223115000.0,-3328000.0,3431000.0,6773730000.0
2022-03-31,71073624.656597,0.230907,6159923000.0,307802000.0,307802000.0,4310435000.0,792876000.0,12638218000.0,6467725000.0,5674849000.0,253633000.0,70280000.0,324539000.0,4073706624.656597,4310435000.0,17193696000.0,3688000.0,192977530.0,192977530.0,22.336,22.336,4310435000.0,4310435000.0,0.0,4310435000.0,4310435000.0,4310435000.0,1294134000.0,5604569000.0,81629000.0,-34032000.0,28135000.0,5897000.0,253633000.0,626000.0,70280000.0,324539000.0,4538578000.0,4555478000.0,1382664000.0,792876000.0,987000.0,791889000.0,1854520000.0,1666718000.0,187802000.0,3688000.0,9094056000.0,12638218000.0,21732274000.0,21732274000.0,192977530.0,192977530.0,6223653000.0,6646799000.0,39135297000.0,45770300000.0,17199432000.0,39135297000.0,12794000.0,39136295000.0,39136295000.0,39136295000.0,39136295000.0,38750400000.0,37474694000.0,202993000.0,385959000.0,385959000.0,13943064000.0,1072210000.0,39308000.0,38106000.0,0.0,24046000.0,0.0,962917000.0,7833000.0,7833000.0,0.0,38106000.0,12870854000.0,8801000.0,,6638966000.0,4961000.0,6634005000.0,7727000.0,43905000.0,6127399000.0,1519247000.0,50007000.0,79234000.0,4478911000.0,53079359000.0,23009072000.0,47084000.0,807810000.0,,0.0,1586590000.0,1048909000.0,537681000.0,4482220000.0,4482220000.0,76065000.0,998000.0,998000.0,,14511447000.0,-10828581000.0,25340028000.0,6960756000.0,323973000.0,15152948000.0,2781580000.0,120771000.0,0.0,30070286000.0,60772000.0,952000.0,242079000.0,624861000.0,9778139000.0,2413477000.0,2769624000.0,4595038000.0,418429000.0,590150000.0,5891728000.0,-41957000.0,5933685000.0,12463176000.0,12052824000.0,410352000.0,,410352000.0,-5001397000.0,,-3595281000.0,410352000.0,1000.0,213739000.0,196612000.0,3436291000.0,-99500000.0,-100951000.0,-120853000.0,3663327000.0,3663327000.0,,-1833563000.0,13221000.0,270043000.0,11431000.0,1455468000.0,14829836000.0,-13374368000.0,2728000.0,2728000.0,,-3586454000.0,8827000.0,-3595281000.0,,-1406116000.0,-1281537000.0,-5548317000.0,313408000.0,-789998000.0,1887374000.0,-3972044000.0,-2992493000.0,-262885000.0,-2886000.0,792876000.0,987000.0,791889000.0,-353265000.0,15909000.0,28135000.0,5604569000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39509000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43906000.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2967726000.0,,,,,,,,,,,,-2967726000.0,,,,,,,,,,,,,,323663000.0,,,,,,,,,,,,,,,,,
