,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Research And Development,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Subsidiariesat Cost,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Net Business Purchase And Sale,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Pension And Employee Benefit Expense,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,15867000.0,0.3,389663000.0,52890000.0,52890000.0,138573000.0,138639000.0,3458621000.0,442553000.0,303913000.0,-34951000.0,51417000.0,35617000.0,101550000.0,138573000.0,4170741000.0,3876000.0,121810687.0,121810687.0,1.14,1.14,138573000.0,138573000.0,0.0,138573000.0,138573000.0,138573000.0,113923000.0,252496000.0,1145000.0,0.0,,-34951000.0,19151000.0,51417000.0,35617000.0,232370000.0,712120000.0,11739000.0,138640000.0,3509000.0,135131000.0,30201000.0,123988000.0,57927000.0,66061000.0,3876000.0,944490000.0,3458621000.0,4403111000.0,4403111000.0,129669080.0,129669080.0,562232000.0,889140000.0,6791442000.0,7666704000.0,1796230000.0,6791442000.0,44655000.0,6822219000.0,7122684000.0,6822219000.0,6822219000.0,6692550000.0,1862548000.0,4739728000.0,129669000.0,129669000.0,2509328000.0,556775000.0,,2461000.0,7624000.0,213896000.0,332794000.0,32329000.0,300465000.0,2461000.0,1952553000.0,30951000.0,20098000.0,556346000.0,12326000.0,544020000.0,28985000.0,28985000.0,1347124000.0,415245000.0,99000.0,20098000.0,931780000.0,9331547000.0,5582764000.0,183091000.0,45477000.0,,59176000.0,59176000.0,,,30777000.0,30777000.0,5491928000.0,-998756000.0,6490684000.0,3061217000.0,297129000.0,2425727000.0,550792000.0,155819000.0,0.0,3748783000.0,410874000.0,15522000.0,411872000.0,1297109000.0,1997000.0,513423000.0,276005000.0,505684000.0,2443000.0,916000.0,1738607000.0,0.0,1738607000.0,282314000.0,61000.0,282253000.0,265283000.0,16970000.0,-3050820000.0,2557918000.0,-2522831000.0,287981000.0,,99249000.0,0.0,188732000.0,2716632000.0,1000.0,-48748000.0,-12449000.0,,2557918000.0,2557918000.0,230275000.0,99225000.0,131050000.0,-1999911000.0,,35581000.0,451677000.0,,,-2487169000.0,35662000.0,-2522831000.0,-527989000.0,-72163000.0,-817533000.0,41459000.0,-291290000.0,282273000.0,-182222000.0,-667753000.0,14275000.0,,138639000.0,3509000.0,135130000.0,11687000.0,-52890000.0,-2850000.0,350000.0,252496000.0
2024-03-31,4172616.97781,0.323183,418850000.0,12911000.0,12911000.0,182214000.0,109799000.0,3159184000.0,431761000.0,321961000.0,-68534000.0,52739000.0,8360000.0,173475616.97781,182214000.0,3754129000.0,3750000.0,1135027090.0,1040548300.0,0.161,0.175,182214000.0,182214000.0,0.0,182214000.0,182214000.0,182214000.0,87008000.0,269222000.0,2299000.0,0.0,,-68534000.0,24155000.0,52739000.0,8360000.0,320857000.0,594945000.0,9002000.0,109800000.0,1340000.0,108460000.0,25090000.0,117521000.0,53086000.0,64435000.0,3750000.0,915802000.0,3159184000.0,4074986000.0,4074986000.0,104054830.0,104054830.0,520616000.0,616388000.0,4114733000.0,4751270000.0,1547861000.0,4114733000.0,2251000.0,4137133000.0,4306547000.0,4137133000.0,4137133000.0,851182000.0,1735380000.0,1356242000.0,104055000.0,104055000.0,1623307000.0,368110000.0,1000.0,160000.0,9148000.0,187271000.0,171530000.0,2116000.0,169414000.0,160000.0,1255197000.0,71000.0,2646000.0,444858000.0,135000.0,444723000.0,20760000.0,11912000.0,786759000.0,134135000.0,94000.0,2646000.0,652530000.0,5760440000.0,2957381000.0,-1000.0,50963000.0,,71285000.0,71285000.0,,,22400000.0,22400000.0,2863953000.0,-864488000.0,3728441000.0,724700000.0,230115000.0,2286026000.0,331781000.0,155819000.0,0.0,2803058000.0,-1000.0,17012000.0,119217000.0,1114889000.0,1685000.0,583057000.0,197595000.0,332552000.0,2360000.0,60000.0,1071026000.0,0.0,1071026000.0,478495000.0,384974000.0,93521000.0,44307000.0,49214000.0,-447667000.0,851182000.0,-790546000.0,99249000.0,,29355000.0,77000.0,69817000.0,883146000.0,,-51311000.0,-31216000.0,,851182000.0,851182000.0,114491000.0,110796000.0,3695000.0,-1156208000.0,-1000.0,8360000.0,-374022000.0,0.0,0.0,-790546000.0,0.0,-790546000.0,342879000.0,-47640000.0,-28308000.0,-22195000.0,-85361000.0,64336000.0,-201714000.0,216626000.0,42988000.0,0.0,109799000.0,1340000.0,108459000.0,9001000.0,-12911000.0,-556000.0,1281000.0,269222000.0
2023-03-31,0.0,0.292107,760204000.0,0.0,0.0,451516000.0,98079000.0,3813153000.0,760204000.0,662125000.0,-46467000.0,24294000.0,3465000.0,451516000.0,451516000.0,4343289000.0,3750000.0,1018155000.0,1018155000.0,0.443,0.443,451516000.0,451516000.0,0.0,451516000.0,451516000.0,451516000.0,186315000.0,637831000.0,1795000.0,0.0,,-46467000.0,25638000.0,24294000.0,3465000.0,676701000.0,530136000.0,10441000.0,98079000.0,1062000.0,97017000.0,15984000.0,108635000.0,53432000.0,55203000.0,3750000.0,1206837000.0,3813153000.0,5019990000.0,5019990000.0,104054830.0,104054830.0,470363000.0,501969000.0,3127555000.0,3632215000.0,1275010000.0,3127555000.0,2252000.0,3132498000.0,3298217000.0,3132498000.0,3132498000.0,3028442000.0,1581927000.0,1356242000.0,104055000.0,104055000.0,1336643000.0,329118000.0,-1000.0,0.0,10673000.0,150610000.0,167836000.0,2117000.0,165719000.0,,1007525000.0,-1000.0,0.0,334133000.0,135000.0,333998000.0,6988000.0,,666405000.0,78126000.0,85000.0,0.0,588194000.0,4469141000.0,2186605000.0,-1000.0,45521000.0,,7102000.0,7102000.0,0.0,0.0,4943000.0,4943000.0,2116261000.0,-776944000.0,2893205000.0,382899000.0,188792000.0,1968895000.0,227562000.0,125057000.0,0.0,2282535000.0,1000.0,9356000.0,40400000.0,913174000.0,3239000.0,353495000.0,170456000.0,385984000.0,1343000.0,1194000.0,1287652000.0,0.0,1287652000.0,29415000.0,61000.0,29354000.0,0.0,29354000.0,-459319000.0,824478000.0,-598260000.0,29355000.0,1000.0,22034000.0,-142000.0,7462000.0,464655000.0,-1000.0,-22874000.0,-31216000.0,-31216000.0,824478000.0,824478000.0,-305732000.0,-371150000.0,65418000.0,-596134000.0,-1000.0,3465000.0,-2390000.0,0.0,0.0,-597208000.0,1052000.0,-598260000.0,138941000.0,-119443000.0,-502506000.0,-3073000.0,15619000.0,40556000.0,-233842000.0,-321766000.0,19306000.0,0.0,98079000.0,1062000.0,97017000.0,8183000.0,,-2555000.0,47000.0,637831000.0
2022-03-31,0.0,0.303276,652342000.0,0.0,0.0,357478000.0,87304000.0,3315619000.0,652342000.0,565038000.0,-88216000.0,51955000.0,2663000.0,357478000.0,357478000.0,3748728000.0,3470000.0,95513793.0,95513793.0,3.74274,3.74274,357478000.0,357478000.0,0.0,357478000.0,357477000.0,357477000.0,155606000.0,513083000.0,2919000.0,0.0,,-88216000.0,38924000.0,51955000.0,2663000.0,596992000.0,433109000.0,6992000.0,87304000.0,1268000.0,86036000.0,14374000.0,94479000.0,50744000.0,43735000.0,3470000.0,1030101000.0,3315619000.0,4345720000.0,4345720000.0,94830711.0,94830711.0,783415000.0,807700000.0,1893423000.0,2704154000.0,412603000.0,1893423000.0,2252000.0,1898706000.0,1999006000.0,1898706000.0,1898706000.0,1815363000.0,1169802000.0,552476000.0,83343000.0,83343000.0,1521524000.0,194781000.0,1000.0,375000.0,12198000.0,79790000.0,102417000.0,2117000.0,100300000.0,375000.0,1326743000.0,1000.0,7462000.0,705283000.0,135000.0,705148000.0,4576000.0,4576000.0,609421000.0,63394000.0,165000.0,7462000.0,545862000.0,3420230000.0,1680883000.0,8644000.0,38784000.0,,6698000.0,6698000.0,0.0,0.0,5283000.0,5283000.0,1617806000.0,-682226000.0,2300032000.0,53076000.0,172718000.0,1742938000.0,211986000.0,119314000.0,0.0,1739346000.0,5679000.0,8321000.0,56960000.0,679333000.0,3651000.0,179695000.0,104401000.0,391586000.0,1031000.0,103000.0,965886000.0,-1160000.0,967046000.0,22033000.0,10057000.0,22033000.0,0.0,22033000.0,-106446000.0,0.0,-172503000.0,22034000.0,-1000.0,3270000.0,-285000.0,19050000.0,124165000.0,,-49614000.0,-8310000.0,-8310000.0,0.0,0.0,182089000.0,273980000.0,-91891000.0,-171172000.0,1000.0,2876000.0,-7279000.0,0.0,0.0,-166770000.0,5733000.0,-172503000.0,66057000.0,-80500000.0,-506246000.0,-2551000.0,-40187000.0,82224000.0,-175578000.0,-370154000.0,46614000.0,1160000.0,87304000.0,1268000.0,86036000.0,5615000.0,,-1734000.0,761000.0,513083000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-10540000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000.0,,,,,,,,,,,,,,,1855000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,1.0,,,0.0,,,,,,,-1000.0,,,0.0,0.0,,,,,,,,,,,,,337000.0,,,,,,,,
