,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Trading Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repurchase Of Capital Stock,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Payments,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Income From Continuing Operations
2025-03-31,0.0,0.312324,-14269000.0,0.0,0.0,-14454000.0,4623000.0,25127000.0,-14269000.0,-18892000.0,2727000.0,1401000.0,4233000.0,-14454000.0,-14454000.0,62686000.0,,136905531.0,136905531.0,-0.11,-0.11,-14454000.0,-14454000.0,0.0,-14454000.0,-499000.0,-13955000.0,-13955000.0,-6338000.0,-20293000.0,31000.0,0.0,,2727000.0,105000.0,1401000.0,4233000.0,-23222000.0,37559000.0,4434000.0,14499000.0,1037000.0,13462000.0,,14337000.0,25127000.0,39464000.0,39464000.0,136905531.0,136905531.0,1258858000.0,1261116000.0,1192949000.0,5641389000.0,-131880000.0,1192949000.0,4380273000.0,5565969000.0,4386544000.0,6271000.0,4380273000.0,4243367000.0,1949116000.0,2016523000.0,136906000.0,136906000.0,1976716000.0,1273357000.0,64000.0,412000.0,,4279000.0,1185696000.0,1185696000.0,82970000.0,703359000.0,12420000.0,589000.0,75420000.0,75420000.0,13000.0,13000.0,614917000.0,83651000.0,459000.0,589000.0,530807000.0,6363260000.0,5791781000.0,14098000.0,13854000.0,7862000.0,0.0,0.0,,3187324000.0,2068000.0,3185256000.0,2582741000.0,-23017000.0,2605758000.0,2531022000.0,21906000.0,52830000.0,571479000.0,11332000.0,54860000.0,12849000.0,354121000.0,23595000.0,,,330526000.0,140452000.0,901000.0,6939000.0,0.0,6939000.0,2258000.0,195918000.0,2258000.0,2258000.0,-505773000.0,,,,-444834000.0,2258000.0,1318000.0,940000.0,500673000.0,-1506000.0,-39910000.0,,,,544250000.0,,544250000.0,,-438794000.0,-3019000.0,3774000.0,,5285000.0,,-444834000.0,,-60939000.0,-629000.0,-41913000.0,-149462000.0,-142321000.0,249870000.0,-2727000.0,4623000.0,,4623000.0,,-20293000.0
2024-03-31,55296.145559,0.244673,-8252000.0,226000.0,226000.0,-9465000.0,3850000.0,16190000.0,-8026000.0,-11876000.0,-383000.0,655000.0,3047000.0,-9635703.854441,-9465000.0,39794000.0,0.0,136905531.0,136905531.0,-0.069135,-0.069135,-9465000.0,-9465000.0,0.0,-9465000.0,0.0,-9465000.0,-9465000.0,-3066000.0,-12531000.0,150000.0,-48000.0,48000.0,-383000.0,2775000.0,655000.0,3047000.0,-12524000.0,23604000.0,33000.0,6195000.0,79000.0,6116000.0,0.0,11080000.0,16190000.0,27270000.0,27270000.0,136905531.0,136905531.0,790319000.0,791637000.0,1256289000.0,5234196000.0,-127409000.0,1256289000.0,4442559000.0,5195319000.0,4442559000.0,,4442559000.0,,2009252000.0,2018684000.0,136906000.0,136906000.0,1581057000.0,791996000.0,12434000.0,0.0,,3628000.0,752760000.0,752760000.0,23174000.0,789061000.0,18876000.0,0.0,38877000.0,38877000.0,0.0,,731308000.0,42191000.0,476000.0,,688641000.0,6023616000.0,5361964000.0,,12656000.0,0.0,5285000.0,5285000.0,5285000.0,3186270000.0,1014000.0,3185256000.0,2157753000.0,-18205000.0,2175958000.0,2116948000.0,21906000.0,37104000.0,661652000.0,590000.0,51824000.0,30402000.0,211800000.0,643000.0,,,211157000.0,362694000.0,,3024000.0,0.0,3024000.0,1318000.0,,1318000.0,1318000.0,-686319000.0,,,0.0,-249013000.0,1318000.0,9377000.0,-8059000.0,679967000.0,-3506000.0,,0.0,,0.0,683473000.0,1000.0,683473000.0,,-250720000.0,-4019000.0,3571000.0,0.0,-1259000.0,,-249013000.0,,-437306000.0,-4146000.0,-425668000.0,-565510000.0,-153249000.0,293091000.0,1463000.0,3850000.0,0.0,3850000.0,-274000.0,-12531000.0
2023-03-31,2655240.087623,0.175356,34776000.0,15142000.0,15142000.0,37645000.0,3140000.0,279231000.0,49918000.0,46778000.0,-1006000.0,1128000.0,2330000.0,25158240.087623,37645000.0,303813000.0,73000.0,136905531.0,136905531.0,0.274971,0.274971,37645000.0,37645000.0,0.0,37645000.0,,37645000.0,37645000.0,8005000.0,45650000.0,790000.0,0.0,,-1006000.0,2208000.0,1128000.0,2330000.0,30724000.0,24582000.0,2038000.0,8086000.0,38000.0,8048000.0,73000.0,55306000.0,279231000.0,334537000.0,334537000.0,136905531.0,136905531.0,98787000.0,108164000.0,1266768000.0,4560188000.0,-483183000.0,1266768000.0,4452024000.0,4560188000.0,4452024000.0,,4452024000.0,,2018717000.0,2018684000.0,136906000.0,136906000.0,1470249000.0,168198000.0,29652000.0,,29652000.0,7208000.0,108164000.0,108164000.0,23174000.0,1302051000.0,5300000.0,4579000.0,0.0,0.0,,,1292172000.0,31731000.0,603000.0,,1259838000.0,5922273000.0,5103405000.0,,15196000.0,196000.0,3752000.0,,3752000.0,3185256000.0,,3185256000.0,1899191000.0,-15827000.0,1915018000.0,1864954000.0,21906000.0,28158000.0,818868000.0,590000.0,47678000.0,87038000.0,58551000.0,,0.0,0.0,58551000.0,610181000.0,,5453000.0,,,9377000.0,,9377000.0,9377000.0,-62680000.0,-442170000.0,579620000.0,109755000.0,-177411000.0,9377000.0,1885000.0,7492000.0,10975000.0,-3547000.0,,109755000.0,-442170000.0,109755000.0,-95233000.0,-3649000.0,-91584000.0,579620000.0,-118214000.0,-46233000.0,843000.0,0.0,104587000.0,-1468000.0,-177411000.0,-198901000.0,114731000.0,-5424000.0,102655000.0,47263000.0,5484000.0,49908000.0,1006000.0,3140000.0,0.0,3140000.0,-32296000.0,45650000.0
2022-03-31,0.0,0.0,-375000.0,0.0,0.0,-375000.0,,0.0,-375000.0,-375000.0,244000.0,0.0,1128000.0,-375000.0,-375000.0,619000.0,,136905531.0,136905531.0,-0.002739,-0.002739,-375000.0,-375000.0,0.0,-375000.0,,-375000.0,-375000.0,0.0,-375000.0,,0.0,,244000.0,884000.0,0.0,1128000.0,-619000.0,619000.0,43000.0,576000.0,,576000.0,,0.0,0.0,0.0,0.0,136905531.0,136905531.0,59721000.0,60000000.0,1016058000.0,1076058000.0,-554403000.0,1016058000.0,1016058000.0,1016058000.0,1016058000.0,,1016058000.0,,-964000.0,854925000.0,33737000.0,33737000.0,1357097000.0,43883000.0,-1000.0,,20710000.0,,0.0,0.0,23174000.0,1313214000.0,2920000.0,,60000000.0,60000000.0,,,1248857000.0,139946000.0,,,1108911000.0,2373155000.0,1614344000.0,,,196000.0,,,,,,,1568127000.0,,1568127000.0,1568127000.0,,,758811000.0,236000.0,0.0,15349000.0,63970000.0,,0.0,0.0,63970000.0,678977000.0,,,,,279000.0,,279000.0,279000.0,-71807000.0,0.0,60000000.0,27555000.0,-423993000.0,280000.0,30299000.0,-30019000.0,86671000.0,-884000.0,,27555000.0,0.0,27555000.0,60000000.0,,60000000.0,60000000.0,-468876000.0,,1128000.0,,-46011000.0,-46011000.0,-423993000.0,-423993000.0,352186000.0,-218000.0,353023000.0,762169000.0,64446000.0,-473592000.0,-244000.0,,,,,-375000.0
