,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Sale Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Purchase Of PPE,CashFlow_Capital Expenditure Reported,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Payable,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of Business,CashFlow_Net Income From Continuing Operations
2025-03-31,-325279.979483,0.360221,110820000.0,-903000.0,-903000.0,42409000.0,40012000.0,845232000.0,109917000.0,69905000.0,10591000.0,3618000.0,14289000.0,42986720.020517,42409000.0,1124413000.0,4190000.0,23505642.0,23505642.0,1.8,1.8,42409000.0,42409000.0,0.0,42409000.0,42409000.0,0.0,42409000.0,23878000.0,66287000.0,3426000.0,-903000.0,,903000.0,,10591000.0,80000.0,3618000.0,14289000.0,33126000.0,279181000.0,25121000.0,40012000.0,28845000.0,11167000.0,35284000.0,5454000.0,29830000.0,4190000.0,312307000.0,845232000.0,1157539000.0,1157539000.0,14516298.0,14516298.0,20819000.0,82688000.0,2056493000.0,2427685000.0,1151272000.0,2056493000.0,14682000.0,2359679000.0,2359679000.0,2359679000.0,,2359679000.0,2106781000.0,-802430000.0,2674516000.0,235056000.0,235056000.0,276879000.0,22794000.0,14648000.0,,8146000.0,8146000.0,0.0,13136000.0,254085000.0,7496000.0,74542000.0,6536000.0,68006000.0,2682000.0,10419000.0,165113000.0,22795000.0,95000.0,1491000.0,140732000.0,2636558000.0,1231201000.0,870150000.0,15166000.0,6283000.0,0.0,361000.0,0.0,303186000.0,258239000.0,44947000.0,887901000.0,-18074000.0,905975000.0,870148000.0,6713000.0,20981000.0,14846000.0,0.0,1405357000.0,-355000000.0,95000.0,41369000.0,1262743000.0,288473000.0,-5222000.0,293695000.0,167677000.0,120490000.0,47187000.0,47187000.0,54040000.0,-5175000.0,0.0,-685000.0,47187000.0,1000.0,26552000.0,20634000.0,29604000.0,,-2544000.0,,0.0,0.0,42775000.0,47950000.0,-5053000.0,-5175000.0,-5175000.0,-63695000.0,-1000.0,31862000.0,-128019000.0,-128019000.0,0.0,0.0,-685000.0,-685000.0,,54725000.0,-40434000.0,17872000.0,-37128000.0,55000000.0,-10665000.0,3296000.0,40012000.0,28845000.0,11167000.0,-21643000.0,0.0,66287000.0
2024-03-31,10332499.170176,0.084152,99152000.0,122784000.0,122784000.0,155065000.0,40927000.0,426040000.0,221936000.0,181003000.0,-2283000.0,11690000.0,9553000.0,42613499.170176,211895000.0,689704000.0,3815000.0,23505642.0,23505642.0,9.02,9.02,211895000.0,211895000.0,0.0,211895000.0,211895000.0,56830000.0,155065000.0,14248000.0,169313000.0,151000.0,122784000.0,-1309258000.0,1186474000.0,,-2283000.0,146000.0,11690000.0,9553000.0,4570000.0,263664000.0,20826000.0,40933000.0,30679000.0,10254000.0,17967000.0,5338000.0,12629000.0,3815000.0,268234000.0,426040000.0,694274000.0,694274000.0,14516298.0,14516298.0,,38573000.0,1985568000.0,2335684000.0,1109022000.0,1985568000.0,13342000.0,2310453000.0,2313516000.0,2310453000.0,,2310453000.0,2066913000.0,-844839000.0,2674516000.0,235056000.0,235056000.0,270989000.0,20984000.0,13199000.0,,7785000.0,4722000.0,3063000.0,11906000.0,250005000.0,2000.0,30788000.0,8620000.0,22168000.0,3758000.0,51011000.0,149884000.0,18636000.0,95000.0,3636000.0,127517000.0,2581442000.0,1222415000.0,-1000.0,67000.0,7680000.0,25000.0,25000.0,25000.0,324885000.0,279938000.0,44947000.0,886899000.0,-16879000.0,903778000.0,870148000.0,15918000.0,20290000.0,13340000.0,0.0,1359027000.0,-355000000.0,95000.0,60052000.0,1376992000.0,243865000.0,-9749000.0,253614000.0,33023000.0,6471000.0,26552000.0,26552000.0,-1251959000.0,-362031000.0,243381000.0,-33700000.0,26552000.0,,39757000.0,-13205000.0,-152080000.0,,-11312000.0,,243381000.0,243381000.0,-375018000.0,-12987000.0,-3302000.0,-362031000.0,-362031000.0,1357134000.0,,4099000.0,-6320000.0,-6320000.0,1397582000.0,1397582000.0,-33700000.0,-33700000.0,,-1218259000.0,-32631000.0,-1349209000.0,-1033739000.0,-315470000.0,1188059000.0,554000.0,40927000.0,30673000.0,10254000.0,-2069000.0,-1309258000.0,245362000.0
2023-03-31,-591443589.7,0.2621,895690000.0,-2256557000.0,-2256557000.0,-2225494000.0,887182000.0,170204000.0,-1360867000.0,-2248049000.0,-17410000.0,21479000.0,4589000.0,-560380589.7,-2225494000.0,214836000.0,2189000.0,11816298.0,11816298.0,-253.15,-253.15,-2225494000.0,-2225494000.0,0.0,-2225494000.0,-2225494000.0,-765793000.0,-2225494000.0,-44034000.0,-2269528000.0,4848000.0,-2256557000.0,2256557000.0,2256557000.0,862572000.0,-17410000.0,520000.0,21479000.0,4589000.0,9501000.0,44632000.0,9582000.0,24175000.0,16784000.0,7391000.0,4941000.0,218000.0,4723000.0,2189000.0,54133000.0,170204000.0,224337000.0,224337000.0,11816298.0,11816298.0,168962000.0,206062000.0,1252982000.0,2167283000.0,507133000.0,1252982000.0,21634000.0,1982855000.0,2158197000.0,1982855000.0,,1982855000.0,186269000.0,-1588279000.0,2458516000.0,118163000.0,118163000.0,1481141000.0,208640000.0,19956000.0,0.0,188684000.0,13342000.0,175342000.0,19956000.0,1272501000.0,85045000.0,17378000.0,8292000.0,9086000.0,6042000.0,26227000.0,1173790000.0,1111544000.0,221000.0,3984000.0,58041000.0,3463996000.0,1684362000.0,1129562000.0,67000.0,8848000.0,928000.0,928000.0,,729873000.0,729873000.0,,942447000.0,-38369000.0,980816000.0,914147000.0,28300000.0,44500000.0,22169000.0,0.0,1779634000.0,1125197000.0,221000.0,3817000.0,1586028000.0,174077000.0,-9714000.0,183791000.0,15491000.0,25000.0,15466000.0,15466000.0,180907000.0,-62475000.0,,-4222000.0,15466000.0,,7297000.0,8169000.0,-76570000.0,,-6942000.0,-5908000.0,,,-56365000.0,6110000.0,,-62475000.0,-62475000.0,-100390000.0,,1832000.0,0.0,0.0,0.0,0.0,-4222000.0,-4222000.0,-96500000.0,185129000.0,-30416000.0,61089000.0,193318000.0,-132229000.0,2271738000.0,-254000.0,887182000.0,16784000.0,887182000.0,5061000.0,0.0,-3009525000.0
2022-03-31,-886980.8,0.2608,167985000.0,-3401000.0,-3401000.0,109630000.0,12338000.0,366871000.0,164584000.0,152246000.0,-4774000.0,15355000.0,11099000.0,112144019.2,109630000.0,445782000.0,1673000.0,11816298.0,11816298.0,9.28,9.28,109630000.0,109630000.0,0.0,109630000.0,109630000.0,,109630000.0,27261000.0,136891000.0,2163000.0,-3401000.0,,3401000.0,0.0,-4774000.0,518000.0,15355000.0,11099000.0,137946000.0,78911000.0,36809000.0,12338000.0,7105000.0,5233000.0,19054000.0,,19054000.0,1673000.0,216857000.0,366871000.0,583728000.0,583728000.0,11816298.0,11816298.0,233496000.0,244493000.0,3272145000.0,4994101000.0,2458767000.0,3272145000.0,3700000.0,4753308000.0,4925239000.0,4753308000.0,,4753308000.0,186269000.0,1408916000.0,2458516000.0,118163000.0,118163000.0,1349129000.0,232096000.0,19661000.0,40504000.0,171931000.0,0.0,171931000.0,19661000.0,1117033000.0,-1000.0,72562000.0,3700000.0,68862000.0,5976000.0,40872000.0,917733000.0,851730000.0,40000.0,15175000.0,50788000.0,6102437000.0,2526637000.0,-1000.0,77000.0,0.0,928000.0,928000.0,,1481163000.0,1481163000.0,,1040272000.0,-37055000.0,1077327000.0,1033062000.0,7210000.0,40332000.0,3933000.0,0.0,3575800000.0,-1000.0,40000.0,1841258000.0,1476149000.0,251057000.0,-47791000.0,298848000.0,7297000.0,82980000.0,7297000.0,7297000.0,153298000.0,-65942000.0,,-16354000.0,7297000.0,-1000.0,6163000.0,1134000.0,-112479000.0,-1000.0,-15938000.0,,,,-91594000.0,-25652000.0,,-65942000.0,-65942000.0,-56039000.0,,7408000.0,,,,,-7344000.0,-7344000.0,-9010000.0,169652000.0,-29512000.0,52007000.0,236673000.0,-184666000.0,2234000.0,2814000.0,12338000.0,7105000.0,5233000.0,-7120000.0,,136891000.0
