,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Treasury Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Defined Pension Benefit,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Financial Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Capital Expenditure Reported,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,193345630.0,0.2131,1642000000.0,907300000.0,907300000.0,1832400000.0,214300000.0,2239200000.0,2549300000.0,2335000000.0,16200000.0,6200000.0,32100000.0,1118445630.0,1832400000.0,5071700000.0,10700000.0,16539015.0,16539015.0,110.8,110.8,1832400000.0,1832400000.0,0.0,1832400000.0,1832400000.0,1832400000.0,496400000.0,2328800000.0,126800000.0,837700000.0,-838000000.0,300000.0,,16200000.0,9700000.0,6200000.0,32100000.0,1403700000.0,2832500000.0,652100000.0,214300000.0,66000000.0,148300000.0,729300000.0,462200000.0,267100000.0,10700000.0,4236200000.0,2239200000.0,6475400000.0,6475400000.0,,16539015.0,16539015.0,,5077700000.0,5305300000.0,3454200000.0,5077700000.0,,5305300000.0,5305300000.0,5305300000.0,5305300000.0,5173000000.0,4741600000.0,344600000.0,132300000.0,132300000.0,1272800000.0,74500000.0,45400000.0,29100000.0,,,,,45400000.0,1198300000.0,67000000.0,,,,,161100000.0,1008100000.0,206300000.0,7900000.0,0.0,793900000.0,6578100000.0,1925600000.0,5000000.0,0.0,9300000.0,10000000.0,,10100000.0,10100000.0,227600000.0,227600000.0,1651300000.0,-470900000.0,2122200000.0,39500000.0,1611800000.0,1203100000.0,770200000.0,109400000.0,0.0,4652500000.0,142100000.0,,9100000.0,123400000.0,929800000.0,48700000.0,511400000.0,115800000.0,253900000.0,76600000.0,867600000.0,-24100000.0,891700000.0,2646000000.0,2359000000.0,287000000.0,260000000.0,27000000.0,418300000.0,0.0,-360300000.0,287000000.0,,197200000.0,89800000.0,-270800000.0,,-6200000.0,-264600000.0,-264600000.0,0.0,,,0.0,0.0,-418000000.0,45000000.0,32100000.0,-1229500000.0,477100000.0,-1706600000.0,734400000.0,1094700000.0,-360300000.0,-360300000.0,778600000.0,-527500000.0,-260500000.0,-143800000.0,53400000.0,95400000.0,61900000.0,-357300000.0,-864400000.0,-27700000.0,214300000.0,66000000.0,148300000.0,-69600000.0,-2800000.0,-12000000.0,2328800000.0
2024-03-31,14802580.0,0.2561,1295800000.0,57800000.0,57800000.0,876600000.0,170700000.0,1942000000.0,1353600000.0,1182900000.0,-200000.0,4500000.0,14200000.0,833602580.0,876600000.0,4654100000.0,7400000.0,16539015.0,16539015.0,53.01,53.01,876600000.0,876600000.0,0.0,876600000.0,876600000.0,876600000.0,301800000.0,1178400000.0,72100000.0,100000.0,-100000.0,0.0,,-200000.0,9900000.0,4500000.0,14200000.0,1120700000.0,2712100000.0,637200000.0,170700000.0,66600000.0,104100000.0,609000000.0,378500000.0,230500000.0,7400000.0,3832800000.0,1942000000.0,5774800000.0,5774800000.0,0.0,16539015.0,16539015.0,0.0,3468200000.0,3748500000.0,1671300000.0,3468200000.0,,3748500000.0,3748500000.0,3748500000.0,3748500000.0,3616200000.0,3184800000.0,344600000.0,132300000.0,132300000.0,1380200000.0,70600000.0,40300000.0,30300000.0,0.0,,,,40300000.0,1309600000.0,52300000.0,0.0,,0.0,,121700000.0,1169500000.0,425800000.0,6300000.0,27200000.0,710200000.0,5128700000.0,2147800000.0,15100000.0,0.0,19400000.0,5800000.0,0.0,10100000.0,10100000.0,280300000.0,280300000.0,1818100000.0,-574600000.0,2392700000.0,847800000.0,970300000.0,865900000.0,477000000.0,202000000.0,0.0,2980900000.0,203100000.0,0.0,7500000.0,195300000.0,1010000000.0,56300000.0,564400000.0,148900000.0,240400000.0,18100000.0,491300000.0,-40300000.0,531600000.0,1258700000.0,1061500000.0,197200000.0,170000000.0,27200000.0,251300000.0,-100000.0,-692300000.0,197200000.0,,248200000.0,-51000000.0,-203100000.0,,-4500000.0,-198500000.0,-198500000.0,-100000.0,0.0,,-100000.0,-100000.0,-791500000.0,154700000.0,14200000.0,-114900000.0,330200000.0,-445100000.0,-690800000.0,1500000.0,-692300000.0,-692300000.0,943600000.0,-293100000.0,-70900000.0,124100000.0,-52600000.0,63300000.0,-59500000.0,-142300000.0,-9700000.0,27000000.0,170700000.0,66600000.0,104100000.0,-57700000.0,-1000000.0,-100000.0,1178400000.0
2023-03-31,1730520.0,0.2622,1068300000.0,6600000.0,6600000.0,676400000.0,155000000.0,1782300000.0,1074900000.0,919900000.0,15800000.0,3100000.0,27300000.0,671530520.0,676400000.0,4202000000.0,6900000.0,16539015.0,16539015.0,40.9,40.9,676400000.0,676400000.0,0.0,676400000.0,676400000.0,676400000.0,240400000.0,916800000.0,600000.0,-7800000.0,7800000.0,0.0,,15800000.0,8400000.0,3100000.0,27300000.0,888800000.0,2419700000.0,552100000.0,155000000.0,67900000.0,87100000.0,558800000.0,356200000.0,202600000.0,6900000.0,3308500000.0,1782300000.0,5090800000.0,5090800000.0,,16539015.0,16539015.0,100000.0,2742000000.0,3076100000.0,1612700000.0,2742000000.0,0.0,3076000000.0,3076000000.0,3076000000.0,3076000000.0,,2512300000.0,344600000.0,132300000.0,132300000.0,1117500000.0,89700000.0,39800000.0,30200000.0,19700000.0,0.0,0.0,0.0,39800000.0,1027800000.0,62000000.0,100000.0,0.0,100000.0,,118600000.0,891200000.0,238800000.0,5500000.0,0.0,646900000.0,4193500000.0,1553000000.0,32500000.0,0.0,36900000.0,0.0,0.0,0.0,4400000.0,334000000.0,334000000.0,1163000000.0,-518800000.0,1681800000.0,150300000.0,1012700000.0,865400000.0,464100000.0,202000000.0,0.0,2640500000.0,147300000.0,200000.0,6700000.0,146200000.0,950500000.0,35500000.0,563100000.0,177200000.0,174700000.0,14600000.0,374300000.0,-13300000.0,387600000.0,1148000000.0,899800000.0,248200000.0,224500000.0,23700000.0,580900000.0,-2700000.0,-327300000.0,248200000.0,-100000.0,569400000.0,-321100000.0,-171200000.0,-100000.0,-3100000.0,-158800000.0,-158800000.0,-2800000.0,-2700000.0,-2700000.0,-100000.0,0.0,-1058100000.0,-189000000.0,27300000.0,-758900000.0,0.0,-758900000.0,-326500000.0,800000.0,-327300000.0,,908200000.0,-252300000.0,110500000.0,60200000.0,45700000.0,192600000.0,-120600000.0,-54800000.0,-24200000.0,4300000.0,155000000.0,67900000.0,87100000.0,-14400000.0,4600000.0,7800000.0,916800000.0
2022-03-31,2371200.0,0.2964,885500000.0,8000000.0,8000000.0,514800000.0,156600000.0,1502100000.0,893500000.0,736900000.0,-800000.0,5200000.0,13300000.0,509171200.0,514800000.0,3654400000.0,6600000.0,16539015.0,16539015.0,31.13,31.13,514800000.0,514800000.0,0.0,514800000.0,514800000.0,514800000.0,216900000.0,731700000.0,29900000.0,-900000.0,,900000.0,,-800000.0,8900000.0,5200000.0,13300000.0,717200000.0,2152300000.0,474200000.0,156600000.0,68300000.0,88300000.0,535600000.0,322700000.0,212900000.0,6600000.0,2869500000.0,1502100000.0,4371600000.0,4371600000.0,,16539015.0,16539015.0,9400000.0,2210900000.0,2560600000.0,1268000000.0,2210900000.0,6500000.0,2557700000.0,2557800000.0,2557700000.0,2557700000.0,,1994000000.0,344600000.0,132300000.0,132300000.0,888400000.0,87300000.0,30400000.0,31300000.0,22600000.0,3000000.0,2900000.0,100000.0,30400000.0,801100000.0,55600000.0,6400000.0,3600000.0,2800000.0,,141500000.0,628600000.0,165400000.0,4400000.0,3800000.0,455000000.0,3446100000.0,1377000000.0,11800000.0,0.0,15600000.0,0.0,0.0,3800000.0,3800000.0,346800000.0,346800000.0,1000900000.0,-455800000.0,1456700000.0,254500000.0,746400000.0,670500000.0,329700000.0,202000000.0,0.0,2069100000.0,191600000.0,0.0,4600000.0,163900000.0,829900000.0,28500000.0,496000000.0,171300000.0,134100000.0,42800000.0,329900000.0,-10000000.0,339900000.0,698000000.0,128600000.0,569400000.0,561400000.0,8000000.0,408000000.0,-4200000.0,-239500000.0,569400000.0,,403600000.0,165800000.0,-135100000.0,,-5200000.0,-119100000.0,-119100000.0,-4200000.0,-3100000.0,-3100000.0,-1100000.0,-1100000.0,-346600000.0,-700000.0,13300000.0,-119700000.0,8900000.0,-128600000.0,-239500000.0,0.0,-239500000.0,,647500000.0,-188500000.0,-31100000.0,-4400000.0,-9000000.0,-19100000.0,-246600000.0,247100000.0,-8100000.0,500000.0,156600000.0,68300000.0,88300000.0,-8900000.0,-4700000.0,0.0,731700000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100000.0,,0.0,,,,,,,,,,,,,,,,,,,,,,20200000.0,,,,,13000000.0,,,,,,,,,,,,,,0.0,7400000.0,6500000.0,900000.0,,,,12800000.0,6500000.0,6300000.0,98400000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-46000000.0,-46000000.0,,,,,,,,,,,,-85100000.0,,,,,,,,,,,,,,,,,
