,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repurchase Of Capital Stock,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Payments,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Net Income From Continuing Operations
2025-03-31,-18465623.755915,0.33317,93218000.0,-55424000.0,-55424000.0,8174000.0,4866000.0,856747000.0,37794000.0,32928000.0,5260000.0,20670000.0,25930000.0,45132376.244085,8174000.0,919822000.0,15000.0,,,,,8174000.0,8174000.0,0.0,8174000.0,8174000.0,0.0,8174000.0,4084000.0,12258000.0,109000.0,-55424000.0,55424000.0,5260000.0,20670000.0,25930000.0,58998000.0,63075000.0,29832000.0,4866000.0,1339000.0,3527000.0,13949000.0,4484000.0,9465000.0,15000.0,122073000.0,856747000.0,978820000.0,978820000.0,130462130.0,130462130.0,99485000.0,123184000.0,639928000.0,765753000.0,644311000.0,639928000.0,6592000.0,649161000.0,691111000.0,649161000.0,649161000.0,1000.0,157286000.0,229100000.0,260924000.0,260924000.0,449288000.0,48759000.0,,2566000.0,46193000.0,4243000.0,41950000.0,,400529000.0,1000.0,76991000.0,2349000.0,74642000.0,108000.0,,270464000.0,-981000.0,0.0,271445000.0,1098449000.0,53609000.0,-1000.0,4915000.0,1838000.0,17530000.0,17530000.0,9233000.0,9233000.0,11607000.0,-20114000.0,31721000.0,,12140000.0,19581000.0,0.0,1044840000.0,,1323000.0,223682000.0,48101000.0,48101000.0,287275000.0,184000.0,467168000.0,,,17107000.0,,17107000.0,17107000.0,-183429000.0,,212564000.0,-3046000.0,18430000.0,,15783000.0,2647000.0,184911000.0,,-14966000.0,212564000.0,,212564000.0,-9502000.0,-15469000.0,5967000.0,-1881000.0,1035000.0,130000.0,,,-3046000.0,-3046000.0,-180383000.0,-3508000.0,-258203000.0,,-281353000.0,80260000.0,-44304000.0,-25136000.0,12092000.0,4866000.0,1339000.0,3527000.0,-130000.0,-3181000.0,12258000.0
2024-03-31,-11390965.986395,0.223734,87927000.0,-50913000.0,-50913000.0,7189000.0,5081000.0,744155000.0,37014000.0,31933000.0,-8750000.0,22672000.0,13922000.0,46711034.013605,7189000.0,754258000.0,16000.0,107192130.0,107192130.0,0.07,0.07,7189000.0,7189000.0,0.0,7189000.0,7189000.0,0.0,7189000.0,2072000.0,9261000.0,3839000.0,-50913000.0,50913000.0,-8750000.0,22672000.0,13922000.0,63377000.0,10103000.0,16586000.0,5081000.0,1233000.0,3848000.0,10325000.0,4859000.0,5466000.0,16000.0,73480000.0,744155000.0,817635000.0,817635000.0,107192130.0,107192130.0,111525000.0,134916000.0,420379000.0,554489000.0,414378000.0,420379000.0,8822000.0,428395000.0,464377000.0,428395000.0,428395000.0,70254000.0,149112000.0,100016000.0,107192000.0,107192000.0,371162000.0,40343000.0,1000.0,2001000.0,38341000.0,2359000.0,35982000.0,2001000.0,330819000.0,36946000.0,96575000.0,6463000.0,90112000.0,265000.0,265000.0,206311000.0,12423000.0,0.0,193888000.0,799557000.0,54360000.0,-2000.0,4944000.0,1756000.0,17530000.0,17530000.0,8016000.0,8016000.0,14555000.0,-16584000.0,31139000.0,14553000.0,11558000.0,19581000.0,0.0,745197000.0,-2000.0,1214000.0,106105000.0,3797000.0,3797000.0,124398000.0,841000.0,494275000.0,0.0,494274000.0,14569000.0,121320000.0,14569000.0,14569000.0,6957000.0,,15725000.0,-1110000.0,15783000.0,,9847000.0,5936000.0,-14158000.0,,-17383000.0,15725000.0,,15725000.0,-10539000.0,2768000.0,-13307000.0,12027000.0,13137000.0,0.0,0.0,,-1110000.0,-1110000.0,8067000.0,-22770000.0,-36960000.0,,-1907000.0,-58462000.0,26704000.0,561000.0,2541000.0,5081000.0,1233000.0,3848000.0,,0.0,9261000.0
2023-03-31,0.0,0.253521,116069000.0,0.0,0.0,66036000.0,5043000.0,546776000.0,116069000.0,111026000.0,-10014000.0,22564000.0,12550000.0,66036000.0,66036000.0,548526000.0,0.0,105462130.0,105462130.0,0.591,0.626,66036000.0,66036000.0,0.0,66036000.0,66036000.0,,66036000.0,22427000.0,88462000.0,3345000.0,0.0,0.0,-10014000.0,22564000.0,12550000.0,89719000.0,1750000.0,25189000.0,5043000.0,1032000.0,4011000.0,9067000.0,5292000.0,3775000.0,0.0,91469000.0,546776000.0,638245000.0,638245000.0,105462130.0,105462130.0,131343000.0,147362000.0,396758000.0,541953000.0,406035000.0,396758000.0,10728000.0,405319000.0,457587000.0,405319000.0,405319000.0,75602000.0,141924000.0,80726000.0,105462000.0,105462000.0,383660000.0,62983000.0,1000.0,1892000.0,61090000.0,8822000.0,52268000.0,1892000.0,320677000.0,-1000.0,86272000.0,1906000.0,84366000.0,241000.0,241000.0,216426000.0,16998000.0,19461000.0,179967000.0,788979000.0,62267000.0,1000.0,9943000.0,1433000.0,16377000.0,16377000.0,8561000.0,8561000.0,17979000.0,-12737000.0,30716000.0,17979000.0,11135000.0,19581000.0,0.0,726712000.0,10000.0,4556000.0,32142000.0,30501000.0,30501000.0,118111000.0,0.0,536101000.0,0.0,536205000.0,5291000.0,118945000.0,5291000.0,5291000.0,7824000.0,,50314000.0,-2972000.0,9847000.0,-1000.0,13553000.0,-3705000.0,-17322000.0,1000.0,-18889000.0,50314000.0,,50314000.0,-45040000.0,-67567000.0,22527000.0,2821000.0,5793000.0,0.0,0.0,,-2972000.0,-2972000.0,10796000.0,-15640000.0,-73627000.0,,15211000.0,-102862000.0,-24211000.0,48953000.0,6557000.0,5043000.0,1032000.0,4011000.0,,,88462000.0
2022-03-31,0.0,0.297587,86735000.0,0.0,0.0,40237000.0,4563000.0,635006000.0,86735000.0,82172000.0,-11912000.0,24888000.0,12976000.0,40237000.0,40237000.0,650606000.0,278000.0,105462130.0,105462130.0,0.382,0.382,40237000.0,40237000.0,0.0,40237000.0,40237000.0,,40237000.0,17047000.0,57284000.0,473430.0,0.0,0.0,-11912000.0,24888000.0,12976000.0,64762000.0,15600000.0,27477000.0,4563000.0,1250000.0,3313000.0,5041000.0,860000.0,4181000.0,278000.0,80362000.0,635006000.0,715368000.0,715368000.0,105462130.0,105462130.0,195999000.0,208113000.0,255850000.0,471163000.0,244916000.0,255850000.0,492000.0,263542000.0,294604000.0,263542000.0,263542000.0,1000.0,75888000.0,80976000.0,105462000.0,105462000.0,552698000.0,33329000.0,1000.0,1891000.0,31437000.0,375000.0,31062000.0,1892000.0,519369000.0,15156940.0,176676000.0,117000.0,176559000.0,349000.0,349000.0,315517000.0,18993000.0,12717000.0,283807000.0,816240000.0,51956000.0,1000.0,9884000.0,1607000.0,10815000.0,10815000.0,7692000.0,7692000.0,9035000.0,-14734000.0,23769000.0,9036000.0,10106000.0,13663000.0,0.0,764285000.0,1000.0,1930000.0,37604000.0,6290000.0,6290000.0,121784000.0,,585054000.0,0.0,585055000.0,11622000.0,120534000.0,11622000.0,11622000.0,4538000.0,-1045000.0,,-8648000.0,13553000.0,-2000.0,4660000.0,8893000.0,4175000.0,1000.0,-24397000.0,-1045000.0,-1045000.0,,31880000.0,50699000.0,-18819000.0,-8468000.0,180000.0,0.0,0.0,0.0,-8648000.0,-8648000.0,13186000.0,-8278000.0,-51995000.0,,-10929000.0,-121559000.0,-407000.0,82253000.0,11613000.0,4563000.0,,4563000.0,-75.0,,57284000.0
2021-03-31,,,,,,,,,,,,,,,,,,105462130.0,105462130.0,0.099,0.099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,1850000.0,,,,,,,176000.0,,,,,,,,,,,,,,,,,9707000.0,,,,,-1.0,,,,,,,,,,,119653000.0,,,,0.0,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,,,,,,4595000.0,,,,,,,,,,,
