,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Sale Of Business,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Gain Loss On Sale Of Business,CashFlow_Net Income From Continuing Operations
2025-03-31,5629816.615616,0.256729,1290753000.0,21929000.0,21929000.0,907289000.0,87080000.0,542228000.0,1312682000.0,1225602000.0,14247000.0,4931000.0,23902000.0,890989816.615616,907289000.0,3512979000.0,318290000.0,124392570.0,124300730.0,7.294,7.3,907289000.0,907289000.0,0.0,907289000.0,,907289000.0,907289000.0,313382000.0,1220671000.0,6755000.0,11834000.0,-23337000.0,11503000.0,14247000.0,4724000.0,4931000.0,23902000.0,1177740000.0,2970751000.0,824668000.0,87080000.0,15360000.0,71720000.0,735826000.0,584785000.0,151041000.0,318290000.0,4148491000.0,542228000.0,4690719000.0,4690719000.0,124300730.0,124300730.0,,107332000.0,2104640000.0,2837485000.0,998908000.0,2104640000.0,2730153000.0,2734445000.0,2730153000.0,,2730153000.0,4343000.0,1944130000.0,533079000.0,248601000.0,248601000.0,552903000.0,30215000.0,,25923000.0,0.0,4292000.0,4292000.0,25923000.0,522688000.0,48862000.0,103040000.0,103040000.0,16457000.0,286982000.0,191792000.0,233000.0,94957000.0,3283056000.0,1761460000.0,93711000.0,93711000.0,63000.0,625513000.0,22695000.0,602818000.0,1035773000.0,-225363000.0,1261136000.0,112331000.0,14445000.0,689320000.0,283142000.0,161898000.0,0.0,1521596000.0,3754000.0,15075000.0,128760000.0,115458000.0,,8220000.0,,976304000.0,-20547000.0,996851000.0,274025000.0,29500000.0,244525000.0,14739000.0,229786000.0,268005000.0,,,-418263000.0,228820000.0,253147000.0,-24327000.0,-6914000.0,-5041000.0,-103810000.0,,,101937000.0,100861000.0,1076000.0,,-703681000.0,6448000.0,29568000.0,346261000.0,492861000.0,-146600000.0,-700000000.0,,-700000000.0,-385958000.0,32305000.0,-418263000.0,686268000.0,-330362000.0,-242325000.0,117906000.0,-65263000.0,48515000.0,-39776000.0,-317785000.0,-19664000.0,4300000.0,87080000.0,15360000.0,71720000.0,-10095000.0,-23337000.0,,1220671000.0
2024-03-31,4779445.723942,0.263113,972706000.0,18165000.0,18165000.0,692063000.0,50990000.0,312373000.0,990871000.0,939881000.0,27102000.0,710000.0,31434000.0,678677445.723942,692063000.0,2364984000.0,174359000.0,124304050.0,124300730.0,5.568,5.568,692063000.0,692063000.0,0.0,692063000.0,,692063000.0,692063000.0,247108000.0,939171000.0,14799000.0,11520000.0,-11520000.0,0.0,27102000.0,3622000.0,710000.0,31434000.0,879105000.0,2052611000.0,601261000.0,50990000.0,443000.0,50547000.0,566890000.0,433320000.0,133570000.0,174359000.0,2931716000.0,312373000.0,3244089000.0,3244089000.0,124300730.0,124300730.0,,5395000.0,1917898000.0,1927874000.0,1169345000.0,1917898000.0,1922479000.0,1925695000.0,1922479000.0,,1922479000.0,43000.0,1140756000.0,533079000.0,248601000.0,248601000.0,282807000.0,8753000.0,43000.0,1495000.0,4042000.0,3216000.0,3216000.0,1495000.0,274054000.0,34040000.0,2179000.0,2179000.0,39667000.0,161508000.0,116802000.0,128000.0,44578000.0,2205286000.0,761887000.0,57678000.0,47670000.0,0.0,4581000.0,4581000.0,0.0,703236000.0,-151754000.0,854990000.0,34984000.0,10287000.0,399704000.0,239199000.0,170816000.0,0.0,1443399000.0,1036000.0,21523000.0,296621000.0,71887000.0,71887000.0,6930000.0,,411851000.0,-15547000.0,427398000.0,633551000.0,35000000.0,598551000.0,395404000.0,203147000.0,211513000.0,,0.0,-155380000.0,253147000.0,101154000.0,151993000.0,-34439000.0,-4132000.0,-27622000.0,0.0,0.0,-2685000.0,-506000.0,-2179000.0,,-180461000.0,-13785000.0,30793000.0,-119680000.0,46624000.0,-166304000.0,0.0,0.0,0.0,-138571000.0,16809000.0,-155380000.0,366893000.0,-250783000.0,-315883000.0,62598000.0,3462000.0,-16138000.0,-30841000.0,-340902000.0,-38480000.0,43000.0,50990000.0,443000.0,50547000.0,-6645000.0,-11520000.0,,939171000.0
2023-03-31,-6074378.225915,0.24221,507123000.0,-25079000.0,-25079000.0,337444000.0,31275000.0,217685000.0,482044000.0,450769000.0,6577000.0,5469000.0,16030000.0,356448621.774085,337444000.0,1576544000.0,58482000.0,123236345.0,123236345.0,2.738,2.738,337444000.0,337444000.0,0.0,337444000.0,2619000.0,337444000.0,337444000.0,107856000.0,445300000.0,1383000.0,-25079000.0,-5412000.0,30491000.0,6577000.0,3984000.0,5469000.0,16030000.0,462419000.0,1358859000.0,429406000.0,31275000.0,806000.0,30469000.0,405344000.0,300929000.0,104415000.0,58482000.0,1821278000.0,217685000.0,2038963000.0,2038963000.0,124300728.0,124300728.0,,8080000.0,1257471000.0,1266076000.0,528783000.0,1257471000.0,1257996000.0,1263391000.0,1257996000.0,0.0,1257996000.0,,586805000.0,533079000.0,138112000.0,138112000.0,252318000.0,6302000.0,,,0.0,5395000.0,5395000.0,907000.0,246016000.0,40600000.0,2685000.0,2685000.0,46405000.0,134104000.0,73388000.0,0.0,60716000.0,1510314000.0,735515000.0,61645000.0,61645000.0,4372000.0,525000.0,525000.0,,668973000.0,-107035000.0,776008000.0,72050000.0,10226000.0,279310000.0,239151000.0,175271000.0,0.0,774799000.0,596000.0,7738000.0,136779000.0,41046000.0,41046000.0,6289000.0,,220718000.0,-15547000.0,236265000.0,361633000.0,45479000.0,316154000.0,215000000.0,101154000.0,-210258000.0,,555000000.0,-381952000.0,101154000.0,21742000.0,79412000.0,480034000.0,-8697000.0,,555000000.0,555000000.0,-66269000.0,-63584000.0,-2685000.0,,-572316000.0,-3788000.0,9966000.0,-260479000.0,0.0,-260479000.0,51000.0,51000.0,,-300716000.0,81236000.0,-381952000.0,171694000.0,-82981000.0,-207480000.0,22276000.0,-55723000.0,14404000.0,16544000.0,-209346000.0,-9007000.0,0.0,31275000.0,806000.0,30469000.0,,-5412000.0,2720000.0,445300000.0
2022-03-31,2058877.9418,0.258328,187178000.0,7970000.0,7970000.0,112324000.0,33109000.0,164734000.0,195148000.0,162039000.0,-9598000.0,11111000.0,2226000.0,106412877.9418,112324000.0,1317683000.0,17960000.0,124300728.0,124300728.0,0.903647,0.903647,112324000.0,112324000.0,0.0,112324000.0,385000.0,111939000.0,111939000.0,38989000.0,150928000.0,4695000.0,7970000.0,-7970000.0,0.0,-9598000.0,713000.0,11111000.0,2226000.0,147861000.0,1152949000.0,316850000.0,33109000.0,1099000.0,32010000.0,447066000.0,351055000.0,96011000.0,17960000.0,1300810000.0,164734000.0,1465544000.0,1465544000.0,124300728.0,124300728.0,52401000.0,74349000.0,363866000.0,439501000.0,-23620000.0,363866000.0,365152000.0,373232000.0,364816000.0,-336000.0,365152000.0,,248961000.0,15079000.0,101112000.0,101112000.0,250593000.0,11720000.0,,,2813000.0,8080000.0,8080000.0,827000.0,238873000.0,25365000.0,66269000.0,66269000.0,10094000.0,119245000.0,72647000.0,,46598000.0,615409000.0,400156000.0,,63855000.0,0.0,1286000.0,1286000.0,,335015000.0,-80215000.0,415230000.0,50410000.0,7083000.0,175978000.0,57379000.0,124380000.0,0.0,215253000.0,156000.0,3950000.0,34982000.0,63562000.0,63562000.0,225000.0,,90430000.0,,,21948000.0,,21948000.0,0.0,21948000.0,-7251000.0,,13290000.0,-170795000.0,21948000.0,88430000.0,-66482000.0,-45108000.0,-12413000.0,,13290000.0,13290000.0,-45985000.0,-52533000.0,6548000.0,,-184918000.0,-2750000.0,2001000.0,0.0,,0.0,,,,-134653000.0,36142000.0,-170795000.0,163544000.0,-39043000.0,17350000.0,27800000.0,-2680000.0,13785000.0,29224000.0,-54884000.0,9171000.0,,33109000.0,1099000.0,32010000.0,,-7970000.0,0.0,150928000.0
