,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Treasury Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Subsidiariesat Cost,Balance_Investment Properties,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Net Investment Purchase And Sale,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Pension And Employee Benefit Expense,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,232500.0,0.3,316725000.0,775000.0,775000.0,178365000.0,44947000.0,76511000.0,317500000.0,272553000.0,-114934000.0,122158000.0,7224000.0,177822500.0,178365000.0,6620590000.0,11913000.0,20288122.0,20288122.0,8.79,8.79,178365000.0,178365000.0,0.0,178365000.0,0.0,178364000.0,178364000.0,-27969000.0,150395000.0,2000.0,775000.0,-775000.0,,-114934000.0,,122158000.0,7224000.0,264551000.0,6544079000.0,58996000.0,44947000.0,44947000.0,38394000.0,1839000.0,36555000.0,11913000.0,6808630000.0,76511000.0,6885141000.0,6885141000.0,,20288122.0,20288122.0,1603732000.0,1688782000.0,888783000.0,2499618000.0,591370000.0,888783000.0,77947000.0,888783000.0,1229836000.0,888782000.0,888783000.0,787341000.0,705591000.0,75581000.0,101441000.0,101441000.0,2098097000.0,451797000.0,,47172000.0,404625000.0,63572000.0,341053000.0,47172000.0,1646300000.0,191595000.0,21000.0,1284157000.0,14375000.0,1269782000.0,28672000.0,28693000.0,333450000.0,313212000.0,,20238000.0,2986879000.0,749209000.0,,126558000.0,21855000.0,21855000.0,0.0,0.0,113829000.0,483144000.0,-268639000.0,751783000.0,0.0,14170000.0,187104000.0,197711000.0,352798000.0,0.0,2237670000.0,-1000.0,,181867000.0,46802000.0,46802000.0,139384000.0,148206000.0,1640303000.0,-10421000.0,1650724000.0,81109000.0,74006000.0,7103000.0,,7103000.0,-474293000.0,-390960000.0,7103000.0,-1000.0,5545000.0,1559000.0,474852000.0,,-113264000.0,,609232000.0,304226000.0,305006000.0,-389960000.0,,,-389960000.0,1000000.0,-390960000.0,-83333000.0,-71687000.0,-356131000.0,51966000.0,-29490000.0,-591000.0,3632000.0,-375718000.0,121728000.0,3151000.0,44947000.0,44947000.0,24608000.0,-345000.0,150395000.0
2024-03-31,0.0,0.3,237523000.0,0.0,0.0,125707000.0,36171000.0,89102000.0,237523000.0,201352000.0,-90048000.0,102103000.0,12055000.0,125707000.0,125707000.0,5002243000.0,12295000.0,20288122.0,20288122.0,6.2,6.2,125707000.0,125707000.0,0.0,125707000.0,0.0,125707000.0,125707000.0,-26458000.0,99249000.0,12485000.0,0.0,,,-90048000.0,3876000.0,102103000.0,12055000.0,189297000.0,4913141000.0,56292000.0,36171000.0,36171000.0,37378000.0,1706000.0,35672000.0,12295000.0,5102438000.0,89102000.0,5191540000.0,5191540000.0,,20288122.0,20288122.0,996058000.0,1022190000.0,715759000.0,1717362000.0,507612000.0,715759000.0,20587000.0,715759000.0,751806000.0,715760000.0,715759000.0,614319000.0,527225000.0,75581000.0,101441000.0,101441000.0,1350662000.0,82886000.0,1000.0,38873000.0,44013000.0,7966000.0,36047000.0,38873000.0,1267776000.0,144376000.0,,978177000.0,12621000.0,965556000.0,11153000.0,11153000.0,278446000.0,257617000.0,,20829000.0,2066422000.0,291033000.0,-4000.0,96771000.0,13779000.0,13779000.0,0.0,0.0,113829000.0,64143000.0,-236140000.0,300283000.0,0.0,12015000.0,164194000.0,124074000.0,0.0,0.0,1775388000.0,-1000.0,,204438000.0,50434000.0,50434000.0,125383000.0,65804000.0,1267735000.0,-7270000.0,1275005000.0,61595000.0,56050000.0,5545000.0,,5545000.0,22008000.0,-17101000.0,5545000.0,,2690000.0,2855000.0,-19153000.0,,-101243000.0,,99695000.0,151518000.0,-51823000.0,-17101000.0,,-6230000.0,-17101000.0,0.0,-17101000.0,39109000.0,-57190000.0,-168943000.0,26598000.0,35087000.0,992000.0,-1436000.0,-225135000.0,105979000.0,2502000.0,36171000.0,36171000.0,21342000.0,0.0,99249000.0
2023-03-31,424800.0,0.3,153182000.0,1416000.0,1416000.0,50703000.0,43040000.0,79391000.0,154598000.0,111558000.0,-83014000.0,88071000.0,7537000.0,49711800.0,50703000.0,3874137000.0,5731000.0,20288122.0,20288122.0,2.5,2.5,50703000.0,50703000.0,0.0,50703000.0,,50703000.0,50703000.0,-27216000.0,23487000.0,10708000.0,1416000.0,-1416000.0,0.0,-83014000.0,2480000.0,88071000.0,7537000.0,94381000.0,3794746000.0,41659000.0,43040000.0,43040000.0,31467000.0,1592000.0,29875000.0,5731000.0,3889127000.0,79391000.0,3968518000.0,3968518000.0,0.0,20288122.0,20288122.0,899218000.0,922521000.0,586624000.0,1488532000.0,449195000.0,586624000.0,20613000.0,586624000.0,674494000.0,586624000.0,586624000.0,485183000.0,401519000.0,75581000.0,101441000.0,101441000.0,1209429000.0,129355000.0,,28140000.0,101215000.0,13345000.0,87870000.0,28140000.0,1080074000.0,122137000.0,,821306000.0,7268000.0,814038000.0,10176000.0,10176000.0,248592000.0,228755000.0,,19837000.0,1796053000.0,266784000.0,-1000.0,71466000.0,11756000.0,11756000.0,,,113829000.0,68092000.0,-199983000.0,268075000.0,,9796000.0,149312000.0,108967000.0,,0.0,1529269000.0,1000.0,,156675000.0,48998000.0,,111312000.0,109868000.0,1045102000.0,-4768000.0,1049870000.0,57313000.0,54623000.0,2690000.0,,2690000.0,2139000.0,-12865000.0,2690000.0,,10606000.0,-7916000.0,-6335000.0,-1000.0,-86149000.0,,104861000.0,134171000.0,-29310000.0,-16585000.0,4334000.0,-4334000.0,-12251000.0,614000.0,-12865000.0,15004000.0,-52433000.0,-103305000.0,34352000.0,5500000.0,-9088000.0,-12975000.0,-121030000.0,89135000.0,,43040000.0,43040000.0,15079000.0,0.0,23487000.0
2022-03-31,-829500.0,0.3,131266000.0,-2765000.0,-2765000.0,24734000.0,54568000.0,54941000.0,128501000.0,73933000.0,-64159000.0,64056000.0,2379000.0,26669500.0,24734000.0,2629195000.0,6294000.0,20288122.0,20288122.0,1.22,1.22,24734000.0,24734000.0,0.0,24734000.0,,24734000.0,24734000.0,-14857000.0,9877000.0,1478000.0,-2765000.0,-45000.0,2810000.0,-64159000.0,2482000.0,64056000.0,2379000.0,75924000.0,2574254000.0,43721000.0,54568000.0,54568000.0,21143000.0,3747000.0,17396000.0,6294000.0,2650178000.0,54941000.0,2705119000.0,2705119000.0,,20288122.0,20288122.0,786441000.0,847108000.0,535440000.0,1332487000.0,433591000.0,535440000.0,50061000.0,535440000.0,652620000.0,535439000.0,535440000.0,433998000.0,350816000.0,75581000.0,101441000.0,101441000.0,1089055000.0,167055000.0,1000.0,17603000.0,149452000.0,32272000.0,117180000.0,17603000.0,922000000.0,4776000.0,,697656000.0,17789000.0,679867000.0,6342000.0,6341000.0,213226000.0,189626000.0,,23600000.0,1624494000.0,268903000.0,1000.0,44413000.0,,,,,113829000.0,110609000.0,-165643000.0,276252000.0,,6574000.0,141200000.0,128478000.0,,0.0,1355591000.0,1000.0,,53443000.0,36023000.0,,190066000.0,88273000.0,924072000.0,,,63713000.0,53107000.0,10606000.0,,10606000.0,-245049000.0,-16333000.0,-557260000.0,,-231514000.0,-325746000.0,-80997000.0,-9135000.0,-60509000.0,,-11353000.0,0.0,-11353000.0,-16033000.0,,,-16033000.0,300000.0,-16333000.0,-228716000.0,41733000.0,-408919000.0,34370000.0,-141668000.0,-16611000.0,-6302000.0,-285615000.0,66538000.0,,54568000.0,54568000.0,7443000.0,45000.0,9877000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,3479000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,,,,,,,,,,,,,,,,0.0,,,,1000.0,,,,,,,,,,,,,,,,,,13741000.0,,,,,,,,,,,,15800000.0,,,,,1000.0,,,,,,-10144000.0,,,,,-1000.0,,,,,,,,,,,,,,,,,,,
