,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Associatesat Cost,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2024-03-31,-7738201.529139,0.248019,1550240000.0,-31200000.0,-31200000.0,976650000.0,85970000.0,5280800000.0,1519040000.0,1433070000.0,-138220000.0,134300000.0,4100000.0,1000111798.470861,976650000.0,6002130000.0,270000.0,113977414.0,113977414.0,8.568803,8.568803,976650000.0,976650000.0,0.0,976650000.0,0.0,976650000.0,976650000.0,322120000.0,1298770000.0,18800000.0,-31200000.0,25170000.0,6030000.0,-138220000.0,8020000.0,134300000.0,4100000.0,1446470000.0,721330000.0,207460000.0,85970000.0,180000.0,85790000.0,146160000.0,91210000.0,54950000.0,270000.0,2167800000.0,5280800000.0,7448600000.0,7448600000.0,113977414.0,113977414.0,2171530000.0,2206430000.0,1791680000.0,3968400000.0,912250000.0,1791680000.0,30740000.0,1792710000.0,1865050000.0,1792710000.0,0.0,1792710000.0,1583840000.0,120630000.0,58520000.0,58520000.0,3320120000.0,254430000.0,51810000.0,7990000.0,0.0,99640000.0,27300000.0,72340000.0,90110000.0,3065690000.0,20000.0,120000000.0,2106790000.0,3440000.0,2103350000.0,68560000.0,42400000.0,673440000.0,29690000.0,643750000.0,5112830000.0,1134890000.0,-10000.0,14630000.0,21450000.0,0.0,,0.0,0.0,1030000.0,1030000.0,1031220000.0,-216840000.0,1248060000.0,57770000.0,66390000.0,912650000.0,169250000.0,42000000.0,0.0,3977940000.0,6800000.0,31610000.0,271590000.0,1221880000.0,572890000.0,288300000.0,360690000.0,8560000.0,34300000.0,2399030000.0,-121250000.0,2520280000.0,4170000.0,10000.0,4160000.0,0.0,4160000.0,-85550000.0,-246450000.0,407020000.0,-254750000.0,4160000.0,36010000.0,-31850000.0,34140000.0,-123900000.0,160570000.0,147780000.0,-184800000.0,332580000.0,12790000.0,-61650000.0,74440000.0,-235190000.0,1340000.0,5440000.0,5440000.0,,-1060000.0,-1060000.0,-240910000.0,13840000.0,-254750000.0,169200000.0,-356950000.0,-1086770000.0,1412830000.0,-542900000.0,-1956700000.0,140250000.0,0.0,56730000.0,85970000.0,180000.0,85790000.0,25170000.0,1298770000.0
2023-03-31,827669.363318,0.266132,596280000.0,3110000.0,3110000.0,341990000.0,77530000.0,2800390000.0,599390000.0,521860000.0,-53470000.0,55850000.0,5540000.0,339707669.363318,341990000.0,3186220000.0,0.0,113977414.0,113977414.0,3.000507,3.000507,341990000.0,341990000.0,0.0,341990000.0,0.0,341990000.0,341990000.0,124020000.0,466010000.0,110000.0,3110000.0,,-3110000.0,-53470000.0,3160000.0,55850000.0,5540000.0,512050000.0,385830000.0,109100000.0,77530000.0,100000.0,77430000.0,57800000.0,41440000.0,16360000.0,0.0,897880000.0,2800390000.0,3698270000.0,3698270000.0,113977414.0,113977414.0,613830000.0,678140000.0,790340000.0,1440540000.0,40860000.0,790340000.0,28300000.0,790700000.0,848360000.0,790700000.0,0.0,790700000.0,590500000.0,120630000.0,58520000.0,58520000.0,1732280000.0,215120000.0,51860000.0,0.0,0.0,83110000.0,25450000.0,57660000.0,76400000.0,1517160000.0,30000.0,131830000.0,595030000.0,2850000.0,592180000.0,47990000.0,31460000.0,623770000.0,26700000.0,597070000.0,2522980000.0,964960000.0,10000.0,12680000.0,2340000.0,0.0,,0.0,0.0,360000.0,360000.0,888100000.0,-146380000.0,1034480000.0,79040000.0,51700000.0,764800000.0,101420000.0,37520000.0,0.0,1558020000.0,3890000.0,42150000.0,59030000.0,678980000.0,291220000.0,191320000.0,196440000.0,7650000.0,890000.0,729410000.0,-89170000.0,818580000.0,36020000.0,10000.0,36010000.0,0.0,36010000.0,249270000.0,-367440000.0,84880000.0,-249960000.0,36010000.0,75420000.0,-39410000.0,-333190000.0,-50530000.0,-282560000.0,-169790000.0,-234420000.0,64630000.0,-112770000.0,-133020000.0,20250000.0,-205450000.0,4240000.0,40270000.0,40270000.0,,0.0,0.0,-249960000.0,0.0,-249960000.0,499230000.0,-102790000.0,-9950000.0,182160000.0,75590000.0,-267700000.0,53470000.0,0.0,18070000.0,77530000.0,100000.0,77430000.0,0.0,466010000.0
2022-03-31,-9251093.710849,0.293034,419640000.0,-31570000.0,-31570000.0,169290000.0,69330000.0,2698500000.0,388070000.0,318740000.0,-81250000.0,79280000.0,2430000.0,191608906.289151,169290000.0,3104970000.0,0.0,113977414.0,113977414.0,1.485294,1.485294,169290000.0,169290000.0,0.0,169290000.0,0.0,169290000.0,169290000.0,70170000.0,239460000.0,10000.0,-31570000.0,-310000.0,31880000.0,-81250000.0,4400000.0,79280000.0,2430000.0,349650000.0,406470000.0,120460000.0,69330000.0,210000.0,69120000.0,71370000.0,32080000.0,39290000.0,0.0,756120000.0,2698500000.0,3454620000.0,3454620000.0,113977414.0,113977414.0,799980000.0,904910000.0,436340000.0,1312110000.0,-83320000.0,436340000.0,29510000.0,436710000.0,585120000.0,436710000.0,0.0,436710000.0,242590000.0,120630000.0,58520000.0,58520000.0,1781660000.0,276700000.0,43040000.0,0.0,0.0,174840000.0,26430000.0,148410000.0,54720000.0,1504960000.0,,107450000.0,730070000.0,3080000.0,726990000.0,38840000.0,23680000.0,549890000.0,8940000.0,540950000.0,2218370000.0,796730000.0,,7180000.0,1200000.0,35000000.0,35000000.0,0.0,0.0,370000.0,370000.0,712650000.0,-68950000.0,781600000.0,1970000.0,51040000.0,589740000.0,101330000.0,37520000.0,0.0,1421640000.0,2440000.0,68760000.0,67090000.0,754570000.0,298010000.0,256840000.0,199720000.0,4270000.0,73990000.0,374980000.0,-100560000.0,475540000.0,75540000.0,120000.0,75420000.0,0.0,75420000.0,298440000.0,-379480000.0,321270000.0,-350710000.0,75420000.0,21030000.0,54390000.0,-135080000.0,-66380000.0,-58210000.0,237300000.0,-57780000.0,295080000.0,-295510000.0,-321700000.0,26190000.0,-459680000.0,2470000.0,-80500000.0,0.0,-80500000.0,-33740000.0,-33740000.0,-347910000.0,2800000.0,-350710000.0,649150000.0,-26720000.0,177730000.0,296160000.0,-102470000.0,-15960000.0,81250000.0,0.0,76530000.0,69330000.0,210000.0,69120000.0,-310000.0,239460000.0
