,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Derivative Product Liabilities,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Financial Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Joint Venturesat Cost,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repurchase Of Capital Stock,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Payments,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Purchase Of Business,CashFlow_Net Intangibles Purchase And Sale,CashFlow_Purchase Of Intangibles,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,-81393280.178009,0.255071,8551800000.0,-319100000.0,-319100000.0,1945700000.0,3474500000.0,41366600000.0,8232700000.0,4758200000.0,-2035700000.0,2061700000.0,99900000.0,2183406719.821991,1945700000.0,51526400000.0,78400000.0,23250353.0,23250353.0,83.68,83.68,1945700000.0,1945700000.0,0.0,1945700000.0,-63000000.0,2008700000.0,2008700000.0,687800000.0,2696500000.0,36600000.0,-316300000.0,254000000.0,56000000.0,6300000.0,-2035700000.0,73900000.0,2061700000.0,99900000.0,4922200000.0,10159800000.0,137600000.0,3463900000.0,32700000.0,3431200000.0,2569400000.0,1360500000.0,1208900000.0,78400000.0,15082000000.0,41366600000.0,56448600000.0,56448600000.0,23855583.0,23855583.0,19568400000.0,23581800000.0,26335100000.0,49110000000.0,5105300000.0,26335100000.0,3039200000.0,28567400000.0,45086000000.0,28567400000.0,0.0,28567400000.0,40600000.0,12818300000.0,14600900000.0,119300000.0,119300000.0,42597000000.0,18719700000.0,200000.0,14300000.0,60600000.0,18549200000.0,2030600000.0,16518600000.0,33600000.0,23877300000.0,10900000.0,116200000.0,5032600000.0,1008600000.0,4024000000.0,1427000000.0,216000000.0,14891100000.0,2143200000.0,200000.0,116200000.0,12747700000.0,71164400000.0,42181800000.0,1158600000.0,1726600000.0,0.0,1700000.0,59400000.0,59400000.0,46700000.0,46700000.0,2232300000.0,331700000.0,1900600000.0,37923600000.0,-17013300000.0,54936900000.0,3440900000.0,34487100000.0,38250600000.0,10856000000.0,2389400000.0,0.0,28982600000.0,5200000.0,113800000.0,3493300000.0,250900000.0,1452800000.0,13320500000.0,83600000.0,1473300000.0,4146300000.0,7617300000.0,158800000.0,9205900000.0,-167100000.0,9373000000.0,981400000.0,7200000.0,974200000.0,974200000.0,-7082700000.0,,-7199200000.0,12911900000.0,11802300000.0,-9916000000.0,974200000.0,252000000.0,634900000.0,2300000.0,85000000.0,13934200000.0,-2139100000.0,-237700000.0,11802300000.0,,11802300000.0,5069600000.0,-643100000.0,,,5712700000.0,-7199200000.0,12911900000.0,-16682500000.0,127100000.0,-54200000.0,-54200000.0,-6862400000.0,-6862400000.0,-28200000.0,-28200000.0,-9864800000.0,23000000.0,-9887800000.0,2833300000.0,-736200000.0,-4277000000.0,-1475700000.0,-675100000.0,1015200000.0,-1434600000.0,-1617100000.0,1586400000.0,178000000.0,3474500000.0,,3474500000.0,-700000.0,-82700000.0,-700000.0,2696500000.0
2024-03-31,-5214814.814815,0.241427,8916400000.0,-21600000.0,-21600000.0,3044700000.0,2744600000.0,31156600000.0,8894800000.0,6150200000.0,-1704100000.0,1703300000.0,30000000.0,3061085185.185185,3044700000.0,38161600000.0,26800000.0,21128311.0,21128311.0,144.11,144.11,3044700000.0,3044700000.0,0.0,3044700000.0,-328600000.0,3373300000.0,3373300000.0,1073600000.0,4446900000.0,16200000.0,-21600000.0,-10700000.0,0.0,32300000.0,-1704100000.0,30800000.0,1703300000.0,30000000.0,6043700000.0,7005000000.0,20500000.0,2744600000.0,8000000.0,2736600000.0,1637700000.0,945900000.0,691800000.0,26800000.0,13048700000.0,31156600000.0,44205300000.0,44205300000.0,21128311.0,21128311.0,14829400000.0,17548200000.0,14636700000.0,32044100000.0,2521900000.0,14636700000.0,2083900000.0,16579800000.0,27828200000.0,17516600000.0,936800000.0,16579800000.0,30800000.0,12689000000.0,2812300000.0,105600000.0,105600000.0,29540800000.0,14232900000.0,200000.0,20900000.0,1314800000.0,12897000000.0,1648600000.0,11248400000.0,,15307900000.0,,91200000.0,4651200000.0,435300000.0,4215900000.0,278100000.0,112100000.0,9156800000.0,1364600000.0,0.0,,7792200000.0,47057400000.0,29227600000.0,,1638500000.0,,8400000.0,7900000.0,7900000.0,36800000.0,36800000.0,1943100000.0,43200000.0,1899900000.0,25510100000.0,-13927200000.0,39437300000.0,1791600000.0,,30237900000.0,6248200000.0,1159600000.0,0.0,17829800000.0,13400000.0,85900000.0,0.0,188700000.0,701300000.0,10408200000.0,71400000.0,430600000.0,3098000000.0,6808200000.0,24500000.0,5766300000.0,-64600000.0,5830900000.0,641500000.0,6600000.0,634900000.0,634900000.0,-1176900000.0,,-2329600000.0,4771600000.0,0.0,-6310000000.0,634900000.0,,273200000.0,5600000.0,356100000.0,1482300000.0,-1718000000.0,-237700000.0,0.0,,0.0,3937500000.0,1495500000.0,,,2442000000.0,-2329600000.0,4771600000.0,-6259300000.0,23300000.0,-1800000.0,-1800000.0,0.0,0.0,-19500000.0,-19500000.0,-6261300000.0,29200000.0,-6290500000.0,5133100000.0,-1475400000.0,-1923600000.0,-211800000.0,-222900000.0,907400000.0,-2087600000.0,-309500000.0,1393000000.0,38700000.0,2744600000.0,8000000.0,2736600000.0,-10700000.0,-104200000.0,-10700000.0,4446900000.0
2023-03-31,-4448310.268046,0.292652,6804500000.0,-15200000.0,-15200000.0,2483900000.0,2216100000.0,21395700000.0,6789300000.0,4573200000.0,-989200000.0,1025300000.0,73300000.0,2494651689.731954,2483900000.0,27008400000.0,17600000.0,21128311.0,21128311.0,117.56,117.56,2483900000.0,2483900000.0,0.0,2483900000.0,-25700000.0,2509600000.0,2509600000.0,1038300000.0,3547900000.0,6300000.0,-15200000.0,-4100000.0,7300000.0,12000000.0,-989200000.0,37200000.0,1025300000.0,73300000.0,4639300000.0,5612700000.0,23600000.0,2204100000.0,16900000.0,2187200000.0,1208200000.0,727500000.0,480700000.0,17600000.0,10252000000.0,21395700000.0,31647700000.0,31647700000.0,21128311.0,21128311.0,11254000000.0,12402300000.0,11837600000.0,25296200000.0,2455300000.0,11837600000.0,875100000.0,13769000000.0,22830700000.0,14379000000.0,610000000.0,13769000000.0,22200000.0,9912400000.0,2812300000.0,105600000.0,105600000.0,23688200000.0,11264500000.0,200000.0,37500000.0,1411200000.0,9815600000.0,753900000.0,9061700000.0,,12423700000.0,1111100000.0,315600000.0,2586700000.0,121200000.0,2465500000.0,225700000.0,67700000.0,8127400000.0,1011200000.0,,315600000.0,7116200000.0,38067200000.0,23188200000.0,599100000.0,932900000.0,,13800000.0,6100000.0,6100000.0,28200000.0,28200000.0,1931400000.0,31500000.0,1899900000.0,20273700000.0,-11624200000.0,31897900000.0,967400000.0,19307400000.0,25918000000.0,4065200000.0,947300000.0,0.0,14879000000.0,4400000.0,79800000.0,,200100000.0,589900000.0,8360100000.0,59900000.0,448600000.0,1729900000.0,6121700000.0,18500000.0,5352900000.0,-74000000.0,5426900000.0,273300000.0,100000.0,273200000.0,273200000.0,2624100000.0,0.0,-2565400000.0,5763100000.0,,-3452500000.0,273200000.0,247000000.0,294300000.0,4000000.0,-272100000.0,730400000.0,-1026700000.0,-79300000.0,0.0,0.0,,2041700000.0,-1156000000.0,,,3197700000.0,-2565400000.0,5763100000.0,-7079100000.0,65300000.0,1600000.0,,-3750000000.0,-3750000000.0,-5800000.0,-5800000.0,-3390200000.0,56500000.0,-3446700000.0,6076600000.0,-726200000.0,105300000.0,114800000.0,237600000.0,1404200000.0,-824200000.0,-830400000.0,810600000.0,26400000.0,2216100000.0,,2216100000.0,-4100000.0,98100000.0,-4100000.0,3547900000.0
2022-03-31,2147952.170977,0.352123,5308100000.0,6100000.0,6100000.0,1630900000.0,2059800000.0,14073400000.0,5314200000.0,3254400000.0,-746800000.0,737100000.0,23300000.0,1626947952.170977,1630900000.0,18647400000.0,14000000.0,21128311.0,21128311.0,77.19,77.19,1630900000.0,1630900000.0,0.0,1630900000.0,0.0,1630900000.0,1630900000.0,886400000.0,2517300000.0,2900000.0,4700000.0,-14100000.0,0.0,9400000.0,-746800000.0,33000000.0,737100000.0,23300000.0,3291100000.0,4574000000.0,12000000.0,2050500000.0,27400000.0,2023100000.0,849500000.0,508900000.0,340600000.0,14000000.0,7865100000.0,14073400000.0,21938500000.0,21938500000.0,21128311.0,21128311.0,6861700000.0,7995500000.0,11315000000.0,18513400000.0,513100000.0,11315000000.0,839500000.0,11357400000.0,15095200000.0,11357400000.0,0.0,11357400000.0,17500000.0,7513600000.0,2812300000.0,105600000.0,105600000.0,15390400000.0,5609600000.0,200000.0,35300000.0,1167800000.0,4406300000.0,668500000.0,3737800000.0,,9780800000.0,900000.0,69000000.0,3589200000.0,171000000.0,3418200000.0,167400000.0,47100000.0,5249900000.0,624300000.0,,69000000.0,4625600000.0,26747800000.0,16453900000.0,-100000.0,565500000.0,,4300000.0,3000000.0,3000000.0,23500000.0,23500000.0,42400000.0,42400000.0,0.0,15815300000.0,-9754400000.0,25569700000.0,419800000.0,15395400000.0,21238500000.0,3066300000.0,845100000.0,0.0,10293900000.0,15600000.0,81200000.0,,137700000.0,513800000.0,6264100000.0,41400000.0,315100000.0,1075800000.0,4831800000.0,22300000.0,2962100000.0,-73400000.0,3035500000.0,297100000.0,2800000.0,294300000.0,294300000.0,1143200000.0,-18500000.0,-1391100000.0,1050500000.0,,-2128900000.0,294300000.0,,312700000.0,-800000.0,-17600000.0,-1200400000.0,-768700000.0,,-18500000.0,-18500000.0,,10200000.0,350800000.0,,350800000.0,-340600000.0,-1391100000.0,1050500000.0,-2089300000.0,13800000.0,0.0,,0.0,0.0,-2200000.0,-2200000.0,-2100900000.0,25800000.0,-2126700000.0,3272100000.0,-367600000.0,-1516500000.0,-47000000.0,206000000.0,1104800000.0,-2256200000.0,-530300000.0,514900000.0,46800000.0,2059800000.0,,2059800000.0,-15500000.0,36700000.0,-14100000.0,2517300000.0
