,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Defined Pension Benefit,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Inventories Adjustments Allowances,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,0.0,0.3,221104000.0,0.0,0.0,13991000.0,106094000.0,5793531000.0,221104000.0,115010000.0,-292672000.0,280008000.0,5807000.0,13991000.0,13991000.0,7059182000.0,153000.0,96989200.0,96989200.0,0.14,0.14,13991000.0,13991000.0,0.0,13991000.0,13991000.0,0.0,13991000.0,-178989000.0,-164998000.0,1520000.0,0.0,,,-292672000.0,18471000.0,280008000.0,5807000.0,133835000.0,1265651000.0,888308000.0,106094000.0,163000.0,105931000.0,568701000.0,1059000.0,21549000.0,153000.0,1399486000.0,5793531000.0,7193017000.0,7193017000.0,96989200.0,96989200.0,3127217000.0,3179958000.0,2224492000.0,5354398000.0,1157666000.0,2224492000.0,51944000.0,2226384000.0,2537290000.0,2226384000.0,2226384000.0,-3000.0,1437058000.0,215258000.0,96989000.0,96989000.0,3968645000.0,379055000.0,30000.0,2845000.0,0.0,356119000.0,45213000.0,310906000.0,2845000.0,3589590000.0,249332000.0,2823839000.0,6731000.0,2817108000.0,2214000.0,2214000.0,534898000.0,113590000.0,1676000.0,,419632000.0,6195029000.0,1447772000.0,-886000.0,0.0,15944000.0,76600000.0,46368000.0,46368000.0,1892000.0,1892000.0,1281297000.0,-603256000.0,1884553000.0,9432000.0,129113000.0,1072058000.0,569597000.0,104353000.0,0.0,4747256000.0,3505000.0,0.0,,161564000.0,548918000.0,2166660000.0,-9888000.0,1433304000.0,0.0,743244000.0,1142900000.0,722912000.0,-31408000.0,754320000.0,797000.0,199020000.0,797000.0,797000.0,393385000.0,,,-47881000.0,797000.0,,542000.0,255000.0,-274814000.0,11000.0,-298070000.0,,37434000.0,-106161000.0,,,143595000.0,,-166197000.0,-125023000.0,6707000.0,-47881000.0,0.0,-47881000.0,441266000.0,-4032000.0,217118000.0,124032000.0,-235948000.0,-102658000.0,661804000.0,-230112000.0,291363000.0,-4278000.0,106094000.0,163000.0,105931000.0,,0.0,-164998000.0
2024-03-31,114.364678,0.018298,-319306000.0,6000.0,6000.0,-704899000.0,115178000.0,4628540000.0,-319300000.0,-434480000.0,-308317000.0,284116000.0,9895000.0,-704904885.635322,-704899000.0,5746983000.0,256000.0,96989200.0,96989200.0,-7.27,-7.27,-704899000.0,-704899000.0,0.0,-734839000.0,-704899000.0,0.0,-704899000.0,-13697000.0,-718596000.0,2752000.0,6000.0,-6000.0,0.0,-308317000.0,34096000.0,284116000.0,9895000.0,-399989000.0,1118443000.0,658734000.0,115180000.0,53000.0,115127000.0,432190000.0,6380000.0,19295000.0,256000.0,718454000.0,4628540000.0,5346994000.0,5346994000.0,96989200.0,96989200.0,3090037000.0,3156701000.0,2204444000.0,5295470000.0,1116066000.0,2204444000.0,66122000.0,2204891000.0,2372202000.0,2204891000.0,2204891000.0,-3000.0,1422863000.0,215258000.0,96989000.0,96989000.0,4025724000.0,329824000.0,,3041000.0,101852000.0,219255000.0,51944000.0,167311000.0,3041000.0,3695900000.0,130032000.0,2937446000.0,14178000.0,2923268000.0,1875000.0,1875000.0,645805000.0,121734000.0,1781000.0,,522290000.0,6230615000.0,1418648000.0,943000.0,2358000.0,16322000.0,0.0,36679000.0,36679000.0,447000.0,447000.0,1340956000.0,-497325000.0,1838281000.0,18097000.0,129111000.0,1017123000.0,569597000.0,104353000.0,0.0,4811966000.0,5353000.0,775000.0,0.0,36541000.0,422068000.0,2828465000.0,-9888000.0,2230387000.0,0.0,607966000.0,1028664000.0,489558000.0,-34430000.0,523988000.0,542000.0,74767000.0,542000.0,542000.0,-672577000.0,,954737000.0,-118653000.0,542000.0,,1550000.0,-1008000.0,534956000.0,9000.0,-307528000.0,-28890000.0,879077000.0,954737000.0,,954737000.0,-75660000.0,,17960000.0,125908000.0,10646000.0,-118594000.0,59000.0,-118653000.0,-553924000.0,-49735000.0,-177149000.0,-215440000.0,843198000.0,-692359000.0,-274133000.0,161585000.0,306332000.0,-29948000.0,115180000.0,53000.0,115125000.0,,-6000.0,-718596000.0
2023-03-31,-1178894.14937,0.26793,771399000.0,-4400000.0,-4400000.0,373578000.0,90619000.0,6693462000.0,766999000.0,676380000.0,-188276000.0,166076000.0,8613000.0,376799105.85063,421251000.0,8139218000.0,22987000.0,96989200.0,96989200.0,4.34,4.34,421251000.0,421251000.0,0.0,421251000.0,421251000.0,47673000.0,373578000.0,136726000.0,510304000.0,899000.0,-4400000.0,,4400000.0,-188276000.0,30813000.0,166076000.0,8613000.0,725618000.0,1445756000.0,981814000.0,90619000.0,0.0,90619000.0,24436000.0,7656000.0,16780000.0,22987000.0,2171374000.0,6693462000.0,8864836000.0,8864836000.0,96989200.0,96989200.0,2209951000.0,2285326000.0,2937599000.0,5149100000.0,1887505000.0,2937599000.0,73825000.0,2937599000.0,3180569000.0,2937599000.0,2937599000.0,2840610000.0,2156654000.0,215258000.0,96989000.0,96989000.0,4132518000.0,409979000.0,,3805000.0,102587000.0,298430000.0,55460000.0,242970000.0,3805000.0,3722539000.0,284481000.0,1986896000.0,18365000.0,1968531000.0,63289000.0,63289000.0,1391263000.0,207168000.0,1574000.0,,1182521000.0,7070117000.0,1460073000.0,1000.0,5203000.0,72780000.0,,34868000.0,34868000.0,0.0,,1328714000.0,-382356000.0,1711070000.0,34644000.0,119892000.0,910494000.0,541687000.0,104353000.0,0.0,5610044000.0,4213000.0,306000.0,33391000.0,162243000.0,657999000.0,2520942000.0,-9888000.0,1414721000.0,0.0,1116109000.0,1578545000.0,650855000.0,-34430000.0,685285000.0,1550000.0,194678000.0,1550000.0,1550000.0,-1208174000.0,,683419000.0,-326622000.0,1550000.0,,471857000.0,-470307000.0,632911000.0,,-192522000.0,-14577000.0,855299000.0,683419000.0,,683419000.0,171880000.0,,-221666000.0,-34088000.0,8613000.0,-196191000.0,130431000.0,-326622000.0,-881552000.0,-103401000.0,-1619516000.0,-196381000.0,-917419000.0,193869000.0,-428513000.0,-271072000.0,184529000.0,55915000.0,90619000.0,0.0,90619000.0,0.0,-63706000.0,574010000.0
2022-03-31,-12816122.856979,0.220804,1273504000.0,-58043000.0,-58043000.0,801686000.0,76717000.0,5651917000.0,1215461000.0,1138744000.0,-121460000.0,109881000.0,5574000.0,846912877.143021,794962000.0,6996509000.0,14590000.0,96989200.0,96989200.0,8.2,8.2,794962000.0,794962000.0,0.0,794962000.0,794962000.0,-6724000.0,801686000.0,227177000.0,1028863000.0,1589000.0,-58043000.0,20610000.0,37433000.0,-121460000.0,17153000.0,109881000.0,5574000.0,1241270000.0,1344592000.0,917911000.0,73376000.0,107000.0,73269000.0,28504000.0,10814000.0,17690000.0,14590000.0,2585862000.0,5651917000.0,8237779000.0,8237779000.0,96989200.0,96989200.0,884348000.0,1421202000.0,2522555000.0,3878760000.0,1529650000.0,2522555000.0,64997000.0,2522555000.0,2593648000.0,2522555000.0,2522555000.0,2425566000.0,1749747000.0,215258000.0,96989000.0,96989000.0,3185209000.0,252889000.0,,5072000.0,115356000.0,127770000.0,56677000.0,71093000.0,5072000.0,2932320000.0,501783000.0,1293432000.0,8320000.0,1285112000.0,2403000.0,2403000.0,1171550000.0,181294000.0,1603000.0,,988653000.0,5707764000.0,1245794000.0,1000.0,6742000.0,103039000.0,,34394000.0,34394000.0,0.0,,1068484000.0,-304800000.0,1373284000.0,52598000.0,95666000.0,633253000.0,487414000.0,104353000.0,0.0,4461970000.0,5459000.0,1640000.0,61268000.0,128184000.0,568452000.0,2092827000.0,-9491000.0,1023463000.0,0.0,1078855000.0,752112000.0,380171000.0,-31715000.0,411886000.0,471857000.0,158541000.0,471857000.0,471857000.0,122068000.0,-119327000.0,690426000.0,-147643000.0,471857000.0,,3390000.0,468467000.0,397011000.0,1000.0,-126241000.0,-29097000.0,571099000.0,690426000.0,,690426000.0,-119327000.0,-119327000.0,-198255000.0,-69046000.0,5580000.0,-134789000.0,12854000.0,-147643000.0,269711000.0,-284485000.0,-699401000.0,293438000.0,-592660000.0,517358000.0,-971134000.0,53597000.0,120661000.0,16106000.0,76717000.0,,76717000.0,-373000.0,20610000.0,1019877000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1710000.0,14266000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,108000.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,-128262000.0,,,,1000.0,,,,,,-28881000.0,,,-475092000.0,,,-128262000.0,,,,,,,,,,,,,,,,,,,,0.0,,
