,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Research And Development,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Treasury Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Fixed Assets Revaluation Reserve,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Associatesat Cost,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Net Income From Continuing Operations
2025-03-31,-364177.9,0.2459,4844509000.0,-1481000.0,-1481000.0,1952845000.0,1111326000.0,32493667000.0,4843028000.0,3731702000.0,-1150133000.0,1141774000.0,22297000.0,1953961822.1,1952845000.0,40414092000.0,126037000.0,157628512.0,156929325.0,12.39,12.44,1952845000.0,1952845000.0,0.0,1952845000.0,1952845000.0,1952845000.0,637083000.0,2589928000.0,9379000.0,-1481000.0,1382000.0,99000.0,-1150133000.0,30656000.0,1141774000.0,22297000.0,3733554000.0,7920425000.0,2790081000.0,1111326000.0,,1111326000.0,,234242000.0,4412000.0,229830000.0,126037000.0,11653979000.0,32493667000.0,44147646000.0,44147646000.0,,156929325.0,156929325.0,8199913000.0,8276358000.0,16249043000.0,24531138000.0,-950475000.0,16249043000.0,2021000.0,16256801000.0,19043016000.0,16256801000.0,16256801000.0,80212000.0,876453000.0,-4382314000.0,3230182000.0,156929000.0,156929000.0,17732327000.0,4026203000.0,,61661000.0,195468000.0,982859000.0,2786215000.0,0.0,2786215000.0,61661000.0,13706124000.0,619243000.0,,5490143000.0,2021000.0,5488122000.0,61874000.0,61874000.0,8154107000.0,619243000.0,4736000.0,0.0,7530128000.0,33989128000.0,21233479000.0,289889000.0,140289000.0,,1940000.0,1940000.0,102940000.0,102940000.0,7758000.0,7758000.0,20970750000.0,-13425369000.0,34396119000.0,3154912000.0,12982000.0,24870322000.0,4965974000.0,1391929000.0,0.0,12755649000.0,1000.0,5539000.0,87752000.0,7427619000.0,219387000.0,868118000.0,841052000.0,5499062000.0,37777000.0,237813000.0,4863738000.0,-2026000.0,4865764000.0,95410000.0,20986000.0,74424000.0,74424000.0,3042913000.0,-1158277000.0,0.0,0.0,-2123452000.0,100950000.0,428808000.0,-327858000.0,-3536847000.0,,-1172430000.0,-156929000.0,0.0,0.0,-2204977000.0,-1046700000.0,-1158277000.0,-1158277000.0,0.0,-1957376000.0,,22297000.0,-70691000.0,,-70691000.0,-1908982000.0,214470000.0,-2123452000.0,5166365000.0,-650000000.0,923689000.0,362272000.0,1530540000.0,-458099000.0,-466436000.0,1142363000.0,46286000.0,1111326000.0,,1111326000.0,1382000.0,,2589928000.0
2024-03-31,438210234.0,0.0924,4726497000.0,4742535000.0,4742535000.0,6746845000.0,1042214000.0,32631494000.0,9469032000.0,8426818000.0,-905890000.0,992530000.0,120770000.0,2442520234.0,6746845000.0,39801033000.0,109772000.0,156897544.0,156639402.0,43.0,43.07,6746845000.0,6746845000.0,0.0,6746845000.0,6746845000.0,6746845000.0,687443000.0,7434288000.0,4248000.0,4742535000.0,-4742568000.0,33000.0,-905890000.0,34130000.0,992530000.0,120770000.0,3610493000.0,7169539000.0,2318306000.0,1042214000.0,,1042214000.0,,275760000.0,5834000.0,269926000.0,109772000.0,10780032000.0,32631494000.0,43411526000.0,43411526000.0,0.0,156929325.0,156929325.0,10076317000.0,10483848000.0,14413151000.0,24901684000.0,-1233999000.0,14413151000.0,4531000.0,14422367000.0,18236024000.0,14422367000.0,14422367000.0,33926000.0,876453000.0,576384000.0,3230182000.0,156929000.0,156929000.0,18503227000.0,5133852000.0,,116563000.0,193187000.0,1008425000.0,3815677000.0,2020000.0,3813657000.0,342959000.0,13369375000.0,519851000.0,,6668171000.0,2511000.0,6665660000.0,61526000.0,61526000.0,6639678000.0,635725000.0,4365000.0,0.0,5999588000.0,32925594000.0,20790218000.0,727649000.0,133207000.0,,1940000.0,1940000.0,35022000.0,35022000.0,9216000.0,9216000.0,20609247000.0,-12596733000.0,33205980000.0,4340433000.0,12982000.0,22492288000.0,4884073000.0,1476204000.0,0.0,12135376000.0,177483000.0,4366000.0,58355000.0,6969520000.0,46957000.0,851576000.0,831095000.0,5239892000.0,43578000.0,237813000.0,4397302000.0,-2026000.0,4399328000.0,424442000.0,21442000.0,403000000.0,403000000.0,-1899811000.0,-1667330000.0,3403583000.0,8322000.0,-3828667000.0,428808000.0,439965000.0,-11157000.0,1709932000.0,-292623000.0,-1026660000.0,-156513000.0,8322000.0,8322000.0,3179689000.0,1443436000.0,1736253000.0,-1667330000.0,3403583000.0,-3649945000.0,,144862000.0,11529000.0,11529000.0,0.0,-3806336000.0,22331000.0,-3828667000.0,1928856000.0,-620403000.0,-2155454000.0,-565058000.0,-998693000.0,369954000.0,-909811000.0,-3812212000.0,47433000.0,1042214000.0,,1042214000.0,-11529000.0,,7434288000.0
2023-03-31,-180982.054483,0.334532,4523214000.0,-541000.0,-541000.0,1937940000.0,804410000.0,30640623000.0,4522673000.0,3718263000.0,-716628000.0,806115000.0,118821000.0,1938300017.945517,1937940000.0,36486419000.0,88303000.0,156883962.0,156432940.0,12.35,12.39,1937940000.0,1937940000.0,0.0,1937940000.0,1937940000.0,1937940000.0,974208000.0,2912148000.0,5201000.0,-541000.0,500000.0,41000.0,-716628000.0,29334000.0,806115000.0,118821000.0,3782532000.0,5845796000.0,2031021000.0,804410000.0,,804410000.0,,216741000.0,6862000.0,209879000.0,88303000.0,9628328000.0,30640623000.0,40268951000.0,40268951000.0,,156513200.0,156513200.0,6199231000.0,6389350000.0,11345174000.0,17729665000.0,-369483000.0,11345174000.0,6814000.0,11347129000.0,12957612000.0,11347129000.0,11347129000.0,43305000.0,,1613948000.0,1391744000.0,156513000.0,156513000.0,16466464000.0,4314457000.0,,305240000.0,676399000.0,1715521000.0,1617297000.0,6814000.0,1610483000.0,305240000.0,12152007000.0,380870000.0,0.0,4772053000.0,0.0,4772053000.0,50803000.0,50803000.0,7329000000.0,376713000.0,4006000.0,0.0,6948281000.0,27813593000.0,16031069000.0,543599000.0,116653000.0,,1940000.0,1940000.0,39541000.0,39541000.0,1955000.0,1955000.0,15648042000.0,-8133682000.0,23781724000.0,2164304000.0,12982000.0,16522677000.0,3715102000.0,1366659000.0,0.0,11782524000.0,428962000.0,4006000.0,70324000.0,7339473000.0,78399000.0,870348000.0,598211000.0,5792515000.0,47598000.0,397673000.0,3487491000.0,-2026000.0,3489517000.0,435959000.0,252654000.0,183305000.0,183305000.0,2114146000.0,-2621460000.0,1439400000.0,8370000.0,-1367049000.0,439965000.0,579097000.0,-139132000.0,-2340913000.0,-214389000.0,-835449000.0,-117385000.0,8370000.0,8370000.0,-1182060000.0,-214389000.0,-1182060000.0,-2621460000.0,1439400000.0,-1279414000.0,1000.0,118821000.0,-40101000.0,,-40101000.0,-1358135000.0,8914000.0,-1367049000.0,3481195000.0,-476000000.0,-476383000.0,-288610000.0,357032000.0,-869604000.0,429509000.0,716628000.0,26385000.0,804410000.0,,804410000.0,500000.0,,2885655000.0
2022-03-31,0.0,0.323059,4658094000.0,0.0,0.0,2054641000.0,768699000.0,21871435000.0,4658094000.0,3889395000.0,-854209000.0,854209000.0,107941000.0,2054641000.0,2054641000.0,31840405000.0,65093000.0,156484463.0,156127736.0,13.13,13.16,2054641000.0,2054641000.0,0.0,2054641000.0,2054641000.0,2054641000.0,980545000.0,3035186000.0,130266000.0,0.0,-6058000.0,112000.0,-854209000.0,65934000.0,854209000.0,107941000.0,3759129000.0,9968970000.0,6842314000.0,768699000.0,5349000.0,768699000.0,81789000.0,2759664000.0,2452892000.0,306772000.0,65093000.0,13728099000.0,21871435000.0,35599534000.0,35599534000.0,,156094700.0,156094700.0,7546943000.0,7778985000.0,9504873000.0,17297356000.0,32178000.0,9504873000.0,,9518371000.0,12310914000.0,9518371000.0,9518371000.0,100631000.0,,1874586000.0,1353033000.0,156095000.0,156095000.0,17497533000.0,5484041000.0,1000.0,234566000.0,750516000.0,1706415000.0,2792543000.0,,2792543000.0,234566000.0,12013492000.0,371946000.0,18211000.0,4986442000.0,,4986442000.0,45644000.0,45644000.0,6959855000.0,364261000.0,4345000.0,18211000.0,6591249000.0,27015904000.0,14970234000.0,-20000.0,90675000.0,,1940000.0,1940000.0,,,13498000.0,13498000.0,14640204000.0,-7348283000.0,21988487000.0,1057503000.0,13582681000.0,16049093000.0,3631782000.0,1250109000.0,0.0,12045670000.0,-1000.0,4345000.0,54832000.0,6469869000.0,67405000.0,688872000.0,543990000.0,5169602000.0,41233000.0,977274000.0,3923365000.0,-3501000.0,3926866000.0,574752000.0,342710000.0,232042000.0,232042000.0,2369827000.0,-2964963000.0,1225643000.0,0.0,-1691294000.0,579097000.0,531959000.0,47138000.0,-2478838000.0,,-854209000.0,-31219000.0,0.0,0.0,-1593410000.0,145910000.0,-1739320000.0,-2964963000.0,1225643000.0,-1535145000.0,,107941000.0,6058000.0,6058000.0,0.0,-1649144000.0,42150000.0,-1691294000.0,4061121000.0,-462000000.0,-22944000.0,423319000.0,2468881000.0,-1505079000.0,-1359976000.0,746268000.0,27700000.0,768699000.0,5349000.0,768699000.0,-6058000.0,,3009456000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5349000.0,,64024000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2000.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-264304000.0,,,,,,,,,,,2000.0,,,7251000.0,,,,,,,,,,,,,,,5349000.0,,,0.0,
