,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Derivative Product Liabilities,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Financial Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Current Assets,Balance_Current Deferred Taxes Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Common Stock Dividend Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Interest Received Cfo,CashFlow_Interest Paid Cfo,CashFlow_Dividend Received Cfo,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Income From Continuing Operations
2025-03-31,-33171.745152,0.221145,6087000.0,-150000.0,-150000.0,1687000.0,3498000.0,11518000.0,5937000.0,2439000.0,2389000.0,273000.0,2691000.0,1803828.254848,1687000.0,23324000.0,972000.0,142500000.0,142500000.0,0.01,0.01,1687000.0,1687000.0,0.0,1687000.0,1687000.0,0.0,1687000.0,479000.0,2166000.0,6041000.0,0.0,,0.0,2389000.0,29000.0,273000.0,2691000.0,-73000.0,11806000.0,7402000.0,3498000.0,0.0,3498000.0,-1504000.0,390000.0,-1894000.0,972000.0,11733000.0,11518000.0,23251000.0,23251000.0,142500000.0,142500000.0,121881000.0,125972000.0,213883000.0,339855000.0,-66468000.0,213883000.0,213883000.0,229084000.0,213883000.0,,213883000.0,71383000.0,28617000.0,30000000.0,142500000.0,142500000.0,136656000.0,15202000.0,1000.0,0.0,0.0,15201000.0,15201000.0,5739000.0,121454000.0,1543000.0,110771000.0,110771000.0,,3194000.0,5946000.0,5093000.0,47000.0,806000.0,0.0,350539000.0,295553000.0,,46000.0,0.0,7889000.0,7889000.0,7889000.0,0.0,0.0,0.0,17104000.0,-13631000.0,30735000.0,0.0,17104000.0,30735000.0,54986000.0,46000.0,50849000.0,,0.0,270560000.0,0.0,0.0,,4091000.0,50849000.0,4091000.0,0.0,4091000.0,-29874000.0,-7609000.0,0.0,90000000.0,-1084000.0,54940000.0,2423000.0,0.0,52517000.0,82391000.0,,90000000.0,90000000.0,-7609000.0,-7609000.0,-7609000.0,0.0,-1084000.0,,0.0,0.0,0.0,-1084000.0,0.0,-1084000.0,-28790000.0,-829000.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1255000.0,272000.0,3498000.0,65000.0,3433000.0,-35152000.0,2166000.0
2024-03-31,0.0,0.3,5669000.0,0.0,0.0,1202000.0,3565000.0,4795000.0,5669000.0,2104000.0,-162000.0,99000.0,0.0,1202000.0,1202000.0,17108000.0,0.0,112202339.0,112202339.0,0.007353,0.007353,1202000.0,1202000.0,0.0,1202000.0,1202000.0,0.0,1202000.0,803000.0,2005000.0,25000.0,0.0,,0.0,-162000.0,63000.0,99000.0,0.0,2142000.0,12313000.0,2695000.0,3565000.0,0.0,3565000.0,1803000.0,116000.0,1687000.0,0.0,14455000.0,4795000.0,19250000.0,19250000.0,112202338.0,112202338.0,131224000.0,133581000.0,122195000.0,255776000.0,-124589000.0,122195000.0,122195000.0,138225000.0,122195000.0,0.0,122195000.0,39695000.0,27266000.0,0.0,82500000.0,82500000.0,143042000.0,16030000.0,-1000.0,0.0,38000.0,16030000.0,16030000.0,5467000.0,127012000.0,1944000.0,117551000.0,117551000.0,,3182000.0,4335000.0,1804000.0,66000.0,2465000.0,0.0,265237000.0,262814000.0,126000.0,0.0,0.0,3685000.0,3685000.0,3685000.0,0.0,0.0,0.0,19517000.0,-10133000.0,29650000.0,0.0,19517000.0,29650000.0,2423000.0,0.0,66000.0,,0.0,239612000.0,0.0,0.0,,2357000.0,66000.0,2357000.0,0.0,2357000.0,-41594000.0,0.0,41715000.0,0.0,-61000.0,2423000.0,1302000.0,0.0,1121000.0,41715000.0,0.0,0.0,0.0,41715000.0,41715000.0,0.0,41715000.0,939000.0,,1000000.0,1000000.0,0.0,-61000.0,0.0,-61000.0,-41533000.0,-909000.0,0.0,0.0,0.0,0.0,0.0,0.0,-166000.0,0.0,362000.0,-3354000.0,3565000.0,0.0,3565000.0,-43202000.0,2005000.0
2023-03-31,1113.814364,0.278454,10005000.0,4000.0,4000.0,4330000.0,3517000.0,3873000.0,10009000.0,6492000.0,-525000.0,491000.0,0.0,4327113.814364,4330000.0,14322000.0,,112202338.0,112202338.0,0.036764,0.036764,4330000.0,4330000.0,0.0,4330000.0,4330000.0,0.0,4330000.0,1671000.0,6001000.0,,-50000.0,,50000.0,-525000.0,34000.0,491000.0,0.0,6520000.0,10449000.0,1277000.0,3517000.0,0.0,3517000.0,1455000.0,412000.0,1043000.0,,16969000.0,3873000.0,20842000.0,20842000.0,112202338.0,112202338.0,90285000.0,91952000.0,120373000.0,212325000.0,-11421000.0,120373000.0,120373000.0,212325000.0,120373000.0,0.0,120373000.0,37873000.0,25685000.0,0.0,82500000.0,82500000.0,105171000.0,91952000.0,,0.0,1539000.0,91952000.0,91952000.0,8823000.0,13219000.0,2698000.0,81906000.0,81906000.0,,2593000.0,7928000.0,5907000.0,131000.0,1890000.0,2793000.0,225544000.0,223745000.0,260000.0,0.0,0.0,502000.0,2526000.0,502000.0,0.0,0.0,0.0,23021000.0,-6568000.0,29589000.0,0.0,23022000.0,29589000.0,1798000.0,0.0,131000.0,,0.0,198198000.0,0.0,0.0,,1667000.0,131000.0,1667000.0,0.0,1667000.0,-44428000.0,0.0,45197000.0,,-19702000.0,1798000.0,914000.0,0.0,884000.0,45197000.0,0.0,,,45197000.0,45197000.0,0.0,45197000.0,-19587000.0,,115000.0,115000.0,0.0,-19702000.0,0.0,-19702000.0,-24726000.0,0.0,0.0,0.0,0.0,-34189000.0,0.0,-493000.0,-1199000.0,-33475000.0,-1253000.0,955000.0,3517000.0,0.0,3517000.0,-54000.0,6001000.0
2022-03-31,49828.017763,0.111223,5334000.0,448000.0,448000.0,4403000.0,781000.0,2466000.0,5782000.0,5001000.0,-75000.0,47000.0,0.0,4004828.017763,4403000.0,7675490.0,,112202338.0,112202338.0,0.036764,0.036764,4403000.0,4403000.0,0.0,4403000.0,4403000.0,0.0,4403000.0,551000.0,4954000.0,52000.0,413000.0,7000.0,-420000.0,-75000.0,28000.0,47000.0,0.0,4527510.0,5209490.0,2175020.0,781000.0,0.0,781000.0,799470.0,303000.0,496470.0,,9737000.0,2466000.0,12203000.0,12203000.0,112202338.0,112202338.0,46044000.0,46753000.0,116044000.0,162797000.0,-10333000.0,116044000.0,116044000.0,162797000.0,116044000.0,0.0,116044000.0,33544000.0,22237000.0,0.0,82500000.0,82500000.0,58591000.0,47275000.0,6000.0,0.0,522000.0,46753000.0,46753000.0,7346000.0,11316000.0,2599000.0,1578000.0,1578000.0,0.0,2405000.0,6312000.0,3309000.0,207000.0,2796000.0,3970000.0,174635000.0,173654000.0,317000.0,68000.0,0.0,563000.0,2094000.0,563000.0,0.0,0.0,0.0,6836000.0,-3051000.0,9887000.0,0.0,6836000.0,9887000.0,983000.0,68000.0,206000.0,,0.0,164723000.0,0.0,0.0,0.0,709000.0,206000.0,709000.0,0.0,709000.0,-16345000.0,,11237000.0,,-5795000.0,914000.0,6022000.0,,-5108000.0,11237000.0,,,,11237000.0,11237000.0,,11237000.0,-5795000.0,,,,,-5795000.0,,-5795000.0,-10550000.0,,,,,-16250000.0,-217000.0,-1058000.0,-217000.0,-16263000.0,,,781000.0,0.0,781000.0,-35000.0,4954000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,240000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1000.0,,,,,,,,,,0.0,,,,,,,,,20000.0,,,,,,,,,,,,,,,,,,20000.0,,,,,300000.0,,,,,,,-2984000.0,,,,,,,,,,,,,,-2984000.0,,,-198000.0,,,,,,,,,,,,,,,,,,,,,,,
