,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Revenue,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Held To Maturity Securities,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Joint Venturesat Cost,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Assets Held For Sale Current,Balance_Current Deferred Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Investment Properties Purchase And Sale,CashFlow_Net Business Purchase And Sale,CashFlow_Purchase Of Business,CashFlow_Net Intangibles Purchase And Sale,CashFlow_Purchase Of Intangibles,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of Business,CashFlow_Net Income From Continuing Operations
2025-03-31,107282660.0,0.2251,12734100000.0,476600000.0,476600000.0,7274100000.0,1178800000.0,97646900000.0,13210700000.0,12031900000.0,691300000.0,2641700000.0,3370100000.0,6904782660.0,7274100000.0,98103500000.0,124700000.0,940515740.0,940515740.0,7.73,7.73,7274100000.0,7274100000.0,0.0,7274100000.0,-4200000.0,7278300000.0,7278300000.0,2111900000.0,9390200000.0,113600000.0,-26000000.0,26000000.0,0.0,,691300000.0,37100000.0,2641700000.0,3370100000.0,7294500000.0,456600000.0,442900000.0,1178800000.0,731600000.0,447200000.0,298700000.0,28500000.0,270200000.0,9700000.0,7751100000.0,97646900000.0,105398000000.0,105398000000.0,940515740.0,940515740.0,19844800000.0,43067700000.0,54182700000.0,105906700000.0,42452100000.0,54182700000.0,424500000.0,63263500000.0,104609900000.0,63619500000.0,356000000.0,63263500000.0,61382500000.0,28227900000.0,49300000.0,1881000000.0,1881000000.0,131593300000.0,59330400000.0,187900000.0,,8989700000.0,41720800000.0,374400000.0,41346400000.0,2585800000.0,72262900000.0,40600000.0,158700000.0,1346900000.0,50100000.0,1296800000.0,3017900000.0,29453300000.0,16827200000.0,53100000.0,158700000.0,12573000000.0,195212800000.0,80497800000.0,473300000.0,2208100000.0,1445100000.0,30580100000.0,0.0,30580100000.0,8857200000.0,8857200000.0,5419800000.0,9080800000.0,9080800000.0,22044500000.0,-1972600000.0,24017100000.0,12017100000.0,75100000.0,10378000000.0,723500000.0,823400000.0,0.0,114715000000.0,299800000.0,0.0,103500000.0,3519100000.0,10204800000.0,908300000.0,,,908300000.0,20129300000.0,14856500000.0,13282500000.0,-1126600000.0,14409100000.0,51411200000.0,28612800000.0,22798400000.0,13029800000.0,9768600000.0,-21616000000.0,-4588500000.0,21560000000.0,-10520700000.0,22798400000.0,21797800000.0,216500000.0,784100000.0,11560200000.0,,-2618200000.0,-2774600000.0,,16971500000.0,16971500000.0,-4588500000.0,21560000000.0,319200000.0,3057600000.0,4217200000.0,1025000000.0,3282700000.0,106327200000.0,-103044500000.0,-112800000.0,-639600000.0,-639600000.0,-37100000.0,-37100000.0,-10473800000.0,9800000.0,-10483600000.0,-11095300000.0,-3067300000.0,-15387100000.0,-4821600000.0,3632000000.0,-431100000.0,-13766400000.0,-1892700000.0,1178800000.0,731600000.0,447200000.0,-503000000.0,-216500000.0,,9390200000.0
2024-03-31,80688400.0,0.263,15807200000.0,306800000.0,306800000.0,9295700000.0,1004300000.0,111973400000.0,16114000000.0,15109700000.0,1693100000.0,2498400000.0,4215000000.0,9069588400.0,9295700000.0,112659600000.0,134200000.0,940515740.0,940515740.0,9.88,9.88,9295700000.0,9295700000.0,0.0,9295700000.0,600000.0,9295100000.0,9295100000.0,3316200000.0,12611300000.0,72100000.0,3300000.0,-3300000.0,0.0,,1693100000.0,23500000.0,2498400000.0,4215000000.0,10351400000.0,686200000.0,401800000.0,1004300000.0,647700000.0,356600000.0,248100000.0,23500000.0,224600000.0,10600000.0,11037600000.0,111973400000.0,123011000000.0,123011000000.0,940515740.0,940515740.0,3873800000.0,25823300000.0,48933900000.0,84380800000.0,41283100000.0,48933900000.0,151700000.0,58709200000.0,83276000000.0,59061000000.0,351800000.0,58709200000.0,56828200000.0,23728300000.0,49300000.0,1881000000.0,1881000000.0,115460500000.0,45282400000.0,193700000.0,,10426700000.0,24668200000.0,101400000.0,24566800000.0,2219600000.0,70178100000.0,11200000.0,665600000.0,1155100000.0,50300000.0,1104800000.0,3087200000.0,26921300000.0,17940200000.0,40100000.0,665600000.0,8941000000.0,174521500000.0,63060300000.0,569500000.0,2863800000.0,1195200000.0,23416600000.0,1251900000.0,22164700000.0,8645000000.0,8645000000.0,5430700000.0,9775300000.0,9775300000.0,10799200000.0,-1641100000.0,12440300000.0,8643200000.0,74200000.0,2678600000.0,583900000.0,460400000.0,0.0,111461200000.0,226600000.0,0.0,123900000.0,3248600000.0,13648600000.0,477100000.0,3000000.0,1897300000.0,474100000.0,16555400000.0,14108600000.0,8033300000.0,-878000000.0,8911300000.0,55039100000.0,33241300000.0,21797800000.0,10455100000.0,11342700000.0,-9268500000.0,-690900000.0,11320600000.0,-8483000000.0,21797800000.0,23381100000.0,-143900000.0,-1439400000.0,6401000000.0,221100000.0,-1614500000.0,-2821500000.0,,10629700000.0,10629700000.0,-690900000.0,11320600000.0,-7054900000.0,1144300000.0,4181700000.0,695000000.0,-4331600000.0,80756600000.0,-85088200000.0,-25800000.0,-636200000.0,-636200000.0,-37100000.0,-37100000.0,-8045200000.0,400700000.0,-8445900000.0,-785500000.0,-4738700000.0,-6394000000.0,2431300000.0,387000000.0,1412500000.0,-10624800000.0,-2773700000.0,1004300000.0,647700000.0,356600000.0,-306800000.0,274300000.0,,12611300000.0
2023-03-31,3346200.0,0.143,12953600000.0,23400000.0,23400000.0,7652300000.0,1070400000.0,95327200000.0,12977000000.0,11906600000.0,2404500000.0,2996600000.0,5417300000.0,7632246200.0,7652300000.0,97506900000.0,181200000.0,940515740.0,940515740.0,8.14,8.14,7652300000.0,7652300000.0,0.0,7652300000.0,0.0,7652300000.0,7652300000.0,1257700000.0,8910000000.0,164400000.0,20200000.0,-24400000.0,4200000.0,0.0,2404500000.0,16200000.0,2996600000.0,5417300000.0,5965900000.0,2179700000.0,315600000.0,1070400000.0,680300000.0,390100000.0,166400000.0,32800000.0,133600000.0,6600000.0,8145600000.0,95327200000.0,103472800000.0,103472800000.0,940515740.0,940515740.0,,15251200000.0,41336700000.0,67157000000.0,38796700000.0,41336700000.0,209100000.0,52114900000.0,66518200000.0,52246200000.0,131300000.0,52114900000.0,50233900000.0,17246200000.0,49300000.0,1881000000.0,1881000000.0,103127600000.0,30473700000.0,177500000.0,,7463800000.0,14535700000.0,132400000.0,14403300000.0,1485700000.0,72653900000.0,8700000.0,369500000.0,715500000.0,76700000.0,638800000.0,2991900000.0,24101100000.0,15536000000.0,11200000.0,369500000.0,8553900000.0,155373800000.0,43923200000.0,1200000.0,893700000.0,1094000000.0,1252000000.0,1252000000.0,14085100000.0,8241700000.0,8241700000.0,5523100000.0,10778200000.0,10778200000.0,2553600000.0,-1429500000.0,3983100000.0,499600000.0,61400000.0,2420700000.0,558500000.0,442900000.0,0.0,111450600000.0,-31500000.0,7100000.0,228500000.0,2348600000.0,16072400000.0,1889800000.0,3100000.0,1503700000.0,383000000.0,16040900000.0,14135500000.0,8638300000.0,-611600000.0,9249900000.0,52121000000.0,28739900000.0,23381100000.0,16376700000.0,7004400000.0,-3776800000.0,-601200000.0,1653200000.0,-997600000.0,23381100000.0,12577700000.0,37400000.0,10766000000.0,-2234300000.0,120000000.0,-1102000000.0,-2304200000.0,,1052000000.0,1052000000.0,-601200000.0,1653200000.0,15779500000.0,14498000000.0,2822700000.0,690000000.0,503200000.0,1315600000.0,-812400000.0,-95400000.0,-1661900000.0,-1661900000.0,-349700000.0,-349700000.0,-627400000.0,20500000.0,-647900000.0,-2779200000.0,-740000000.0,-9588000000.0,4122900000.0,-1718300000.0,705300000.0,-12697900000.0,-2056400000.0,1070400000.0,680300000.0,390100000.0,-27600000.0,-37400000.0,0.0,8910000000.0
2022-03-31,-5744640.0,0.1408,9534300000.0,-40800000.0,-40800000.0,5923400000.0,944200000.0,66366400000.0,9493500000.0,8549300000.0,1233000000.0,1662800000.0,2953500000.0,5958455360.0,5923400000.0,68525600000.0,175100000.0,940515740.0,940515740.0,6.3,6.3,5923400000.0,5923400000.0,0.0,5923400000.0,700000.0,5922700000.0,5922700000.0,963800000.0,6886500000.0,184900000.0,-52300000.0,44800000.0,7500000.0,0.0,1233000000.0,57700000.0,1662800000.0,2953500000.0,5048900000.0,2159200000.0,258600000.0,944200000.0,664100000.0,280100000.0,140700000.0,25600000.0,115100000.0,6400000.0,7208100000.0,66366400000.0,73574500000.0,73574500000.0,940515740.0,940515740.0,1412400000.0,13991700000.0,35547400000.0,60646300000.0,29772900000.0,35547400000.0,1600000.0,46656200000.0,59700300000.0,46667500000.0,11300000.0,46656200000.0,44775200000.0,11884000000.0,49300000.0,1881000000.0,1881000000.0,97796100000.0,25041000000.0,322700000.0,,5016900000.0,13045600000.0,1500000.0,13044100000.0,1432800000.0,72755100000.0,13900000.0,180100000.0,946100000.0,100000.0,946000000.0,2126600000.0,27400600000.0,17117000000.0,11200000.0,180100000.0,10272400000.0,144463600000.0,41935600000.0,300300000.0,5800000.0,725300000.0,2251800000.0,2251800000.0,15134100000.0,6955700000.0,6955700000.0,5551800000.0,11108800000.0,11108800000.0,2154600000.0,-1122400000.0,3277000000.0,60200000.0,58000000.0,2165600000.0,553800000.0,439400000.0,0.0,102528000000.0,100000.0,13900000.0,0.0,3259600000.0,14913800000.0,2765900000.0,5900000.0,2161800000.0,598200000.0,8759300000.0,10352900000.0,6951900000.0,-305400000.0,7257300000.0,55510600000.0,42932900000.0,12577700000.0,1008900000.0,11568800000.0,13731800000.0,-559800000.0,11240600000.0,-408800000.0,12577700000.0,4142000000.0,-138900000.0,8574600000.0,6707500000.0,12000000.0,-646300000.0,-3338900000.0,-3338900000.0,10680800000.0,10680800000.0,-559800000.0,11240600000.0,-12273500000.0,-12193200000.0,967300000.0,410000000.0,-12018600000.0,12629000000.0,-24647600000.0,-700000.0,-1228700000.0,-1228700000.0,-211100000.0,-211100000.0,-191700000.0,6000000.0,-197700000.0,14140600000.0,-326200000.0,7515200000.0,14889600000.0,2692000000.0,-1559400000.0,-8507000000.0,-455800000.0,944200000.0,664100000.0,280100000.0,-21400000.0,138900000.0,51100000.0,6886500000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8200000.0,500400000.0,,,,,,,,,,,,,,,,,,,,,,,,-1580000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
