,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,-936619.71831,0.070423,390000000.0,-13300000.0,-13300000.0,-33000000.0,306100000.0,3431500000.0,376700000.0,70600000.0,-101600000.0,106100000.0,4500000.0,-20636619.71831,-33000000.0,5408600000.0,,137500000.0,137500000.0,-0.24,-0.24,-33000000.0,-33000000.0,0.0,-33000000.0,,-33000000.0,-33000000.0,-2500000.0,-35500000.0,8500000.0,-13300000.0,-10600000.0,23900000.0,-101600000.0,106100000.0,4500000.0,70800000.0,1977100000.0,791300000.0,306100000.0,306100000.0,352400000.0,189800000.0,162600000.0,,2047900000.0,3431500000.0,5479400000.0,5479400000.0,138201900.0,138201900.0,312200000.0,537800000.0,5589000000.0,6121300000.0,1720300000.0,5589000000.0,60100000.0,5643600000.0,5643600000.0,5643600000.0,,5643600000.0,5367200000.0,4847600000.0,0.0,276400000.0,276400000.0,1699200000.0,371600000.0,100000.0,108700000.0,206400000.0,56400000.0,56400000.0,0.0,108700000.0,1327600000.0,17326000.0,481400000.0,3700000.0,477700000.0,9700000.0,9700000.0,784674000.0,89874000.0,5000000.0,3800000.0,686000000.0,7342800000.0,4294900000.0,10600000.0,34900000.0,85400000.0,85400000.0,54600000.0,,54600000.0,4120000000.0,-3249000000.0,7369000000.0,25000000.0,4094900000.0,4065200000.0,3191800000.0,87000000.0,0.0,3047900000.0,569800000.0,0.0,32800000.0,189700000.0,1612000000.0,630100000.0,187100000.0,794800000.0,52600000.0,323800000.0,667900000.0,169100000.0,3600000.0,165500000.0,165500000.0,-183500000.0,-4600000.0,128000000.0,-465900000.0,198300000.0,,192000000.0,6300000.0,12600000.0,100000.0,-106100000.0,-1000000.0,,123400000.0,128000000.0,,128000000.0,-4600000.0,-4600000.0,,-288700000.0,152400000.0,4500000.0,-4900000.0,-4900000.0,-440700000.0,25200000.0,-465900000.0,282400000.0,-22000000.0,-54600000.0,-26500000.0,-75500000.0,-67600000.0,115000000.0,99100000.0,306100000.0,306100000.0,-10600000.0,-35500000.0
2024-03-31,-12607590.361446,0.272892,613500000.0,-46200000.0,-46200000.0,120700000.0,283300000.0,3784100000.0,567300000.0,284000000.0,-111400000.0,118000000.0,6600000.0,154292409.638554,120700000.0,5727900000.0,1400000.0,138735632.0,138735632.0,0.87,0.87,120700000.0,120700000.0,0.0,120700000.0,,120700000.0,120700000.0,45300000.0,166000000.0,71300000.0,-46200000.0,-455000.0,46200000.0,-111400000.0,118000000.0,6600000.0,252200000.0,1943800000.0,878500000.0,283300000.0,283300000.0,253100000.0,150300000.0,102800000.0,1400000.0,2196000000.0,3784100000.0,5980100000.0,5980100000.0,138201900.0,138201900.0,180200000.0,420900000.0,5471800000.0,5880800000.0,1752600000.0,5471800000.0,66500000.0,5526400000.0,5531000000.0,5526400000.0,,5526400000.0,5249700000.0,4879500000.0,0.0,276400000.0,276400000.0,1663800000.0,362300000.0,200000.0,116000000.0,178900000.0,67400000.0,62800000.0,4600000.0,116000000.0,1301500000.0,24547000.0,353500000.0,3700000.0,349800000.0,10000000.0,10000000.0,910553000.0,139453000.0,6000000.0,3700000.0,761400000.0,7190200000.0,4136100000.0,100000.0,26700000.0,80600000.0,80600000.0,54600000.0,54600000.0,54600000.0,3974100000.0,-2974700000.0,6948800000.0,113900000.0,3860400000.0,3876500000.0,2871400000.0,87000000.0,0.0,3054100000.0,-100000.0,1200000.0,17800000.0,203200000.0,1544500000.0,581400000.0,276500000.0,686600000.0,53300000.0,253200000.0,791200000.0,189800000.0,15600000.0,174200000.0,174200000.0,133400000.0,-165900000.0,72200000.0,-368700000.0,192000000.0,100000.0,157500000.0,34400000.0,-216700000.0,,-118000000.0,-600000.0,,-93700000.0,72200000.0,-50600000.0,72200000.0,-165900000.0,-165900000.0,,-251000000.0,70800000.0,6600000.0,-12100000.0,-12100000.0,-316300000.0,52400000.0,-368700000.0,502100000.0,-59400000.0,25200000.0,-16700000.0,-182500000.0,84900000.0,139500000.0,109200000.0,283300000.0,283300000.0,-22100000.0,166000000.0
2023-03-31,9047065.368567,0.264534,679200000.0,34200000.0,34200000.0,264400000.0,255900000.0,3782200000.0,713400000.0,457400000.0,-95300000.0,97900000.0,2600000.0,239247065.368567,264400000.0,5648600000.0,2200000.0,138429319.0,138429319.0,1.91,1.91,264400000.0,264400000.0,0.0,264400000.0,,264400000.0,264400000.0,95100000.0,359500000.0,45500000.0,34200000.0,-34200000.0,0.0,-95300000.0,97900000.0,2600000.0,374900000.0,1866400000.0,1060700000.0,256000000.0,256000000.0,267400000.0,191600000.0,75800000.0,2200000.0,2241300000.0,3782200000.0,6023500000.0,6023500000.0,138201900.0,138201900.0,298600000.0,542600000.0,5271200000.0,5782100000.0,1777600000.0,5271200000.0,94400000.0,5333900000.0,5504400000.0,5333900000.0,0.0,5333900000.0,5057800000.0,4750900000.0,0.0,276400000.0,276400000.0,1958100000.0,540400000.0,94400000.0,104900000.0,174700000.0,260800000.0,90300000.0,170500000.0,104900000.0,1417700000.0,5168000.0,281800000.0,4100000.0,277700000.0,11500000.0,11500000.0,1105932000.0,142032000.0,6700000.0,13300000.0,943900000.0,7292000000.0,4096700000.0,-200000.0,27500000.0,68500000.0,68500000.0,62700000.0,62700000.0,,3938200000.0,-2723000000.0,6661200000.0,6300000.0,3931800000.0,3706600000.0,2867800000.0,80500000.0,0.0,3195300000.0,-100000.0,0.0,7900000.0,234500000.0,1607600000.0,690900000.0,239700000.0,677000000.0,51000000.0,271200000.0,867500000.0,155600000.0,6000000.0,149600000.0,149600000.0,-66200000.0,-228900000.0,0.0,-539600000.0,157500000.0,,546900000.0,-389400000.0,-328000000.0,,-93800000.0,-500000.0,-500000.0,-228900000.0,-174800000.0,-174800000.0,0.0,-54100000.0,-54100000.0,,-534800000.0,2200000.0,2600000.0,0.0,0.0,-539600000.0,0.0,-539600000.0,473400000.0,-121900000.0,-78800000.0,44800000.0,-91600000.0,-48900000.0,16900000.0,93100000.0,255900000.0,255900000.0,-34300000.0,359400000.0
2022-03-31,1389743.133944,0.231624,1930300000.0,6000000.0,6000000.0,864500000.0,560900000.0,8192600000.0,1936300000.0,1359200000.0,-231000000.0,234100000.0,3100000.0,859889743.133944,864500000.0,12504200000.0,9500000.0,120306000.0,120306000.0,7.19,7.19,864500000.0,864500000.0,0.0,864500000.0,-800000.0,864500000.0,864500000.0,260600000.0,1125100000.0,166800000.0,6000000.0,-6000000.0,,-231000000.0,234100000.0,3100000.0,1183300000.0,4311600000.0,2196200000.0,577100000.0,577100000.0,883300000.0,772400000.0,110900000.0,9500000.0,5494900000.0,8192600000.0,13687500000.0,13687500000.0,120306000.0,120306000.0,607400000.0,494500000.0,5046700000.0,5541200000.0,1613200000.0,5046700000.0,1586700000.0,5046700000.0,5083300000.0,5082500000.0,35800000.0,5046700000.0,4806100000.0,6083700000.0,500000.0,240600000.0,240600000.0,2233900000.0,309300000.0,995400000.0,104000000.0,168700000.0,36600000.0,1308900000.0,36600000.0,137100000.0,1924600000.0,235600000.0,457900000.0,277800000.0,457900000.0,8800000.0,8800000.0,1211800000.0,123500000.0,7200000.0,16800000.0,1064300000.0,7316400000.0,3778600000.0,-100000.0,62100000.0,67000000.0,67000000.0,48300000.0,48300000.0,,3649500000.0,-4104000000.0,3649500000.0,40400000.0,3609100000.0,4746900000.0,4451300000.0,447300000.0,0.0,3537800000.0,100000.0,49900000.0,17300000.0,280900000.0,1579700000.0,653400000.0,283300000.0,643000000.0,105500000.0,306200000.0,586300000.0,611900000.0,82300000.0,529600000.0,529600000.0,-36400000.0,0.0,108100000.0,-851700000.0,546900000.0,,155700000.0,391200000.0,-121400000.0,,-234100000.0,-700000.0,-700000.0,0.0,0.0,0.0,,0.0,0.0,108100000.0,549000000.0,300000.0,3100000.0,0.0,0.0,545600000.0,545600000.0,-851700000.0,-36400000.0,10100000.0,-1957200000.0,-768100000.0,157200000.0,2704200000.0,-4050500000.0,237500000.0,560900000.0,560900000.0,-6000000.0,1125100000.0
2021-03-31,,,,,,,,,,,,,,,,,6600000.0,,,,,,,,,-400000.0,,,,,,,,,,,,,,,,,,,,6600000.0,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,300000.0,,,,,,-1352500000.0,,,,0.0,,,,,,,,,,,,,,,,,,,,
