,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Net Non Operating Interest Income Expense,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Prepaid Assets,Balance_Inventory,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net PPE Purchase And Sale,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Income From Continuing Operations
2025-03-31,0.0,0.175855,117706000.0,0.0,0.0,66586000.0,12124000.0,2542175000.0,117706000.0,105582000.0,-7747000.0,24788000.0,17041000.0,66586000.0,66586000.0,2586339000.0,267000.0,14318975.0,14318975.0,4.65,4.65,66586000.0,66586000.0,0.0,66586000.0,66586000.0,0.0,66586000.0,14208000.0,80794000.0,820000.0,0.0,,-7747000.0,24788000.0,17041000.0,84864000.0,44164000.0,2427000.0,12124000.0,12124000.0,9688000.0,7314000.0,2374000.0,267000.0,129028000.0,2542175000.0,2671203000.0,2671203000.0,14318975.0,14318975.0,315555000.0,334512000.0,758543000.0,1093055000.0,451889000.0,758543000.0,758543000.0,798132000.0,758543000.0,758543000.0,1310000.0,361335000.0,225918000.0,142601000.0,142601000.0,641335000.0,58007000.0,,18418000.0,39589000.0,39589000.0,583328000.0,36309000.0,13486000.0,294923000.0,294923000.0,1551000.0,259332000.0,23560000.0,,235772000.0,1399878000.0,364660000.0,174722000.0,229034000.0,135626000.0,-324860000.0,460486000.0,50326000.0,376303000.0,32191000.0,1666000.0,0.0,1035217000.0,102017000.0,64695000.0,315160000.0,283113000.0,32047000.0,1936000.0,35386000.0,599083000.0,0.0,599083000.0,18957000.0,18957000.0,18957000.0,-12449000.0,,,-4689000.0,18957000.0,,38300000.0,-19343000.0,13046000.0,1000.0,-23137000.0,37834000.0,37834000.0,,,-24629000.0,651000.0,20716000.0,-4689000.0,-4689000.0,-7760000.0,-18262000.0,-91639000.0,136204000.0,-30217000.0,104683000.0,-161469000.0,-146413000.0,4072000.0,12124000.0,12124000.0,376000.0,80794000.0
2024-03-31,0.0,0.246907,86124000.0,638000.0,638000.0,39874000.0,13472000.0,2104904000.0,86124000.0,72652000.0,-4046000.0,19705000.0,15659000.0,39874000.0,39874000.0,2152518000.0,968000.0,14318975.0,14318975.0,2.78,2.78,39874000.0,39874000.0,0.0,39874000.0,39874000.0,0.0,39874000.0,13073000.0,52947000.0,1601000.0,638000.0,-638000.0,-4046000.0,19705000.0,15659000.0,55392000.0,47614000.0,1884000.0,13472000.0,13472000.0,11282000.0,6072000.0,5210000.0,968000.0,103006000.0,2104904000.0,2207910000.0,2207910000.0,14318975.0,14318975.0,112393000.0,150693000.0,691957000.0,842650000.0,421593000.0,691957000.0,691957000.0,693712000.0,691957000.0,691957000.0,1310000.0,294749000.0,225918000.0,142601000.0,142601000.0,356319000.0,19450000.0,-1000.0,17696000.0,1755000.0,1755000.0,336869000.0,46090000.0,8838000.0,148938000.0,148938000.0,679000.0,167450000.0,36361000.0,,131089000.0,1048276000.0,289814000.0,1000.0,145726000.0,144087000.0,-313817000.0,457904000.0,50326000.0,374722000.0,31190000.0,1666000.0,0.0,758462000.0,-1000.0,75722000.0,153691000.0,147449000.0,6242000.0,1817000.0,36263000.0,452670000.0,0.0,452670000.0,38300000.0,38300000.0,38300000.0,23826000.0,,,-10517000.0,38300000.0,,8592000.0,29708000.0,-17131000.0,,-16083000.0,0.0,0.0,,,12496000.0,6432000.0,17261000.0,-10517000.0,-10517000.0,34343000.0,-16048000.0,-27562000.0,20921000.0,-32049000.0,7803000.0,67299000.0,-89026000.0,-130000.0,13472000.0,13472000.0,-638000.0,52947000.0
2023-03-31,0.0,0.357893,64456000.0,0.0,0.0,26476000.0,14074000.0,1839229000.0,64456000.0,50382000.0,5319000.0,9149000.0,14468000.0,26476000.0,26476000.0,1879224000.0,1644000.0,14318975.0,14318975.0,1.85,1.85,26476000.0,26476000.0,0.0,26476000.0,26476000.0,0.0,26476000.0,14757000.0,41233000.0,4588000.0,0.0,,5319000.0,9149000.0,14468000.0,31268000.0,39995000.0,2471000.0,14074000.0,14074000.0,6250000.0,3949000.0,2301000.0,1644000.0,71263000.0,1839229000.0,1910492000.0,1910492000.0,14318975.0,14318975.0,120775000.0,129367000.0,646992000.0,776359000.0,362743000.0,646992000.0,646992000.0,648747000.0,646992000.0,646992000.0,1310000.0,249783000.0,225919000.0,142601000.0,142601000.0,325870000.0,15215000.0,-2000.0,13462000.0,1755000.0,1755000.0,310655000.0,46495000.0,11971000.0,127612000.0,127612000.0,327000.0,152940000.0,29654000.0,11971000.0,123286000.0,972862000.0,299464000.0,134301000.0,146626000.0,152838000.0,-304430000.0,457268000.0,50326000.0,374086000.0,31190000.0,1666000.0,0.0,673398000.0,25814000.0,38799000.0,220990000.0,210762000.0,10228000.0,930000.0,40443000.0,363644000.0,0.0,363644000.0,8592000.0,8592000.0,8592000.0,-6720000.0,,,-7922000.0,8592000.0,,10159000.0,-1567000.0,-7449000.0,,-7818000.0,1680000.0,1680000.0,,,4680000.0,,14468000.0,-7922000.0,-7922000.0,1202000.0,-11971000.0,-36795000.0,29312000.0,-1118000.0,-44655000.0,-49972000.0,29413000.0,-5339000.0,14074000.0,14074000.0,,41233000.0
2022-03-31,0.0,0.020502,45645000.0,0.0,0.0,24175000.0,13790000.0,1288885000.0,45645000.0,31855000.0,7886000.0,7175000.0,15061000.0,24175000.0,24175000.0,1324958000.0,1592000.0,14318975.0,14318975.0,1.69,1.69,24175000.0,24175000.0,0.0,24175000.0,24174000.0,,24174000.0,506000.0,24680000.0,1860000.0,0.0,,7886000.0,7175000.0,15061000.0,11525000.0,36073000.0,1606000.0,13790000.0,13790000.0,4972000.0,2889000.0,2083000.0,1592000.0,47598000.0,1288885000.0,1336483000.0,1336483000.0,14318975.0,14318975.0,87300000.0,97459000.0,620515000.0,717974000.0,320467000.0,620515000.0,620515000.0,620590000.0,620515000.0,620515000.0,1310000.0,223307000.0,225918000.0,142601000.0,142601000.0,336522000.0,10749000.0,-1000.0,10675000.0,75000.0,75000.0,325773000.0,47411000.0,4120000.0,97384000.0,97384000.0,1066000.0,175792000.0,11942000.0,0.0,175792000.0,957037000.0,310797000.0,90000.0,151718000.0,158989000.0,-290356000.0,449346000.0,50152000.0,366338000.0,31190000.0,1666000.0,0.0,646240000.0,17648000.0,3906000.0,171018000.0,158169000.0,12849000.0,966000.0,18371000.0,425138000.0,0.0,425138000.0,10159000.0,10159000.0,10159000.0,-7087000.0,-459000.0,11381000.0,-18902000.0,10159000.0,-1000.0,10454000.0,-294000.0,-7974000.0,1000.0,-5802000.0,-965000.0,-965000.0,-459000.0,11381000.0,-4135000.0,1000.0,15061000.0,-18902000.0,-18902000.0,11815000.0,-4120000.0,-14485000.0,116313000.0,-22372000.0,-38501000.0,16542000.0,-86528000.0,-8052000.0,13790000.0,13790000.0,,24680000.0
