,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Derivative Product Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Held To Maturity Securities,Balance_Available For Sale Securities,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repurchase Of Capital Stock,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Payments,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Investment Properties Purchase And Sale,CashFlow_Sale Of Investment Properties,CashFlow_Purchase Of Investment Properties,CashFlow_Net Intangibles Purchase And Sale,CashFlow_Purchase Of Intangibles,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Prepaid Assets,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Pension And Employee Benefit Expense,CashFlow_Gain Loss On Investment Securities,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,-4159200.0,0.3,109616000.0,1052000.0,-13864000.0,20696000.0,6290000.0,281525000.0,110668000.0,104376000.0,38220000.0,42688000.0,80908000.0,45316800.0,20696000.0,411400000.0,728000.0,971886973.0,971886973.0,0.02,0.02,20696000.0,20696000.0,0.0,20696000.0,0.0,20696000.0,20696000.0,40992000.0,61688000.0,429000.0,-13864000.0,-1970000.0,918000.0,38220000.0,42688000.0,80908000.0,31437000.0,129875000.0,110177000.0,6292000.0,2565000.0,3727000.0,40308000.0,2482000.0,37826000.0,728000.0,161312000.0,281525000.0,442837000.0,442837000.0,1050000000.0,1050000000.0,295325000.0,327450000.0,2725157000.0,3054193000.0,1196733000.0,2725157000.0,2726743000.0,2726743000.0,2726743000.0,0.0,2726743000.0,1676743000.0,749645000.0,360463000.0,1050000000.0,1050000000.0,999237000.0,5637000.0,2000.0,126000.0,,231000.0,,0.0,327450000.0,327450000.0,5278000.0,993600000.0,4459000.0,0.0,327450000.0,327450000.0,,13525000.0,604664000.0,92000.0,263000.0,0.0,604309000.0,3725980000.0,1535647000.0,493000.0,7414000.0,648444000.0,,648444000.0,10165000.0,1586000.0,1586000.0,0.0,253820000.0,-84176000.0,337996000.0,189450000.0,64370000.0,70875000.0,77671000.0,0.0,2190333000.0,10372000.0,25660000.0,,48411000.0,48411000.0,770147000.0,13262000.0,51808000.0,-28529000.0,80336000.0,1270673000.0,1238548000.0,32125000.0,,32125000.0,-537588000.0,,,,481620000.0,-195454000.0,34305000.0,,24224000.0,10081000.0,550217000.0,,-20821000.0,481620000.0,,481620000.0,89418000.0,89418000.0,,,,,,-198002000.0,,4646000.0,1257000.0,-8523000.0,63868000.0,-72391000.0,,,,,,-195382000.0,72000.0,-195454000.0,-342134000.0,-43957000.0,-451881000.0,-87838000.0,37115000.0,2760000.0,-45231000.0,-326638000.0,-32332000.0,12577000.0,6290000.0,2565000.0,3725000.0,2082000.0,-6238000.0,-50000.0,59717000.0
2024-03-31,-12772457.638537,0.333302,248191000.0,-38321000.0,-38321000.0,119745000.0,7418000.0,287169000.0,209870000.0,202452000.0,49513000.0,22843000.0,72356000.0,145293542.361463,119745000.0,350051000.0,675000.0,896255421.0,896255421.0,0.134732,0.134732,119745000.0,119745000.0,0.0,119745000.0,40.0,119745000.0,119745000.0,59864000.0,179609000.0,3072000.0,-38559000.0,37800000.0,759000.0,49513000.0,22843000.0,72356000.0,161920000.0,62882000.0,53134000.0,7418000.0,2706000.0,7418000.0,31023000.0,1963000.0,29060000.0,675000.0,224802000.0,287169000.0,511971000.0,511971000.0,872845763.0,872845763.0,214071000.0,238032000.0,2196617000.0,2453592000.0,882905000.0,2196617000.0,2215560000.0,2215560000.0,2215589000.0,29000.0,2215560000.0,1376300000.0,709137000.0,81163000.0,840000000.0,840000000.0,1071281000.0,3761000.0,2117000.0,744000.0,686000.0,,,314000.0,0.0,0.0,586000.0,1067520000.0,455000.0,18918000.0,238032000.0,238032000.0,,26631000.0,649975000.0,299000.0,263000.0,0.0,649413000.0,3286870000.0,1336445000.0,1968000.0,18988000.0,672647000.0,,672647000.0,20051000.0,18943000.0,4027000.0,14916000.0,62240000.0,-104268000.0,166508000.0,0.0,-1000.0,88837000.0,77671000.0,0.0,1950425000.0,34148000.0,16484000.0,,0.0,0.0,879838000.0,0.0,100950000.0,-30873000.0,131823000.0,919005000.0,895044000.0,23961000.0,263000.0,23961000.0,-2509000.0,-2875000.0,,,,-2519000.0,24225000.0,1000.0,45619000.0,-21394000.0,-55903000.0,6000.0,-10033000.0,-2875000.0,-2875000.0,,-42995000.0,-42995000.0,,,,,,34499000.0,,17187000.0,623000.0,-5401000.0,97167000.0,-102568000.0,0.0,0.0,,,,22090000.0,24609000.0,-2519000.0,10000.0,-39248000.0,-185407000.0,347954000.0,-130250000.0,978000.0,21672000.0,-103931000.0,-322793000.0,-6993000.0,7418000.0,2706000.0,7418000.0,1598000.0,-861000.0,0.0,217408000.0
2023-03-31,84363.923823,0.260382,152101000.0,324000.0,324000.0,92625000.0,8093000.0,182644000.0,152425000.0,144332000.0,46404000.0,19097000.0,65501000.0,92385363.923823,92625000.0,216112000.0,3484000.0,872845763.0,872845763.0,0.105861,0.105861,92625000.0,92625000.0,0.0,92625000.0,-1000.0,92626000.0,92626000.0,32609000.0,125235000.0,1481000.0,-247000.0,,247000.0,46404000.0,19097000.0,65501000.0,76653000.0,33468000.0,24006000.0,8093000.0,3112000.0,4981000.0,18823000.0,1763000.0,17060000.0,3484000.0,110121000.0,182644000.0,292765000.0,292765000.0,872845763.0,872845763.0,235671000.0,281027000.0,2065999000.0,2368666000.0,670437000.0,2065999000.0,2087639000.0,2089340000.0,2087668000.0,29000.0,2087639000.0,1247600000.0,597037000.0,81163000.0,840000000.0,840000000.0,684969000.0,5429000.0,-2000.0,,589000.0,3126000.0,15000.0,,1701000.0,1701000.0,600000.0,679540000.0,500000.0,,279326000.0,279326000.0,,,355459000.0,925000.0,263000.0,,354271000.0,2772637000.0,1422661000.0,11700000.0,22899000.0,1042270000.0,2000000.0,1040270000.0,20051000.0,21640000.0,6724000.0,14916000.0,89522000.0,-100999000.0,190521000.0,0.0,-1000.0,86318000.0,104203000.0,0.0,1349977000.0,1474000.0,263000.0,8753000.0,2875000.0,2875000.0,959053000.0,1526000.0,38666000.0,-24969000.0,63635000.0,337367000.0,292011000.0,45356000.0,263000.0,45356000.0,-55995000.0,,-600000.0,17000000.0,,-1224000.0,45619000.0,,39033000.0,6586000.0,13843000.0,624000.0,-3260000.0,,,,16479000.0,16479000.0,-600000.0,17000000.0,,,,47514000.0,,17536000.0,289000.0,6420000.0,156114000.0,-149694000.0,24493000.0,24493000.0,0.0,0.0,0.0,-1224000.0,0.0,-1224000.0,-54771000.0,-21627000.0,-129230000.0,2063000.0,-25845000.0,-89035000.0,7178000.0,-1617000.0,-21974000.0,-14687000.0,8093000.0,3112000.0,4981000.0,1340000.0,-960000.0,,125234000.0
2022-03-31,2966793.810156,0.267327,197997000.0,11098000.0,11098000.0,139529000.0,6468000.0,238242000.0,209095000.0,202626000.0,51510000.0,12185000.0,63695000.0,131397793.810156,139529000.0,259976000.0,3776000.0,872845763.0,872845763.0,0.163603,0.163603,139529000.0,139529000.0,0.0,139529000.0,-2000.0,139531000.0,139531000.0,50910000.0,190441000.0,11551000.0,10000000.0,-10000000.0,0.0,51510000.0,12185000.0,63695000.0,115819000.0,21734000.0,33178000.0,6469000.0,1794000.0,4675000.0,14697000.0,1327000.0,13370000.0,3776000.0,137553000.0,238242000.0,375795000.0,375795000.0,872845763.0,872845763.0,225515000.0,264548000.0,1969746000.0,2259045000.0,677166000.0,1969746000.0,1994497000.0,1997823000.0,1994525000.0,28000.0,1994497000.0,1154600000.0,513212000.0,81163000.0,840000000.0,840000000.0,752129000.0,42340000.0,36575000.0,,0.0,2439000.0,36575000.0,48000.0,3326000.0,3326000.0,,709789000.0,500000.0,,261222000.0,261222000.0,,,448067000.0,17000.0,,0.0,448050000.0,2746654000.0,1359699000.0,14000000.0,29206000.0,900587000.0,0.0,900587000.0,20051000.0,24751000.0,9835000.0,14916000.0,93222000.0,-96106000.0,189328000.0,0.0,93100000.0,85125000.0,104203000.0,0.0,1386955000.0,5274000.0,,7446000.0,1259000.0,1259000.0,801945000.0,1248000.0,60135000.0,-28941000.0,89076000.0,509648000.0,470615000.0,39033000.0,,39033000.0,239248000.0,,-289200000.0,0.0,0.0,-14527000.0,39033000.0,,184774000.0,-145741000.0,-294205000.0,1533000.0,-6558000.0,0.0,,0.0,-289180000.0,-289180000.0,-289200000.0,,0.0,,0.0,-105311000.0,,16208000.0,475000.0,-144165000.0,173278000.0,-317443000.0,36698000.0,39378000.0,-2680000.0,-10000000.0,-10000000.0,-4527000.0,,-4527000.0,253775000.0,-29501000.0,129885000.0,-6805000.0,-226606000.0,87004000.0,6283000.0,8326000.0,261683000.0,-10841000.0,6468000.0,,6468000.0,3048000.0,-1559000.0,,190441000.0
