,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Treasury Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Inventories Adjustments Allowances,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,1299124.074874,0.251476,3199328000.0,5166000.0,5166000.0,1861144000.0,712354000.0,8623550000.0,3204494000.0,2492140000.0,72101000.0,5722000.0,82189000.0,1857277124.074874,1861144000.0,13217453000.0,3480000.0,51193933.0,51131827.0,36.35,36.4,1861144000.0,1861144000.0,0.0,1861144000.0,1861144000.0,1861144000.0,625274000.0,2486418000.0,20501000.0,5166000.0,-5166000.0,,0.0,72101000.0,4366000.0,5722000.0,82189000.0,2264508000.0,4593903000.0,2246131000.0,712354000.0,5318000.0,707036000.0,739675000.0,646986000.0,92689000.0,3480000.0,6858411000.0,8623550000.0,15481961000.0,15481961000.0,,51136418.0,51136418.0,,55264000.0,13993595000.0,14060889000.0,3849597000.0,13993595000.0,19219000.0,14024844000.0,14024844000.0,14024844000.0,14024844000.0,39432000.0,13299591000.0,215961000.0,102351000.0,102351000.0,3863734000.0,1412168000.0,,116620000.0,8100000.0,395494000.0,888169000.0,11885000.0,11885000.0,,116600000.0,2451566000.0,280000.0,43379000.0,7334000.0,36045000.0,46039000.0,36200000.0,2233014000.0,448448000.0,12230000.0,1772336000.0,17888578000.0,11587415000.0,27107000.0,75568000.0,0.0,39800000.0,31249000.0,31249000.0,10932915000.0,-2951649000.0,13884564000.0,519134000.0,553716000.0,11282714000.0,1216810000.0,312190000.0,0.0,6301163000.0,82832000.0,,12230000.0,10856000.0,1647808000.0,-5775000.0,66670000.0,811571000.0,86710000.0,688632000.0,105163000.0,112432000.0,2301514000.0,0.0,2301514000.0,2028328000.0,1540541000.0,487787000.0,336000000.0,151787000.0,2154180000.0,0.0,29673000.0,6204000.0,-476879000.0,487787000.0,1000.0,303707000.0,184079000.0,-491608000.0,6100000.0,-8227000.0,-511310000.0,6204000.0,6204000.0,29673000.0,,,29673000.0,0.0,29673000.0,-1955372000.0,-1537063000.0,50453000.0,,,,,-468762000.0,8117000.0,-476879000.0,2631059000.0,-503077000.0,55617000.0,70300000.0,-36400000.0,49640000.0,71847000.0,-94396000.0,-129731000.0,6515000.0,,712354000.0,5318000.0,707036000.0,,5489000.0,-3475000.0,2486418000.0
2024-03-31,-7299058.48134,0.264708,2679400000.0,-27574000.0,-27574000.0,1488731000.0,589225000.0,7882565000.0,2651826000.0,2062601000.0,-33104000.0,37921000.0,9038000.0,1509005941.51866,1488731000.0,12225217000.0,2748000.0,51180494.0,51114726.0,29.09,29.13,1488731000.0,1488731000.0,0.0,1488731000.0,1488731000.0,1488731000.0,535949000.0,2024680000.0,722000.0,-27574000.0,1543000.0,,26031000.0,-33104000.0,4221000.0,37921000.0,9038000.0,1964769000.0,4342652000.0,2324234000.0,589225000.0,5462000.0,583763000.0,552097000.0,472731000.0,79366000.0,2748000.0,6307421000.0,7882565000.0,14189986000.0,14189986000.0,0.0,51121395.0,51121395.0,,31678000.0,12634074000.0,12677816000.0,2159254000.0,12634074000.0,25306000.0,12671444000.0,12671444000.0,12671444000.0,12671444000.0,37310000.0,11956146000.0,205394000.0,102321000.0,102321000.0,3164797000.0,890496000.0,,106866000.0,20504000.0,6943000.0,757468000.0,19219000.0,19219000.0,,106900000.0,2274301000.0,2270000.0,12459000.0,6087000.0,6372000.0,45268000.0,36700000.0,2146564000.0,417671000.0,9893000.0,1719000000.0,15836241000.0,11402686000.0,27107000.0,60439000.0,0.0,42900000.0,37370000.0,37370000.0,11210611000.0,-2271054000.0,13481665000.0,355733000.0,547786000.0,11063205000.0,1202751000.0,312190000.0,0.0,4433555000.0,76653000.0,0.0,9893000.0,15587000.0,1719655000.0,-4165000.0,76665000.0,836857000.0,105379000.0,704919000.0,20233000.0,74262000.0,2213414000.0,0.0,2213414000.0,303858000.0,151000.0,303707000.0,212000000.0,91707000.0,1524703000.0,-3421237000.0,2572755000.0,8221000.0,-1223188000.0,303707000.0,,171837000.0,131870000.0,-1401370000.0,8100000.0,-42462000.0,-511139000.0,8221000.0,8221000.0,-848482000.0,,,-848482000.0,-3421237000.0,2572755000.0,-1214651000.0,-2948000.0,8775000.0,,,,,-1220478000.0,2710000.0,-1223188000.0,2747891000.0,-345672000.0,402935000.0,-117592000.0,220263000.0,-178162000.0,116975000.0,365291000.0,31019000.0,11026000.0,,589225000.0,5462000.0,583763000.0,,1437000.0,-291000.0,2024680000.0
2023-03-31,-10181407.874093,0.258957,3603937000.0,-39317000.0,-39317000.0,2286553000.0,451732000.0,8808593000.0,3564620000.0,3112888000.0,-22928000.0,27301000.0,10286000.0,2315688592.125907,2286553000.0,13533035000.0,1103000.0,51175700.0,51092204.0,44.68,44.75,2286553000.0,2286553000.0,0.0,2286553000.0,2286553000.0,2286553000.0,799034000.0,3085587000.0,2684000.0,-39317000.0,39317000.0,,0.0,-22928000.0,5913000.0,27301000.0,10286000.0,3035898000.0,4724442000.0,2595899000.0,451732000.0,4624000.0,447108000.0,819031000.0,737616000.0,81415000.0,1103000.0,7760340000.0,8808593000.0,16568933000.0,16568933000.0,,51100628.0,51100628.0,682928000.0,877452000.0,11653336000.0,12544118000.0,1464677000.0,11653336000.0,22598000.0,11689264000.0,11689264000.0,11689264000.0,11689264000.0,34601000.0,10993320000.0,188898000.0,102279000.0,102279000.0,4229866000.0,688126000.0,,93092000.0,8117000.0,9044000.0,559611000.0,18262000.0,18262000.0,,93100000.0,3541740000.0,2889000.0,859190000.0,4336000.0,854854000.0,42605000.0,34500000.0,2554329000.0,646704000.0,10463000.0,1897162000.0,15919130000.0,10912713000.0,27109000.0,108986000.0,0.0,40600000.0,35928000.0,35928000.0,10675942000.0,-1681891000.0,12357833000.0,3520104000.0,264951000.0,7532240000.0,729827000.0,310711000.0,0.0,5006417000.0,57911000.0,205000.0,10463000.0,42800000.0,1836630000.0,-1910000.0,76063000.0,784376000.0,81720000.0,896381000.0,2489000.0,299760000.0,2584212000.0,0.0,2584212000.0,171947000.0,21000.0,171926000.0,96000000.0,75926000.0,-550427000.0,-736223000.0,1351787000.0,12395000.0,-3034252000.0,171837000.0,,378639000.0,-206802000.0,79919000.0,4400000.0,-30613000.0,-510919000.0,12395000.0,12395000.0,615564000.0,,,615564000.0,-736223000.0,1351787000.0,-2770546000.0,236853000.0,22423000.0,,0.0,0.0,0.0,-3029822000.0,4430000.0,-3034252000.0,2483825000.0,-713952000.0,-427469000.0,26248000.0,-62426000.0,-387528000.0,-191333000.0,183130000.0,21439000.0,13231000.0,0.0,451732000.0,4624000.0,447108000.0,,21116000.0,3134000.0,3085587000.0
2022-03-31,1591317.844514,0.255592,3387717000.0,6226000.0,6226000.0,2248965000.0,347522000.0,8533779000.0,3393943000.0,3046421000.0,8866000.0,25274000.0,41684000.0,2244330317.844514,2248965000.0,12314895000.0,2065000.0,51167549.0,51062405.0,43.95,44.04,2248965000.0,2248965000.0,0.0,2248965000.0,2248965000.0,2248965000.0,772182000.0,3021147000.0,642000.0,-8583000.0,8583000.0,,,8866000.0,7544000.0,25274000.0,41684000.0,2921165000.0,3781116000.0,2054134000.0,347522000.0,4378000.0,343144000.0,593471000.0,524195000.0,69276000.0,2065000.0,6702281000.0,8533779000.0,15236060000.0,15236060000.0,,51072447.0,51072447.0,,232886000.0,9880185000.0,10125339000.0,2096622000.0,9880185000.0,5606000.0,9898059000.0,9898059000.0,9898059000.0,9898059000.0,32892000.0,9234668000.0,165037000.0,102223000.0,102223000.0,3815267000.0,536130000.0,81000.0,34316000.0,12016000.0,12639000.0,472232000.0,4927000.0,4927000.0,0.0,34300000.0,3279137000.0,14665000.0,227959000.0,679000.0,227280000.0,73817000.0,66200000.0,2899805000.0,604796000.0,10319000.0,2284690000.0,13713326000.0,8337567000.0,27107000.0,532238000.0,0.0,40800000.0,17874000.0,17874000.0,7698053000.0,-1275849000.0,8973902000.0,1423721000.0,242630000.0,6308676000.0,688164000.0,310711000.0,0.0,5375759000.0,298600000.0,23457000.0,10320000.0,88834000.0,1645298000.0,-788000.0,123124000.0,805636000.0,96639000.0,620687000.0,14968000.0,210048000.0,2767442000.0,0.0,2767442000.0,615392000.0,236753000.0,378639000.0,313900000.0,64739000.0,-422752000.0,-227594000.0,0.0,6969000.0,-2469508000.0,378639000.0,,961441000.0,-582802000.0,-572892000.0,-4145000.0,-39952000.0,-306370000.0,6969000.0,6969000.0,-227594000.0,,,-227594000.0,-227594000.0,0.0,-2056666000.0,51972000.0,35743000.0,,317231000.0,517231000.0,-200000000.0,-2461612000.0,7896000.0,-2469508000.0,2046756000.0,-743897000.0,-568471000.0,-48881000.0,-115476000.0,523234000.0,-426328000.0,-487581000.0,4686000.0,17771000.0,-612000.0,347522000.0,4378000.0,343144000.0,-14809000.0,-17388000.0,8640000.0,3021147000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19000.0,801000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215924000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23215000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-121890000.0,-121890000.0,,,,,,,0.0,-299985000.0,0.0,-299985000.0,,,,,,,,,,,,,,-416000.0,,,,-2437000.0,,,
