,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Preferred Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Trading Securities,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Provisionand Write Offof Assets,CashFlow_Deferred Tax,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,121785461.624154,0.25576,15972960000.0,476170000.0,476170000.0,7148000000.0,3427210000.0,217608110000.0,16449130000.0,13021920000.0,-3458750000.0,3425910000.0,764920000.0,6793615461.624154,7148000000.0,237048670000.0,534480000.0,1031504097.0,1031108829.0,6.93,6.93,7148000000.0,7148000000.0,0.0,7148000000.0,6270000.0,7141730000.0,7141730000.0,2454280000.0,9596010000.0,128830000.0,471820000.0,-547710000.0,1680000.0,74210000.0,-3458750000.0,797760000.0,3425910000.0,764920000.0,12406440000.0,19440560000.0,3565770000.0,3427210000.0,18970000.0,3408240000.0,5411980000.0,4972710000.0,439270000.0,534480000.0,31847000000.0,217608110000.0,249455110000.0,249455110000.0,1031435375.0,1031435375.0,29229900000.0,49593560000.0,47963900000.0,80968980000.0,25886060000.0,47963900000.0,16660360000.0,48035780000.0,48035780000.0,48035780000.0,0.0,48035780000.0,86270000.0,19742500000.0,16234540000.0,10314350000.0,10314350000.0,,103223670000.0,15116630000.0,108970000.0,500810000.0,108970000.0,14307920000.0,14307920000.0,,500810000.0,88107040000.0,1975480000.0,550830000.0,35285640000.0,2352440000.0,32933200000.0,356140000.0,23531840000.0,28090000.0,680000.0,550830000.0,23503070000.0,151259450000.0,37266350000.0,1296260000.0,2241780000.0,1125190000.0,52680000.0,6302850000.0,52680000.0,,611360000.0,71880000.0,21320000.0,50560000.0,27856020000.0,-9230150000.0,37086170000.0,77490000.0,27778530000.0,19086050000.0,15875620000.0,2047010000.0,0.0,113993100000.0,1920000.0,356590000.0,0.0,6607430000.0,1467470000.0,96811070000.0,74275260000.0,11729040000.0,10806770000.0,1046080000.0,3999240000.0,-71690000.0,4070930000.0,3703300000.0,8309280000.0,3703300000.0,5520000.0,3697780000.0,7445790000.0,-79910000.0,,144970000.0,-4648250000.0,3703300000.0,1777080000.0,1926220000.0,-8402360000.0,-420880000.0,-2233620000.0,-1236080000.0,144970000.0,144970000.0,-1263030000.0,-1183120000.0,-79910000.0,-79910000.0,,-1765460000.0,2105640000.0,326500000.0,0.0,0.0,0.0,,,-4197600000.0,450650000.0,-4648250000.0,12094040000.0,-2378760000.0,-1708250000.0,9458240000.0,-757690000.0,4092750000.0,-13835340000.0,-768520000.0,2800470000.0,63090000.0,144360000.0,2454280000.0,3427210000.0,18970000.0,3408240000.0,-21580000.0,51400000.0,44200000.0,7141730000.0
2024-03-31,90674971.761798,0.244085,13330450000.0,371490000.0,371490000.0,5973460000.0,2743010000.0,158345930000.0,13701940000.0,10958930000.0,-3202020000.0,3070680000.0,583910000.0,5692644971.761798,5973460000.0,174177650000.0,453310000.0,1031830643.0,1030053057.0,5.8,5.8,5973460000.0,5973460000.0,0.0,5973460000.0,10610000.0,5962850000.0,5962850000.0,1925400000.0,7888250000.0,159660000.0,384510000.0,-442540000.0,1640000.0,56390000.0,-3202020000.0,715250000.0,3070680000.0,583910000.0,10548000000.0,15831720000.0,2645640000.0,2743010000.0,28450000.0,2714560000.0,4198750000.0,3792750000.0,406000000.0,453310000.0,26379720000.0,158345930000.0,184725650000.0,184725650000.0,1030053057.0,1030053057.0,31481880000.0,44949490000.0,41801730000.0,75149530000.0,23879800000.0,41801730000.0,11690530000.0,41890570000.0,41890570000.0,41877670000.0,-12900000.0,41890570000.0,110140000.0,14271180000.0,16016600000.0,10300530000.0,10300530000.0,,86299680000.0,10689320000.0,,455640000.0,0.0,10016150000.0,10016150000.0,0.0,455640000.0,75610360000.0,973520000.0,25540000.0,34933340000.0,1674380000.0,33258960000.0,187090000.0,19468730000.0,27100000.0,140000.0,25540000.0,19441490000.0,128177350000.0,28687190000.0,590080000.0,1049960000.0,662300000.0,44000000.0,3856400000.0,44000000.0,44000000.0,611360000.0,88840000.0,38280000.0,50560000.0,22778720000.0,-7739420000.0,30518140000.0,484660000.0,11389910000.0,15443860000.0,12542610000.0,2047010000.0,0.0,99490160000.0,2880000.0,1080000.0,1339100000.0,7973900000.0,1723280000.0,82975730000.0,66587920000.0,11492810000.0,4895000000.0,413920000.0,3283190000.0,-19000000.0,3302190000.0,1777080000.0,8800960000.0,1777080000.0,152510000.0,1624570000.0,9503510000.0,-187790000.0,,0.0,-3714460000.0,1777080000.0,1409070000.0,368010000.0,-11480140000.0,,-2388540000.0,-514890000.0,0.0,0.0,-5908940000.0,-5721150000.0,-187790000.0,-187790000.0,,-1369820000.0,839810000.0,398960000.0,100000.0,6600000.0,-6500000.0,,,-2608690000.0,1105770000.0,-3714460000.0,13217970000.0,-2262430000.0,2030960000.0,9103030000.0,-997110000.0,7524830000.0,-12836980000.0,-843060000.0,2577570000.0,110140000.0,2230000.0,1925400000.0,2743010000.0,28450000.0,2743010000.0,53830000.0,29760000.0,-13380000.0,5962850000.0
2023-03-31,-38734428.595925,0.244243,11185360000.0,-158590000.0,-158590000.0,4331050000.0,2445840000.0,118722240000.0,11026770000.0,8580930000.0,-3262150000.0,2865710000.0,272620000.0,4450905571.404075,4331050000.0,131314520000.0,392130000.0,1030053057.0,1030053057.0,4.2,4.2,4331050000.0,4331050000.0,0.0,4331050000.0,11730000.0,4319320000.0,4319320000.0,1395900000.0,5715220000.0,129550000.0,-198910000.0,145880000.0,36370000.0,16660000.0,-3262150000.0,669060000.0,2865710000.0,272620000.0,8935580000.0,12592280000.0,1969280000.0,2445840000.0,39540000.0,2406300000.0,3440420000.0,3117090000.0,323330000.0,392130000.0,21527860000.0,118722240000.0,140250100000.0,140250100000.0,1030053057.0,1030053057.0,33676390000.0,42954890000.0,36243220000.0,71432570000.0,21471220000.0,36243220000.0,7869430000.0,36347110000.0,36424840000.0,36344820000.0,-2290000.0,36347110000.0,26046580000.0,8812750000.0,16016600000.0,10300530000.0,10300530000.0,,70784550000.0,7097400000.0,,376540000.0,,6720860000.0,6643130000.0,77730000.0,376540000.0,63687150000.0,596110000.0,,36234030000.0,1226300000.0,35007730000.0,130580000.0,12356370000.0,222220000.0,0.0,207260000.0,11926890000.0,107129370000.0,21971000000.0,539320000.0,856390000.0,561930000.0,43500000.0,1635990000.0,,43500000.0,611360000.0,103890000.0,53330000.0,50560000.0,18518510000.0,-6635120000.0,25153630000.0,200490000.0,9579840000.0,12316620000.0,1152700000.0,1903980000.0,0.0,85158370000.0,3260000.0,163450000.0,1339100000.0,8409680000.0,1080570000.0,70138750000.0,54515250000.0,11021560000.0,4601940000.0,172180000.0,2442310000.0,-25930000.0,2468240000.0,1409070000.0,9038940000.0,1409070000.0,21000000.0,1388070000.0,8262530000.0,-365670000.0,0.0,,-1871180000.0,1409070000.0,1490220000.0,-81150000.0,-6375890000.0,,-2290950000.0,,,,-2145950000.0,-1780280000.0,-365670000.0,-365670000.0,0.0,-3838970000.0,-2071090000.0,131620000.0,-36940000.0,38060000.0,-75000000.0,,,-1862560000.0,8620000.0,-1871180000.0,10133710000.0,-1290030000.0,424210000.0,8218530000.0,210380000.0,5375030000.0,-12196160000.0,-1248990000.0,3006210000.0,0.0,-250590000.0,1395900000.0,2445840000.0,39540000.0,2406300000.0,-221860000.0,221360000.0,-5260000.0,4319320000.0
2022-03-31,-2183267.928367,0.250375,8345630000.0,-8720000.0,-8720000.0,2242090000.0,2315770000.0,91262880000.0,8336910000.0,6021140000.0,-3375980000.0,3032580000.0,227760000.0,2248626732.071633,2242090000.0,101538850000.0,332940000.0,1030053057.0,1030053057.0,2.18,2.18,2242090000.0,2242090000.0,0.0,2242090000.0,1790000.0,2240300000.0,2240300000.0,748260000.0,2988560000.0,75780000.0,130820000.0,-348920000.0,55880000.0,162220000.0,-3375980000.0,571160000.0,3032580000.0,227760000.0,6269420000.0,10275970000.0,1412930000.0,2315770000.0,45180000.0,2270590000.0,2739220000.0,2494070000.0,245150000.0,332940000.0,16545390000.0,91262880000.0,107808270000.0,107808270000.0,1030053057.0,1030053057.0,32141640000.0,40293200000.0,31245980000.0,65002130000.0,16595330000.0,31245980000.0,6661340000.0,31370270000.0,31612990000.0,31379710000.0,9440000.0,31370270000.0,21069740000.0,4481700000.0,16016600000.0,10300530000.0,10300530000.0,,58071680000.0,6253490000.0,,343360000.0,,5910130000.0,5667410000.0,242720000.0,343360000.0,51818190000.0,253710000.0,,34383070000.0,993930000.0,33389140000.0,149390000.0,6735530000.0,169630000.0,,0.0,6565900000.0,89451390000.0,21037870000.0,560000000.0,720110000.0,449740000.0,6000000.0,739740000.0,,6000000.0,611360000.0,124290000.0,73730000.0,50560000.0,18499960000.0,-6240460000.0,24740420000.0,17350000.0,8667060000.0,13074630000.0,1077400000.0,1903980000.0,0.0,68413520000.0,89090000.0,0.0,0.0,6281790000.0,1396940000.0,57942590000.0,43114940000.0,9235860000.0,5591790000.0,18190000.0,1194700000.0,-24550000.0,1219250000.0,1490220000.0,6586830000.0,1490220000.0,28900000.0,1461320000.0,1728390000.0,-1614080000.0,490570000.0,0.0,-912630000.0,1490220000.0,3648560000.0,-2158340000.0,-5435100000.0,15120000.0,-2407170000.0,,0.0,0.0,-860970000.0,262540000.0,-1123510000.0,-1614080000.0,490570000.0,635740000.0,1350400000.0,199440000.0,-6000000.0,0.0,-6000000.0,0.0,0.0,-908100000.0,4530000.0,-912630000.0,2641020000.0,-1529150000.0,-4071190000.0,796700000.0,345460000.0,-312050000.0,-4911700000.0,-70310000.0,2782890000.0,,42090000.0,748260000.0,2315770000.0,45180000.0,2270590000.0,-224960000.0,122230000.0,-3320000.0,2240300000.0
