,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Research And Development,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Sale Of Business,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Gain Loss On Sale Of Business,CashFlow_Net Income From Continuing Operations
2025-03-31,2621516589.519641,0.255895,278981300000.0,10244500000.0,10244500000.0,197306200000.0,19505800000.0,323761000000.0,289225800000.0,269720000000.0,14437000000.0,450600000.0,14887600000.0,189683216589.51965,347466300000.0,504601900000.0,3072000000.0,12521042519.0,12502378226.0,27.75,27.79,347466300000.0,347466300000.0,0.0,347466300000.0,-3058500000.0,350524800000.0,150160100000.0,200364700000.0,68904700000.0,269269400000.0,1512100000.0,1308900000.0,-1387600000.0,78700000.0,14437000000.0,,450600000.0,14887600000.0,241931300000.0,180840900000.0,64015100000.0,16463200000.0,16463200000.0,,42293000000.0,33169400000.0,9123600000.0,3072000000.0,422772200000.0,323761000000.0,746533200000.0,746533200000.0,12514119781.0,12514119781.0,2848400000.0,664050700000.0,701216100000.0,295591700000.0,664050700000.0,1932800000.0,700300500000.0,700300500000.0,703979400000.0,3678900000.0,700300500000.0,4227600000.0,490101400000.0,158486800000.0,12514100000.0,12514100000.0,176927400000.0,33586300000.0,345100000.0,,345100000.0,25824600000.0,1372100000.0,1372100000.0,0.0,3031100000.0,143341100000.0,48840900000.0,,1476300000.0,560700000.0,915600000.0,,800600000.0,62981500000.0,19200000.0,2592800000.0,12296500000.0,48073000000.0,880906800000.0,441974000000.0,10159300000.0,12134000000.0,879800000.0,149970800000.0,149970800000.0,,47117800000.0,3224000000.0,36249800000.0,27280500000.0,8969300000.0,191718700000.0,-110374100000.0,302092800000.0,11610900000.0,319700000.0,198784400000.0,75501700000.0,15876100000.0,0.0,438932800000.0,13718500000.0,2648400000.0,15938300000.0,158361400000.0,3029000000.0,39286900000.0,4146000000.0,111899500000.0,14437800000.0,47196700000.0,-1761300000.0,48958000000.0,200350200000.0,194150200000.0,6200000000.0,2026000000.0,4174000000.0,153483400000.0,-540200000.0,895000000.0,7973300000.0,-22787000000.0,6223800000.0,-1680200000.0,5965800000.0,1938200000.0,-170374000000.0,275400000.0,-500100000.0,-177822200000.0,-177822200000.0,7973300000.0,7973300000.0,354800000.0,370000000.0,-525000000.0,895000000.0,-15200000.0,-15200000.0,-3958200000.0,,10722800000.0,376700000.0,9116200000.0,747417100000.0,-738300900000.0,-3104400000.0,,-3104400000.0,-21032800000.0,1754200000.0,-22787000000.0,176270400000.0,-63502000000.0,-27420000000.0,12561800000.0,-29753800000.0,-10228000000.0,-14604500000.0,1337900000.0,19500000.0,19505800000.0,19505800000.0,-9089800000.0,67800000.0,-1356900000.0,-155831200000.0,425815900000.0
2024-03-31,2118320699.553187,0.235204,273551500000.0,9006300000.0,9006300000.0,198982400000.0,18163900000.0,273458400000.0,282557800000.0,264393900000.0,16576400000.0,391100000.0,16967500000.0,192094420699.5532,204587800000.0,437215600000.0,2743000000.0,12489150656.0,12461058425.0,16.38,16.42,204587800000.0,204587800000.0,0.0,204587800000.0,-2925800000.0,207513600000.0,5605400000.0,201908200000.0,62094600000.0,264002800000.0,1480600000.0,720400000.0,-721000000.0,600000.0,16576400000.0,341000000.0,391100000.0,16967500000.0,236694800000.0,163757200000.0,56779000000.0,15180500000.0,15180500000.0,2421500000.0,38978400000.0,30389300000.0,8589100000.0,2743000000.0,400452000000.0,273458400000.0,673910400000.0,673910400000.0,12484721471.0,12484721471.0,3037300000.0,710395200000.0,745185800000.0,273751400000.0,710395200000.0,2921500000.0,745070000000.0,745087600000.0,748899700000.0,3829700000.0,745070000000.0,5075100000.0,361725700000.0,148278500000.0,12484700000.0,12484700000.0,169361900000.0,32457900000.0,1497200000.0,,1497200000.0,21414400000.0,2323700000.0,2306100000.0,17600000.0,2883000000.0,136904000000.0,47085500000.0,,713600000.0,615400000.0,98200000.0,1069100000.0,1069100000.0,59919100000.0,20100000.0,2511900000.0,9408800000.0,47978300000.0,918261600000.0,507606200000.0,13798600000.0,11647000000.0,721900000.0,179495200000.0,179495200000.0,1574800000.0,5497300000.0,3409300000.0,34674800000.0,26877500000.0,7797300000.0,271647600000.0,-118208000000.0,389855600000.0,31433100000.0,418300000.0,219914900000.0,109435100000.0,28654200000.0,0.0,410655400000.0,13831900000.0,2689400000.0,12002900000.0,143028800000.0,2457300000.0,33457000000.0,13347200000.0,93767300000.0,13744500000.0,40258200000.0,-1881300000.0,42139500000.0,198931600000.0,192672700000.0,6258900000.0,1386600000.0,4872300000.0,136163300000.0,-15700000.0,80000000.0,14428300000.0,-35625300000.0,5965800000.0,,4059100000.0,1906700000.0,-185509600000.0,121200000.0,-462500000.0,-198992000000.0,-198992000000.0,14428300000.0,14428300000.0,64300000.0,80000000.0,0.0,80000000.0,-15700000.0,-15700000.0,15627700000.0,,11383500000.0,356500000.0,39101200000.0,836295100000.0,-797193900000.0,-650400000.0,0.0,-650400000.0,-34550500000.0,1074800000.0,-35625300000.0,171788600000.0,-61195600000.0,-33370300000.0,1414800000.0,-25448700000.0,-9336400000.0,-16645500000.0,1073000000.0,246100000.0,18163900000.0,18163900000.0,-8513000000.0,-133800000.0,-570400000.0,-98400000.0,271398800000.0
2023-03-31,802467131.157409,0.248442,274443300000.0,3230000000.0,3230000000.0,191916600000.0,18090100000.0,294605200000.0,277673300000.0,259583200000.0,14562300000.0,432000000.0,15340000000.0,189489067131.1574,191916600000.0,463485200000.0,2664600000.0,12414327109.0,12381512709.0,15.46,15.5,191916600000.0,191916600000.0,0.0,191916600000.0,-2850600000.0,194767200000.0,,194767200000.0,64384000000.0,259151200000.0,1531300000.0,652400000.0,-666600000.0,14200000.0,14562300000.0,345700000.0,432000000.0,15340000000.0,238967000000.0,168880000000.0,74181700000.0,18090100000.0,18090100000.0,2047200000.0,21450500000.0,12710100000.0,8740400000.0,2664600000.0,407847000000.0,294605200000.0,702452200000.0,702452200000.0,12428017741.0,12428017741.0,3063400000.0,656296200000.0,691943700000.0,259314800000.0,656296200000.0,2672300000.0,691552600000.0,691587500000.0,695387900000.0,3835300000.0,691552600000.0,7414500000.0,353402300000.0,130506900000.0,12428000000.0,12428000000.0,163441900000.0,26047800000.0,828400000.0,2589200000.0,828400000.0,16290000000.0,2168600000.0,2133700000.0,34900000.0,2592100000.0,137394100000.0,42765100000.0,,894800000.0,538600000.0,356200000.0,1005600000.0,1005600000.0,58120700000.0,23900000.0,2390700000.0,9116200000.0,46589900000.0,858829800000.0,462120900000.0,13119500000.0,26802000000.0,520200000.0,139886400000.0,138338700000.0,1547700000.0,3375900000.0,3522600000.0,35256400000.0,27459100000.0,7797300000.0,252012300000.0,-103411900000.0,355424200000.0,32092700000.0,486300000.0,196655600000.0,97894500000.0,28295100000.0,0.0,396708900000.0,15617500000.0,2394300000.0,13668200000.0,119141300000.0,2580600000.0,30290100000.0,9610800000.0,76659800000.0,13207200000.0,29561700000.0,-1975500000.0,31537200000.0,218736200000.0,214102700000.0,4633500000.0,50800000.0,4582700000.0,161345600000.0,-7300000.0,0.0,24773900000.0,-27429900000.0,4059100000.0,,2666800000.0,1392300000.0,-130060300000.0,353700000.0,-414200000.0,-154175300000.0,-154175300000.0,24773900000.0,24773900000.0,-7300000.0,0.0,,0.0,-7300000.0,-7300000.0,-57322900000.0,-637500000.0,13237400000.0,185800000.0,-43719400000.0,889848400000.0,-933567800000.0,-96300000.0,560000000.0,-656300000.0,-26938200000.0,491700000.0,-27429900000.0,188775500000.0,-62502400000.0,-9241500000.0,10579300000.0,-10978700000.0,-8842100000.0,-14908000000.0,604100000.0,7500000.0,18090100000.0,18090100000.0,-3939900000.0,313700000.0,44000000.0,0.0,259151200000.0
2022-03-31,1569449273.232477,0.252518,218907200000.0,6215200000.0,6215200000.0,152426600000.0,17324100000.0,267464400000.0,225122400000.0,207798300000.0,10226400000.0,393600000.0,10826300000.0,147780849273.23248,152426600000.0,411859100000.0,2137700000.0,12322019118.0,12316571748.0,12.37,12.37,152426600000.0,152426600000.0,0.0,152426600000.0,-2604700000.0,155031300000.0,,155031300000.0,52373400000.0,207404700000.0,1311600000.0,511800000.0,-511800000.0,0.0,10226400000.0,206300000.0,393600000.0,10826300000.0,188954500000.0,144394700000.0,62242100000.0,17324100000.0,17324100000.0,1992400000.0,17660200000.0,10677000000.0,6983200000.0,2137700000.0,333349200000.0,267464400000.0,600813600000.0,600813600000.0,12323255931.0,12323255931.0,2497400000.0,596356500000.0,624614600000.0,220687400000.0,596356500000.0,2438500000.0,624555700000.0,624604200000.0,628218700000.0,3663000000.0,624555700000.0,13162300000.0,312920300000.0,99595300000.0,12323300000.0,12323300000.0,144376800000.0,22739700000.0,364300000.0,2207600000.0,364300000.0,16734700000.0,1985200000.0,1936700000.0,48500000.0,2900000.0,121637100000.0,38378600000.0,,512200000.0,501800000.0,10400000.0,795600000.0,795600000.0,53302100000.0,17300000.0,2241300000.0,6870900000.0,44172600000.0,772595500000.0,430271000000.0,12912200000.0,26573800000.0,635300000.0,123223900000.0,123223900000.0,,2692400000.0,3642000000.0,28199200000.0,20401900000.0,7797300000.0,244766300000.0,-88981400000.0,333747700000.0,34020700000.0,486300000.0,179951800000.0,90997500000.0,28291400000.0,0.0,342324500000.0,13060800000.0,2244900000.0,26634000000.0,109735900000.0,1893300000.0,29759700000.0,7324100000.0,70758800000.0,12148600000.0,24619000000.0,-1968700000.0,26587700000.0,166942100000.0,164228400000.0,2713700000.0,31200000.0,2682500000.0,136338700000.0,-3500000.0,,2918200000.0,-21416400000.0,2666800000.0,,3101600000.0,-434800000.0,-135805000000.0,149200000.0,-395500000.0,-137883200000.0,-137883200000.0,2918200000.0,2918200000.0,-3500000.0,,,,-3500000.0,-3500000.0,-22384900000.0,,10345500000.0,160700000.0,-12016100000.0,761172200000.0,-773188300000.0,-731200000.0,0.0,-731200000.0,-20085400000.0,1331000000.0,-21416400000.0,157755100000.0,-49819500000.0,-995500000.0,10991100000.0,-4663700000.0,-7322900000.0,-10432700000.0,331700000.0,9300000.0,17324100000.0,17324100000.0,-5390000000.0,-89800000.0,-562200000.0,,207404700000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,133900000.0,,,,,,,,1684700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1872100000.0,,,,,,,,,3500000.0,,,,1940100000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,570700000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
