,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Treasury Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Fixed Assets Revaluation Reserve,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Held To Maturity Securities,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,-752891100.0,0.3,2623442000.0,-2509637000.0,-2509637000.0,-901029000.0,411724000.0,2829905000.0,113805000.0,-297919000.0,27412000.0,104884000.0,145885000.0,855716900.0,-901029000.0,3753111000.0,,64000000.0,64000000.0,-14.08,-14.08,-901029000.0,-901029000.0,0.0,-901029000.0,-113411000.0,-787618000.0,-787618000.0,384815000.0,-402803000.0,32281000.0,-2515194000.0,-68700000.0,2583894000.0,,27412000.0,13589000.0,104884000.0,145885000.0,2007876000.0,923206000.0,168271000.0,131106000.0,248000.0,130858000.0,,2931082000.0,2829905000.0,5760987000.0,5760987000.0,,64000000.0,64000000.0,1881001000.0,2053640000.0,14347205000.0,20249693000.0,6072444000.0,14347205000.0,0.0,18196053000.0,19239337000.0,19149486000.0,953433000.0,18196053000.0,17876053000.0,0.0,2636779000.0,9280000000.0,320000000.0,320000000.0,4777626000.0,1753045000.0,,,709761000.0,1043284000.0,0.0,1043284000.0,3024581000.0,995850000.0,165955000.0,1010356000.0,1010356000.0,49000.0,,823899000.0,105552000.0,629000.0,165955000.0,717718000.0,23927112000.0,14830087000.0,-3711000.0,453865000.0,68497000.0,11599000.0,,270000.0,11329000.0,500000.0,3848848000.0,,3848848000.0,9544108000.0,-3460820000.0,13004928000.0,2582199000.0,3718868000.0,425291000.0,47766000.0,22750000.0,6208054000.0,9097025000.0,147000.0,3712000.0,340007000.0,495491000.0,596707000.0,180880000.0,58181000.0,535000.0,357111000.0,74481000.0,15831000.0,5886904000.0,0.0,5886904000.0,1683745000.0,1511106000.0,172639000.0,172639000.0,-676000.0,-2100152000.0,172639000.0,269894000.0,-97255000.0,279402000.0,,-119712000.0,-156160000.0,,555566000.0,-232591000.0,788157000.0,-2476133000.0,,81197000.0,2596000.0,-152914000.0,,-152914000.0,-2084552000.0,15600000.0,-2100152000.0,2099476000.0,42113000.0,-423907000.0,,269747000.0,-102702000.0,-590952000.0,2478002000.0,2915000.0,411724000.0,411724000.0,-8153000.0,-449000.0,34000.0,-402803000.0
2024-03-31,16241543.155793,0.186152,1865940000.0,87249000.0,87249000.0,1238532000.0,343688000.0,2189150000.0,1953189000.0,1609501000.0,105205000.0,71631000.0,189784000.0,1167524543.155793,1238532000.0,2948597000.0,,64000000.0,64000000.0,19.352063,19.352063,1238532000.0,1238532000.0,0.0,1238532000.0,-13061000.0,1251593000.0,1251593000.0,286277000.0,1537870000.0,9472000.0,-8429000.0,8429000.0,0.0,0.0,105205000.0,12948000.0,71631000.0,189784000.0,1321330000.0,759447000.0,164267000.0,113494000.0,2798000.0,110696000.0,,2080777000.0,2189150000.0,4269927000.0,4269927000.0,0.0,64000000.0,64000000.0,1315334000.0,1596859000.0,10583593000.0,16017768000.0,4520030000.0,10583593000.0,11631000.0,14432540000.0,15399525000.0,15272562000.0,840022000.0,14432540000.0,14112540000.0,0.0,3693967000.0,9280000000.0,320000000.0,320000000.0,3841239000.0,1634389000.0,,,655773000.0,978616000.0,11631000.0,966985000.0,2206850000.0,1009008000.0,37001000.0,618243000.0,618243000.0,0.0,,512009000.0,101084000.0,601000.0,37001000.0,410324000.0,19113801000.0,12386921000.0,84615000.0,335856000.0,53093000.0,10732000.0,,206000.0,10526000.0,0.0,3848947000.0,99000.0,3848848000.0,8138293000.0,-3052894000.0,11191187000.0,2199331000.0,3248683000.0,358860000.0,31902000.0,11027000.0,5341384000.0,6726880000.0,3110000.0,0.0,284663000.0,729947000.0,494005000.0,178303000.0,40530000.0,535000.0,274637000.0,768401000.0,3640000.0,2766919000.0,0.0,2766919000.0,1676195000.0,1406301000.0,269894000.0,269894000.0,383069000.0,-2162995000.0,269894000.0,203019000.0,66875000.0,686418000.0,385636000.0,-81158000.0,-118400000.0,-118400000.0,886522000.0,295806000.0,590716000.0,-3165607000.0,-59705000.0,192137000.0,1911000.0,-511993000.0,,-511993000.0,-2105590000.0,57405000.0,-2162995000.0,2546064000.0,-197596000.0,1053359000.0,,832844000.0,-37050000.0,257565000.0,-105205000.0,6000.0,343688000.0,343688000.0,-97589000.0,-12703000.0,24234000.0,1537870000.0
2023-03-31,80576823.613737,0.173784,1437249000.0,463660000.0,463660000.0,1233973000.0,352313000.0,1787297000.0,1900909000.0,1548596000.0,-18816000.0,32055000.0,33483000.0,850889823.613737,1233973000.0,2391379000.0,33974000.0,64000000.0,64000000.0,19.280828,19.280828,1233973000.0,1233973000.0,0.0,1233973000.0,-19017000.0,1252990000.0,1252990000.0,263551000.0,1516541000.0,1430000.0,446896000.0,-662165000.0,170824000.0,44445000.0,-18816000.0,20244000.0,32055000.0,33483000.0,1021982000.0,604082000.0,136670000.0,122976000.0,2103000.0,120873000.0,33974000.0,1626064000.0,1787297000.0,3413361000.0,3413361000.0,,64000000.0,64000000.0,495721000.0,698739000.0,9851853000.0,14400260000.0,4027794000.0,9851853000.0,0.0,13701521000.0,14077790000.0,13794506000.0,92985000.0,13701521000.0,51000.0,46517000.0,2922179000.0,9280000000.0,320000000.0,320000000.0,2076408000.0,984093000.0,,,607824000.0,376269000.0,0.0,376269000.0,1092315000.0,95219000.0,,322470000.0,322470000.0,,,674257000.0,65420000.0,567000.0,53528000.0,554742000.0,15870914000.0,10750804000.0,1000.0,469907000.0,0.0,11272000.0,,647000.0,10625000.0,,3849668000.0,820000.0,3848848000.0,6419956000.0,-2750830000.0,9170786000.0,198347000.0,3017549000.0,788616000.0,195322000.0,11027000.0,4959925000.0,5120109000.0,2346000.0,,224958000.0,1206319000.0,456954000.0,161043000.0,25332000.0,535000.0,270044000.0,29047000.0,2537000.0,2522770000.0,0.0,2522770000.0,675178000.0,472160000.0,203018000.0,203018000.0,-252851000.0,-1071975000.0,203019000.0,120153000.0,82866000.0,285434000.0,1000.0,-60691000.0,-59200000.0,-59200000.0,405325000.0,0.0,405325000.0,-1021692000.0,,33095000.0,1079000.0,16109000.0,279312000.0,-263203000.0,-1071975000.0,0.0,-1071975000.0,819124000.0,53296000.0,-577510000.0,61947000.0,124241000.0,-80252000.0,-621499000.0,-441249000.0,0.0,352313000.0,352313000.0,-84261000.0,0.0,-6000.0,1516541000.0
2022-03-31,-9462648.003413,0.201805,1220168000.0,-46890000.0,-46890000.0,721280000.0,239211000.0,1765952000.0,1173278000.0,934067000.0,-33555000.0,27044000.0,14131000.0,758707351.996587,721280000.0,2227936000.0,26867000.0,64000000.0,64000000.0,11.31,11.31,721280000.0,721280000.0,0.0,721280000.0,-2701000.0,723981000.0,723981000.0,183042000.0,907023000.0,1405000.0,-62185000.0,-139000.0,62324000.0,,-33555000.0,20642000.0,27044000.0,14131000.0,988354000.0,461984000.0,83376000.0,101674000.0,3299000.0,98375000.0,26867000.0,1450338000.0,1765952000.0,3216290000.0,3216290000.0,,64000000.0,64000000.0,197769000.0,317923000.0,7450577000.0,11618415000.0,2474683000.0,7450577000.0,,11300492000.0,11413679000.0,11303566000.0,3074000.0,11300492000.0,,0.0,1676469000.0,9280000000.0,320000000.0,320000000.0,1300648000.0,604538000.0,1000.0,,491351000.0,113187000.0,,113187000.0,696110000.0,61853000.0,,204736000.0,204736000.0,,,428034000.0,45219000.0,108000.0,61019000.0,382707000.0,12604214000.0,9433419000.0,-562549000.0,119816000.0,,169537000.0,196000.0,162537000.0,7000000.0,,3849915000.0,1067000.0,3848848000.0,5443256000.0,-4446393000.0,9889649000.0,46040000.0,661585000.0,2669252000.0,249036000.0,17415000.0,6246321000.0,3170793000.0,31666000.0,,199941000.0,450236000.0,397440000.0,121021000.0,831000.0,14038000.0,261550000.0,4064000.0,48300000.0,1354576000.0,0.0,1354576000.0,684570000.0,564416000.0,120154000.0,120154000.0,239964000.0,-306450000.0,120153000.0,194296000.0,-74143000.0,139675000.0,1000.0,-42252000.0,-44800000.0,-44800000.0,226727000.0,,226727000.0,-760232000.0,1000.0,21556000.0,224000.0,-496175000.0,1373785000.0,-1869960000.0,-285838000.0,20612000.0,-306450000.0,546414000.0,-56718000.0,-557727000.0,0.0,-220102000.0,-7885000.0,-329740000.0,27268000.0,,239211000.0,239211000.0,-12522000.0,,-123000.0,907025000.0
2021-03-31,,,,,,,,,,,,,,,,,24344000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24344000.0,,,,,,,,,,,,,,,,,,,,10297438000.0,,,,,,,,1000.0,0.0,,,,,,,,,,14650000.0,6605000.0,,,,,,,,,,,,196000.0,,,,,810000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,1000.0,,,,847826000.0,,,,,,,,,,,,,,,,,,,
