,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Special Income Charges,Income_Other Special Charges,Income_Impairment Of Capital Assets,Income_Gain On Sale Of Security,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Insurance And Claims,Income_Rent And Landing Fees,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Derivative Product Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Investments And Advances,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investmentsin Associatesat Cost,Balance_Investmentsin Subsidiariesat Cost,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Prepaid Assets,Balance_Receivables,Balance_Taxes Receivable,Balance_Cash And Cash Equivalents,Balance_Cash Financial,Balance_Cash Cash Equivalents And Federal Funds Sold,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Interest Received Cfo,CashFlow_Interest Paid Cfo,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,208778.780205,0.208779,1000000.0,1000000.0,54422300000.0,977700000.0,81610200000.0,195283600000.0,276893800000.0,54421508778.780205,54422300000.0,550063000.0,550063000.0,98.95,98.95,54422300000.0,54422300000.0,54422300000.0,-4700000.0,54427000000.0,54427000000.0,14361600000.0,68788600000.0,1000000.0,-1000000.0,,811500000.0,12878900000.0,3551800000.0,977700000.0,977700000.0,594800000.0,468800000.0,126000000.0,2000000.0,172200000.0,81948200000.0,81948200000.0,550063000.0,550063000.0,2609162900000.0,2625382800000.0,362756100000.0,2987061000000.0,362756100000.0,363518000000.0,2987061000000.0,363555200000.0,37200000.0,363518000000.0,362417100000.0,99871500000.0,40475200000.0,1100800000.0,1100800000.0,2776848600000.0,,2625382800000.0,61831700000.0,56483800000.0,115400000.0,,5232500000.0,3140403800000.0,72039600000.0,71198800000.0,44588700000.0,26610100000.0,840800000.0,840800000.0,,291400000.0,761900000.0,759800000.0,2100000.0,3239800000.0,-3284100000.0,6523900000.0,6600000.0,4042000000.0,1129700000.0,1278300000.0,67300000.0,504200000.0,176600000.0,5884300000.0,14380100000.0,24000000.0,16309000000.0,-166825200000.0,-1531258700000.0,1727513400000.0,,-733500000.0,12885800000.0,,14228200000.0,0.0,-1342400000.0,174134700000.0,-16550600000.0,-4950600000.0,-4950600000.0,,,196254700000.0,196254700000.0,-1531258700000.0,1727513400000.0,-9385400000.0,2400000.0,,5200000.0,-8660500000.0,1159200000.0,-9819700000.0,-732500000.0,1000000.0,-733500000.0,-166091700000.0,-12106500000.0,275361600000.0,-190723800000.0,-7323000000.0,-948300000.0,181200000.0,-82124600000.0,2611000000.0,977700000.0,977700000.0,-5200000.0,0.0,-1000000.0,68788600000.0
2024-03-31,860106.820388,0.215027,4000000.0,4000000.0,47629700000.0,692300000.0,86794400000.0,183878700000.0,270673100000.0,47626560106.82039,47629700000.0,550063000.0,550063000.0,86.53,86.53,47629700000.0,47629700000.0,47629700000.0,-3500000.0,47633200000.0,47633200000.0,13048100000.0,60681300000.0,4000000.0,-4000000.0,,872900000.0,10301900000.0,2355000000.0,692300000.0,692300000.0,580700000.0,338500000.0,242200000.0,1200000.0,157000000.0,86767400000.0,86767400000.0,550063000.0,550063000.0,2410893700000.0,2431975800000.0,314445100000.0,2740748900000.0,314445100000.0,314766600000.0,2740748900000.0,314800600000.0,34000000.0,314766600000.0,313665800000.0,74120100000.0,40475200000.0,1100800000.0,1100800000.0,2598132400000.0,,2427689800000.0,59568700000.0,52622400000.0,102600000.0,0.0,6843700000.0,2912933000000.0,63403800000.0,62590600000.0,45798200000.0,16792400000.0,813200000.0,813200000.0,,291700000.0,321500000.0,319400000.0,2100000.0,3311300000.0,-2430500000.0,5741800000.0,34900000.0,3412700000.0,986500000.0,1240400000.0,67300000.0,427400000.0,137900000.0,4510600000.0,15088600000.0,120300000.0,18028300000.0,-71888600000.0,-1369526300000.0,1464202000000.0,0.0,-374500000.0,14228200000.0,,6413800000.0,-100000.0,7814500000.0,73455700000.0,-16008800000.0,-4675500000.0,-4675500000.0,0.0,0.0,94675700000.0,94675700000.0,-1369526300000.0,1464202000000.0,5872900000.0,3500000.0,0.0,4300000.0,6231600000.0,7115900000.0,-884300000.0,-366500000.0,8000000.0,-374500000.0,-71514100000.0,-14751300000.0,272543200000.0,-180224200000.0,1740400000.0,133000000.0,54000000.0,-84985200000.0,16228800000.0,692300000.0,692300000.0,-4300000.0,100000.0,400000.0,60681300000.0
2023-03-31,300878.742519,0.188049,1600000.0,1600000.0,28907700000.0,690400000.0,64137500000.0,161347600000.0,225485100000.0,28906400878.74252,28907700000.0,550063000.0,550063000.0,52.553435,52.553435,28907700000.0,28907700000.0,28907700000.0,-4100000.0,28911700000.0,28911700000.0,6696000000.0,35607700000.0,1600000.0,-1600000.0,0.0,747600000.0,8832100000.0,2115200000.0,690400000.0,690400000.0,551100000.0,437600000.0,113500000.0,1800000.0,293300000.0,63796600000.0,63796600000.0,550063000.0,550063000.0,2323042500000.0,2339600500000.0,271482200000.0,2603326900000.0,271482200000.0,271846700000.0,2603326900000.0,271878600000.0,31900000.0,271846700000.0,270745900000.0,54374400000.0,40475200000.0,1100800000.0,1100800000.0,2513711100000.0,,2333321100000.0,53697400000.0,46710400000.0,95200000.0,38700000.0,6853100000.0,2785589700000.0,70525800000.0,69966200000.0,46262500000.0,23703700000.0,559600000.0,559600000.0,,0.0,364500000.0,362400000.0,2100000.0,3736100000.0,-1947000000.0,5683100000.0,215900000.0,3082500000.0,789100000.0,1408700000.0,186900000.0,416600000.0,57200000.0,977500000.0,8437700000.0,44400000.0,8437700000.0,-196961000000.0,-1545645900000.0,1821506400000.0,0.0,-641000000.0,6413800000.0,-90000000.0,8243500000.0,100000.0,-1829800000.0,202486900000.0,-68240000000.0,-4622000000.0,-4622000000.0,0.0,0.0,275860500000.0,275860500000.0,-1545645900000.0,1821506400000.0,-7996700000.0,2700000.0,0.0,56700000.0,-7594000000.0,262100000.0,-7856100000.0,-405400000.0,235600000.0,-641000000.0,-196320000000.0,-10538300000.0,218288700000.0,-159728700000.0,2232100000.0,,,-57490400000.0,13962100000.0,690400000.0,690400000.0,-95400000.0,-100000.0,-1600000.0,35607700000.0
2022-03-31,17983.611145,0.179836,100000.0,100000.0,22856500000.0,524400000.0,55697500000.0,141510900000.0,197208400000.0,22856417983.611145,22856500000.0,530161630.0,530161630.0,43.12,43.12,22856500000.0,22856500000.0,22856500000.0,-3500000.0,22860100000.0,22860100000.0,5012500000.0,27872600000.0,100000.0,-100000.0,0.0,367700000.0,9161200000.0,1917400000.0,551900000.0,551900000.0,397100000.0,282000000.0,115100000.0,1800000.0,259700000.0,56660000000.0,56660000000.0,550063000.0,550063000.0,2045858700000.0,2062789200000.0,247274100000.0,2303354900000.0,247274100000.0,247508300000.0,2303354900000.0,247537500000.0,29200000.0,247508300000.0,246407400000.0,48435800000.0,40475200000.0,1100800000.0,1100800000.0,2299330200000.0,0.0,2057348900000.0,52227600000.0,44672100000.0,86000000.0,0.0,7469500000.0,2546867700000.0,63610100000.0,63052900000.0,46291100000.0,15970100000.0,557200000.0,557200000.0,0.0,,234200000.0,232100000.0,2100000.0,3016300000.0,-1426200000.0,4442500000.0,87800000.0,2311800000.0,540800000.0,1333500000.0,168600000.0,375300000.0,137700000.0,2373300000.0,9987900000.0,43500000.0,9987900000.0,-167751500000.0,-1362439200000.0,1523144400000.0,23342300000.0,-348900000.0,8221900000.0,,13291500000.0,-3100000.0,-5066500000.0,178345900000.0,-535600000.0,-4675500000.0,-4675500000.0,23342300000.0,23342300000.0,160705200000.0,160705200000.0,-1362439200000.0,1523144400000.0,-16009800000.0,4900000.0,50400000.0,52000000.0,-15763600000.0,6269500000.0,-22033100000.0,-348600000.0,300000.0,-348900000.0,-167402600000.0,-10873600000.0,194045000000.0,-146293900000.0,-7993300000.0,1824900000.0,-22400000.0,-53394500000.0,19882400000.0,524400000.0,524400000.0,-102400000.0,3100000.0,-100000.0,27781500000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,77600000.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,,,,0.0,,,,,,,,,,,,,458700000.0,-486800000.0,,,,,,,,
