,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Current Deferred Assets,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Pension And Employee Benefit Expense,CashFlow_Gain Loss On Investment Securities,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,0.0,0.213668,-33923000.0,0.0,0.0,-27925000.0,1065000.0,261942000.0,-33923000.0,-34988000.0,-525000.0,525000.0,,-27925000.0,-27925000.0,284744000.0,,11125498.0,11125498.0,-2.51,-2.51,-27925000.0,-27925000.0,0.0,-27925000.0,-27925000.0,-27925000.0,-7588000.0,-35513000.0,11346000.0,0.0,,,-525000.0,,525000.0,,-46334000.0,22802000.0,14034000.0,1065000.0,1065000.0,,,,,-23532000.0,261942000.0,238410000.0,238410000.0,11106000.0,11106000.0,12487000.0,14905000.0,114990000.0,128297000.0,56003000.0,114990000.0,1598000.0,114990000.0,128297000.0,114990000.0,114990000.0,3930000.0,,,111060000.0,111060000.0,86639000.0,14372000.0,,,0.0,14319000.0,1012000.0,13307000.0,53000.0,72267000.0,58425000.0,,586000.0,586000.0,0.0,,2837000.0,10344000.0,,,0.0,10344000.0,201629000.0,73358000.0,,,71349000.0,182000.0,182000.0,1827000.0,,1827000.0,1827000.0,,,,,128270000.0,75395000.0,,,0.0,,,,27632000.0,,24423000.0,820000.0,,820000.0,,-22165000.0,,9559000.0,,-43000.0,820000.0,-1000.0,9145000.0,-8324000.0,8514000.0,1000.0,-525000.0,,,9559000.0,9559000.0,,9559000.0,5284000.0,,1524000.0,2080000.0,2207000.0,-127000.0,1680000.0,1723000.0,-43000.0,-22122000.0,0.0,11171000.0,-3409000.0,3430000.0,7587000.0,34603000.0,-30051000.0,-1036000.0,1065000.0,1065000.0,,1954000.0,235000.0,-35513000.0
2024-03-31,0.0,0.255029,-16719000.0,0.0,0.0,-15296000.0,2092000.0,106868000.0,-16719000.0,-18811000.0,-1720000.0,1720000.0,358000.0,-15296000.0,-15296000.0,133106000.0,0.0,11084058.0,11084058.0,-1.38,-1.38,-15296000.0,-15296000.0,0.0,-15296000.0,-15295000.0,-15295000.0,-5236000.0,-20531000.0,7679000.0,0.0,-485000.0,129000.0,-1720000.0,89000.0,1720000.0,358000.0,-26490000.0,26238000.0,12868000.0,2092000.0,2092000.0,3790000.0,1803000.0,1987000.0,0.0,-252000.0,106868000.0,106616000.0,106616000.0,11106000.0,11106000.0,,11291000.0,139709000.0,146899000.0,75857000.0,139709000.0,4101000.0,139709000.0,146646000.0,139709000.0,139709000.0,28646000.0,-14775000.0,43140000.0,111060000.0,111060000.0,64709000.0,10223000.0,-1000.0,187000.0,0.0,10037000.0,3100000.0,6937000.0,187000.0,54486000.0,667000.0,0.0,1254000.0,1001000.0,253000.0,330000.0,3598000.0,2645000.0,85000.0,11000.0,,2549000.0,204418000.0,74075000.0,-1000.0,2202000.0,64890000.0,335000.0,335000.0,6649000.0,-16070000.0,22719000.0,6237000.0,16482000.0,0.0,0.0,0.0,130343000.0,-1000.0,43492000.0,19159000.0,34604000.0,90000.0,34392000.0,122000.0,3742000.0,0.0,19434000.0,9913000.0,768000.0,9145000.0,9145000.0,-10750000.0,,566000.0,0.0,-572000.0,9145000.0,1000.0,17530000.0,-8385000.0,-3408000.0,-42000.0,-3132000.0,0.0,0.0,566000.0,566000.0,,566000.0,5201000.0,-1000.0,1663000.0,310000.0,48408000.0,-48098000.0,3228000.0,3800000.0,-572000.0,-10178000.0,0.0,7480000.0,42718000.0,-55695000.0,-20012000.0,-32117000.0,69282000.0,1476000.0,2092000.0,2092000.0,,-210000.0,-485000.0,-20531000.0
2023-03-31,-33134177.58661,0.267874,-60183000.0,-123693000.0,-123693000.0,-169020000.0,31831000.0,1525534000.0,-183876000.0,-215707000.0,-14745000.0,15155000.0,895000.0,-78461177.58661,-169020000.0,1565639000.0,1851000.0,11106000.0,11106000.0,-15.22,-15.22,-169020000.0,-169020000.0,0.0,-169020000.0,-169020000.0,-169020000.0,-61842000.0,-230862000.0,900000.0,-123693000.0,118891000.0,4802000.0,-14745000.0,485000.0,15155000.0,895000.0,-94164000.0,40105000.0,2181000.0,31831000.0,31831000.0,8500000.0,986000.0,7514000.0,1851000.0,-54059000.0,1525534000.0,1471475000.0,1471475000.0,11106000.0,11106000.0,7211000.0,15136000.0,154989000.0,165183000.0,94799000.0,154989000.0,4942000.0,154989000.0,164965000.0,154989000.0,154989000.0,43979000.0,513000.0,43140000.0,111060000.0,111060000.0,26782000.0,14228000.0,-1000.0,166000.0,0.0,14063000.0,4087000.0,9976000.0,,12554000.0,4060000.0,0.0,1073000.0,855000.0,218000.0,211000.0,225000.0,6985000.0,181000.0,11000.0,0.0,6793000.0,181771000.0,74418000.0,240000.0,2558000.0,59654000.0,483000.0,483000.0,11483000.0,-20849000.0,32332000.0,7312000.0,25020000.0,0.0,0.0,0.0,107353000.0,-2000.0,0.0,23296000.0,2486000.0,518000.0,1846000.0,122000.0,44000.0,378000.0,63621000.0,17530000.0,14547000.0,2983000.0,2983000.0,21455000.0,-126649000.0,,0.0,-7994000.0,17530000.0,4000.0,19928000.0,-2402000.0,-142385000.0,,-15305000.0,0.0,0.0,-126649000.0,-126649000.0,-126649000.0,,110534000.0,13000.0,816000.0,0.0,0.0,0.0,109718000.0,117712000.0,-7994000.0,29449000.0,-8015000.0,104462000.0,-10356000.0,31839000.0,28394000.0,80566000.0,-25230000.0,14756000.0,31831000.0,31831000.0,157000.0,,117281000.0,-230862000.0
2022-03-31,-95140.745827,0.075329,91053000.0,-1263000.0,-1263000.0,30970000.0,38553000.0,1894242000.0,89790000.0,51237000.0,-16605000.0,17744000.0,1478000.0,32137859.254173,30970000.0,1908669000.0,396000.0,11106000.0,11106000.0,2.79,2.79,30970000.0,30970000.0,0.0,30970000.0,30970000.0,30970000.0,2523000.0,33493000.0,2611000.0,-1796000.0,-195000.0,1991000.0,-16605000.0,339000.0,17744000.0,1478000.0,49160000.0,14427000.0,2149000.0,38553000.0,38553000.0,19055000.0,7704000.0,11351000.0,396000.0,63587000.0,1894242000.0,1957829000.0,1957829000.0,11106000.0,11106000.0,141244000.0,148269000.0,323893000.0,472162000.0,136575000.0,323893000.0,0.0,323893000.0,405063000.0,323893000.0,323893000.0,212832000.0,169533000.0,43140000.0,111060000.0,111060000.0,170857000.0,83717000.0,-1000.0,345000.0,2203000.0,81170000.0,0.0,81170000.0,345000.0,87140000.0,2292000.0,7959000.0,67099000.0,0.0,67099000.0,1247000.0,195000.0,8348000.0,790000.0,11000.0,7955000.0,7547000.0,494750000.0,271035000.0,217000.0,2669000.0,0.0,5892000.0,5892000.0,264926000.0,-137977000.0,402903000.0,23823000.0,206965000.0,143664000.0,28451000.0,0.0,223715000.0,302000.0,,39976000.0,83162000.0,6778000.0,75064000.0,1320000.0,12173000.0,381000.0,67793000.0,19928000.0,12903000.0,7025000.0,7025000.0,164708000.0,-144805000.0,,,-4674000.0,19928000.0,-1000.0,17049000.0,2879000.0,-162885000.0,,-18080000.0,,,-144805000.0,-144805000.0,-144805000.0,,-3618000.0,,731000.0,0.0,,,-4349000.0,325000.0,-4674000.0,169382000.0,-508000.0,80285000.0,-28850000.0,55348000.0,-70501000.0,51050000.0,74109000.0,17349000.0,38553000.0,38553000.0,405000.0,,-195000.0,33493000.0
2021-03-31,,,,,,,,,,,,,975000.0,,,,528000.0,,,,,,,,,,,,,,,,1816000.0,,3334000.0,,975000.0,,,,,,176618000.0,163180000.0,13438000.0,528000.0,,,,,,,316228000.0,,,,,,,,,,,,138563000.0,43140000.0,,,,,,798000.0,,,,,798000.0,,,815000.0,,,,1979000.0,,,2229000.0,8000.0,815000.0,,,,2890000.0,4382000.0,,,,,-99424000.0,,,205121000.0,141063000.0,28451000.0,0.0,,,,67569000.0,,6178000.0,91223000.0,36811000.0,,376000.0,,,12903000.0,,4146000.0,,-94042000.0,,,,,,,,,,,,,,,-94042000.0,,,,,,,,,,,,,,,,,,,,,,32000.0,,,
