,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Capital Expenditure Reported,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,-62784.949948,0.213554,225088000.0,-294000.0,-294000.0,102525000.0,25618000.0,2997844000.0,224794000.0,199176000.0,-72159000.0,68811000.0,4346000.0,102756215.050052,102525000.0,3087191000.0,97096000.0,99538835.0,99538835.0,1.03,1.03,102525000.0,102525000.0,0.0,102525000.0,102525000.0,0.0,102525000.0,27840000.0,130365000.0,2761000.0,-294000.0,294000.0,-72159000.0,7694000.0,68811000.0,4346000.0,200056000.0,89347000.0,5691000.0,59062000.0,675000.0,58387000.0,443000.0,289403000.0,2997844000.0,3287247000.0,3287247000.0,100000000.0,100000000.0,900069000.0,1055113000.0,2163925000.0,3245726000.0,2038390000.0,2163925000.0,2190613000.0,2228743000.0,2190613000.0,2190613000.0,1190613000.0,727210000.0,463403000.0,1000000000.0,1000000000.0,1258325000.0,61523000.0,,,38130000.0,38130000.0,23393000.0,1196802000.0,122000.0,1016983000.0,1016983000.0,49891000.0,129806000.0,66796000.0,6079000.0,56931000.0,3448938000.0,213746000.0,1000.0,20008000.0,10399000.0,52462000.0,52462000.0,,26688000.0,,26688000.0,98488000.0,-245380000.0,343868000.0,42525000.0,838000.0,266312000.0,28702000.0,,0.0,3235192000.0,,1744357000.0,,2652000.0,86059000.0,1247080000.0,155044000.0,155044000.0,43563000.0,111481000.0,-258789000.0,,,-46405000.0,155044000.0,,212468000.0,-57424000.0,173216000.0,149527000.0,23689000.0,,,23689000.0,,,-18256000.0,,4346000.0,-2484000.0,-2484000.0,-20118000.0,26287000.0,-46405000.0,,-212384000.0,-29479000.0,-333784000.0,6018000.0,-339802000.0,-5397000.0,25618000.0,25618000.0,294000.0,130365000.0
2024-03-31,2140648.918698,0.211068,206484000.0,10142000.0,10142000.0,80220000.0,31263000.0,3078805000.0,216626000.0,185363000.0,-89586000.0,83680000.0,5315000.0,72218648.918698,80220000.0,3170680000.0,86798000.0,95500000.0,95500000.0,0.84,0.84,80220000.0,80220000.0,0.0,80220000.0,80220000.0,0.0,80220000.0,21462000.0,101683000.0,655000.0,10142000.0,-10142000.0,-89586000.0,11221000.0,83680000.0,5315000.0,180472000.0,91875000.0,5513000.0,63840000.0,1347000.0,62493000.0,517000.0,272347000.0,3078805000.0,3351152000.0,3351152000.0,95374938.0,95374938.0,818957000.0,1031424000.0,1907587000.0,2971036000.0,1843584000.0,1907587000.0,1939612000.0,2041140000.0,1939612000.0,1939612000.0,1000.0,625735000.0,360846000.0,953030000.0,953030000.0,1228618000.0,124607000.0,,0.0,101528000.0,101528000.0,23079000.0,1104011000.0,61000.0,929896000.0,929896000.0,44055000.0,129999000.0,64317000.0,35445000.0,30237000.0,3168230000.0,220635000.0,91000.0,24662000.0,8760000.0,49978000.0,49978000.0,0.0,32025000.0,,32025000.0,98854000.0,-234331000.0,333185000.0,0.0,838000.0,300154000.0,28702000.0,3491000.0,0.0,2947595000.0,2000.0,1442370000.0,0.0,3443000.0,90419000.0,1198894000.0,212467000.0,212467000.0,97813000.0,114654000.0,-490681000.0,,,-28580000.0,212468000.0,-1000.0,81455000.0,131014000.0,653139000.0,811903000.0,-158764000.0,,,-158764000.0,,,-60024000.0,119147000.0,5314000.0,-49978000.0,-49978000.0,-15360000.0,13220000.0,-28580000.0,,-462101000.0,-26880000.0,-551591000.0,1947000.0,-553538000.0,-6433000.0,31263000.0,31263000.0,-10142000.0,101683000.0
2023-03-31,569395.978509,0.386031,194094000.0,1475000.0,1475000.0,57710000.0,28431000.0,2811801000.0,195569000.0,167138000.0,-80434000.0,73143000.0,2365000.0,56804395.978509,57710000.0,2887309000.0,85361000.0,50182609.0,50182609.0,1.15,1.15,57710000.0,57710000.0,0.0,57710000.0,57710000.0,0.0,57710000.0,36285000.0,93995000.0,342000.0,1475000.0,-1475000.0,-80434000.0,9656000.0,73143000.0,2365000.0,172613000.0,75508000.0,2203000.0,54155000.0,612000.0,53543000.0,558000.0,248121000.0,2811801000.0,3059922000.0,3059922000.0,54183949.0,54183949.0,1108733000.0,1190188000.0,1011245000.0,2238795000.0,1078604000.0,1011245000.0,1048607000.0,1224833000.0,1048607000.0,1048607000.0,102000.0,546532000.0,0.0,501973000.0,501973000.0,1385436000.0,199450000.0,1000.0,,176226000.0,176226000.0,23223000.0,1185986000.0,143000.0,1013962000.0,1013962000.0,59201000.0,112680000.0,58433000.0,24993000.0,29254000.0,2434043000.0,169453000.0,-1000.0,21117000.0,3342000.0,0.0,,,37362000.0,37362000.0,37362000.0,99367000.0,-213976000.0,313343000.0,,838000.0,282398000.0,26786000.0,3321000.0,0.0,2264590000.0,1000.0,973681000.0,,2891000.0,53042000.0,1153520000.0,81455000.0,81455000.0,1664000.0,79791000.0,-180129000.0,,180816000.0,-36019000.0,81455000.0,-8000.0,76648000.0,4807000.0,180816000.0,,180816000.0,,,180816000.0,,180816000.0,-31899000.0,,2365000.0,0.0,0.0,-34264000.0,1755000.0,-36019000.0,,-144110000.0,-28637000.0,-235593000.0,15290000.0,-250883000.0,-2365000.0,28431000.0,28431000.0,-1475000.0,93995000.0
2022-03-31,919511.641812,0.251301,147768000.0,3659000.0,3659000.0,42575000.0,37274000.0,2315881000.0,151427000.0,114153000.0,-62429000.0,57289000.0,506000.0,39835511.641812,42575000.0,2388641000.0,83478000.0,54066184.0,54066184.0,0.787461,0.787461,42575000.0,42575000.0,0.0,42575000.0,42575000.0,0.0,42575000.0,14290000.0,56864000.0,4275000.0,3659000.0,-3659000.0,-62429000.0,5646000.0,57289000.0,506000.0,115636000.0,72760000.0,5542000.0,48783000.0,455000.0,48328000.0,1052000.0,188396000.0,2315881000.0,2504277000.0,2504277000.0,54183949.0,54183949.0,932724000.0,1009372000.0,946662000.0,1998733000.0,874805000.0,946662000.0,989361000.0,1017674000.0,989361000.0,989361000.0,1000.0,487387000.0,,501973000.0,501973000.0,1189330000.0,53962000.0,,,28313000.0,28313000.0,25649000.0,1135368000.0,65000.0,981059000.0,981059000.0,37155000.0,117089000.0,63921000.0,17912000.0,35256000.0,2178691000.0,168518000.0,-1000.0,20121000.0,10990000.0,,,,42699000.0,42699000.0,42699000.0,86722000.0,-195560000.0,282282000.0,,838000.0,251337000.0,26786000.0,3321000.0,0.0,2010173000.0,1000.0,816288000.0,,3094000.0,55544000.0,1058598000.0,76648000.0,76648000.0,1494000.0,75153000.0,-133330000.0,,147691000.0,-31239000.0,76648000.0,-4.0,55304000.0,21344000.0,147691000.0,,147691000.0,,,147691000.0,,147691000.0,-24256000.0,,506000.0,,,-24762000.0,6477000.0,-31239000.0,,-102091000.0,-17545000.0,-174102000.0,24926000.0,-199028000.0,-924000.0,37274000.0,37274000.0,-3659000.0,56864000.0
