,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investmentsin Associatesat Cost,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,5318235.356965,0.26006,4253780000.0,20450000.0,20450000.0,2562360000.0,633880000.0,14245080000.0,4274230000.0,3640350000.0,345450000.0,177270000.0,531110000.0,2547228235.356965,2562360000.0,16470320000.0,1140000.0,43653060.0,43653060.0,58.7,58.7,2562360000.0,2562360000.0,0.0,2562360000.0,110000.0,2562470000.0,2562470000.0,900610000.0,3463080000.0,1170000.0,0.0,,,345450000.0,8390000.0,177270000.0,531110000.0,3101010000.0,2225240000.0,347390000.0,633880000.0,1010000.0,632870000.0,611920000.0,538750000.0,73170000.0,1140000.0,5326250000.0,14245080000.0,19571330000.0,19571330000.0,43653060.0,43653060.0,4232910000.0,4375970000.0,18910430000.0,23290580000.0,7520200000.0,18910430000.0,18914610000.0,18914610000.0,18915670000.0,1060000.0,18914610000.0,,18318060000.0,218640000.0,218640000.0,8405680000.0,514510000.0,,61080000.0,212680000.0,240750000.0,0.0,0.0,61080000.0,7891170000.0,116790000.0,75930000.0,4375970000.0,4375970000.0,45360000.0,,3383140000.0,325600000.0,12650000.0,75930000.0,3044890000.0,27321350000.0,11909980000.0,619370000.0,705150000.0,72520000.0,46320000.0,26200000.0,0.0,,4180000.0,4180000.0,11128130000.0,-7111630000.0,18239760000.0,4353840000.0,6774290000.0,10517710000.0,1502950000.0,1865260000.0,0.0,15411370000.0,303570000.0,12650000.0,303570000.0,2991800000.0,1000000.0,1417340000.0,137390000.0,1436070000.0,321160000.0,4313450000.0,-26730000.0,4340180000.0,7468740000.0,7325680000.0,143060000.0,,143060000.0,3567240000.0,-36835390000.0,35249000000.0,-251090000.0,143060000.0,11000.0,193680000.0,-50620000.0,-2519450000.0,-496530000.0,-436530000.0,-1586390000.0,81090000.0,-35167910000.0,35249000000.0,-1667480000.0,-1667480000.0,,-1349500000.0,-11000.0,437410000.0,,-1537320000.0,3476950000.0,-5014270000.0,-249590000.0,1500000.0,-251090000.0,3818330000.0,-845060000.0,930690000.0,-53530000.0,219180000.0,978860000.0,-122170000.0,-105220000.0,-345450000.0,-7470000.0,633880000.0,1010000.0,632870000.0,-20450000.0,9110000.0,,3463080000.0
2024-03-31,5880184.627578,0.253129,4168910000.0,23230000.0,23230000.0,2487840000.0,607510000.0,14248980000.0,4192140000.0,3584630000.0,191090000.0,253600000.0,449220000.0,2470490184.627578,2487840000.0,16194120000.0,2050000.0,43653060.0,43653060.0,56.99,56.99,2487840000.0,2487840000.0,0.0,2487840000.0,10000.0,2487850000.0,2487850000.0,843180000.0,3331030000.0,5790000.0,18310000.0,-18310000.0,,191090000.0,4530000.0,253600000.0,449220000.0,3102540000.0,1945140000.0,151390000.0,607510000.0,930000.0,606580000.0,625630000.0,561710000.0,63920000.0,2050000.0,5047680000.0,14248980000.0,19296660000.0,19296660000.0,43653060.0,43653060.0,5768680000.0,5962360000.0,16795760000.0,22760750000.0,6071840000.0,16795760000.0,16798390000.0,17632130000.0,16799450000.0,1060000.0,16798390000.0,-10000.0,16201850000.0,218640000.0,218640000.0,8933720000.0,1278770000.0,25470000.0,52210000.0,184590000.0,208230000.0,833740000.0,833740000.0,52210000.0,7654950000.0,12950000.0,57720000.0,5128620000.0,5128620000.0,27670000.0,27670000.0,2409620000.0,332950000.0,12070000.0,57720000.0,2064600000.0,25733170000.0,12006380000.0,557150000.0,691010000.0,163920000.0,140090000.0,23830000.0,0.0,,2630000.0,2630000.0,11148820000.0,-7015620000.0,18164440000.0,3813100000.0,7335720000.0,10983130000.0,1502950000.0,1865260000.0,0.0,13726790000.0,495750000.0,12070000.0,495750000.0,2869630000.0,5010000.0,1393590000.0,245920000.0,1225110000.0,270690000.0,4208420000.0,-26730000.0,4235150000.0,5870230000.0,5676550000.0,193680000.0,,193680000.0,-2532980000.0,-9245440000.0,9920610000.0,-5758360000.0,193680000.0,,105280000.0,88400000.0,-96750000.0,-335390000.0,-436530000.0,675170000.0,1286860000.0,-8633750000.0,9920610000.0,-611690000.0,-611690000.0,,-3040230000.0,,448890000.0,,1893020000.0,14447410000.0,-12554390000.0,-5758360000.0,0.0,-5758360000.0,3225380000.0,-778100000.0,294350000.0,151660000.0,-413790000.0,-494640000.0,1214710000.0,-162610000.0,-191090000.0,-35300000.0,607510000.0,930000.0,606580000.0,-23230000.0,20210000.0,0.0,3331030000.0
2023-03-31,1634805.02977,0.257856,3005970000.0,6340000.0,6340000.0,1670270000.0,489020000.0,14713640000.0,3012310000.0,2523290000.0,270410000.0,272690000.0,551370000.0,1665564805.02977,1670270000.0,16434230000.0,880000.0,43653060.0,43653060.0,38.26,38.26,1670270000.0,1670270000.0,0.0,1670270000.0,,1670270000.0,1670270000.0,580330000.0,2250600000.0,6330000.0,330000.0,-330000.0,,270410000.0,8270000.0,272690000.0,551370000.0,2307440000.0,1720590000.0,152970000.0,489020000.0,1040000.0,487980000.0,642120000.0,583550000.0,58570000.0,880000.0,4028030000.0,14713640000.0,18741670000.0,18741670000.0,43653060.0,43653060.0,4958370000.0,5063440000.0,14891600000.0,19958220000.0,9193430000.0,14891600000.0,14894780000.0,16744660000.0,14894780000.0,,14894780000.0,,14177260000.0,218640000.0,218640000.0,8610620000.0,2101480000.0,38410000.0,50590000.0,,162600000.0,1849880000.0,1849880000.0,50590000.0,6509140000.0,25020000.0,35300000.0,3213560000.0,3213560000.0,18600000.0,18600000.0,3201070000.0,573170000.0,10220000.0,35300000.0,2617680000.0,23505400000.0,7802830000.0,16420000.0,147270000.0,1461260000.0,1439610000.0,21650000.0,0.0,,3180000.0,3180000.0,6173290000.0,-6409040000.0,12582330000.0,182050000.0,5991240000.0,9939500000.0,1425120000.0,1035660000.0,0.0,15702570000.0,628930000.0,10220000.0,628930000.0,3239010000.0,5490000.0,599930000.0,217410000.0,2416180000.0,292780000.0,4047040000.0,-25490000.0,4072530000.0,7484590000.0,7379520000.0,105070000.0,,105070000.0,-2371540000.0,-10913790000.0,11434630000.0,-1114230000.0,105070000.0,,221480000.0,-116410000.0,-390480000.0,-474790000.0,-436530000.0,520840000.0,,,,520840000.0,-10913790000.0,11434630000.0,1531380000.0,2131470000.0,509770000.0,,4040000.0,8266210000.0,-8262170000.0,-1113900000.0,330000.0,-1114230000.0,-1257310000.0,-635630000.0,-3252100000.0,37180000.0,-400740000.0,-1944840000.0,-1062900000.0,117390000.0,-270410000.0,-11590000.0,489020000.0,1040000.0,487980000.0,-6010000.0,179140000.0,-330000.0,2250600000.0
2022-03-31,804178.666568,0.254487,3823830000.0,3160000.0,3160000.0,2429150000.0,458760000.0,12345330000.0,3826990000.0,3368230000.0,326460000.0,109870000.0,458550000.0,2426794178.666568,2429150000.0,13830420000.0,2570000.0,43653060.0,43653060.0,55.65,55.65,2429150000.0,2429150000.0,0.0,2429150000.0,-35720000.0,2429150000.0,2429150000.0,829210000.0,3258360000.0,1850000.0,0.0,,0.0,326460000.0,22220000.0,109870000.0,458550000.0,2927170000.0,1485090000.0,63990000.0,458760000.0,3840000.0,454920000.0,540160000.0,489090000.0,51070000.0,2570000.0,4412260000.0,12345330000.0,16757590000.0,16757590000.0,43653060.0,43653060.0,4160850000.0,4382330000.0,13670400000.0,18056950000.0,8896750000.0,13670400000.0,13674620000.0,15569800000.0,13674620000.0,0.0,13674620000.0,,12941800000.0,218640000.0,218640000.0,9887700000.0,2221870000.0,63430000.0,48820000.0,,214440000.0,1895180000.0,1895180000.0,48820000.0,7665830000.0,59610000.0,34330000.0,2487150000.0,2487150000.0,20860000.0,20860000.0,5051690000.0,487700000.0,8780000.0,34330000.0,4555210000.0,23562320000.0,6999740000.0,250510000.0,144370000.0,1474600000.0,1454910000.0,19690000.0,0.0,,4220000.0,4220000.0,5359690000.0,-5923810000.0,11283500000.0,1779660000.0,3580030000.0,7417650000.0,1050530000.0,1035660000.0,0.0,16562580000.0,2620000.0,8780000.0,248340000.0,2176110000.0,3180000.0,644180000.0,150300000.0,1378450000.0,231490000.0,4164430000.0,-25490000.0,4189920000.0,9733430000.0,9511950000.0,221480000.0,9511950000.0,221480000.0,922800000.0,-7472540000.0,10149610000.0,-1707010000.0,221480000.0,,113350000.0,108130000.0,2177610000.0,-172050000.0,-327410000.0,2677070000.0,,,,2677070000.0,-7472540000.0,10149610000.0,-4699290000.0,-3374920000.0,381270000.0,0.0,1370000.0,4916120000.0,-4914750000.0,-1707010000.0,0.0,-1707010000.0,2629810000.0,-883280000.0,206820000.0,-46020000.0,-102250000.0,2303020000.0,-986660000.0,-973470000.0,-326460000.0,-92500000.0,458760000.0,3840000.0,454920000.0,-3160000.0,11270000.0,0.0,3258360000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,2980000.0,,,,,,,-110000.0,3000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-39100000.0,,,,,,,,73940000.0,,,,,,,,,,,,,16310000.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,6138790000.0,,,,,,,,,,,,,,,,,,,1685870000.0,,,,130000.0,,,,,,,,,,,,,,,,,,,,,,-110000.0,
