,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Extraordinary,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Preferred Shares Number,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Preferred Securities Outside Stock Equity,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Held To Maturity Securities,Balance_Available For Sale Securities,Balance_Long Term Equity Investment,Balance_Investmentsin Associatesat Cost,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Assets Held For Sale Current,Balance_Prepaid Assets,Balance_Inventory,Balance_Inventories Adjustments Allowances,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repurchase Of Capital Stock,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Net Preferred Stock Issuance,CashFlow_Preferred Stock Payments,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,221045700.0,0.3,-48241000.0,736819000.0,736819000.0,692687000.0,4158000.0,93610000.0,688578000.0,684420000.0,6107000.0,1603000.0,7773000.0,176913700.0,692687000.0,156937000.0,290000.0,33033000.0,33033000.0,20.98,20.98,692687000.0,692687000.0,0.0,692687000.0,692687000.0,,692687000.0,-9870000.0,682817000.0,1951000.0,695983000.0,-695983000.0,0.0,6107000.0,63000.0,1603000.0,7773000.0,-62062000.0,63327000.0,43270000.0,4158000.0,4158000.0,660000.0,660000.0,290000.0,1265000.0,93610000.0,94875000.0,94875000.0,,33033000.0,33033000.0,10445000.0,29091000.0,1577638000.0,1607012000.0,989227000.0,1577638000.0,445000.0,1578366000.0,1600720000.0,1578366000.0,1578366000.0,1246100000.0,365111000.0,871365000.0,332275000.0,332275000.0,38858000.0,24845000.0,-1000.0,,2047000.0,22799000.0,445000.0,22354000.0,2000000.0,14013000.0,454000.0,6292000.0,6292000.0,2549000.0,2600000.0,3327000.0,2395000.0,932000.0,1617224000.0,613984000.0,,6782000.0,103024000.0,25992000.0,20000000.0,5992000.0,,,728000.0,728000.0,50364000.0,-5457000.0,55821000.0,,45892000.0,7889000.0,2040000.0,0.0,1003240000.0,1000.0,10391000.0,0.0,0.0,,,,,,221000.0,11207000.0,30236000.0,-2592000.0,32828000.0,951184000.0,932983000.0,18201000.0,12500000.0,5701000.0,-87161000.0,0.0,,,-27515000.0,18201000.0,,119734000.0,-101533000.0,-36504000.0,-1520000.0,0.0,0.0,,,-34984000.0,-34984000.0,,-5383000.0,1000.0,7788000.0,-674001000.0,660829000.0,688344000.0,-27515000.0,-59646000.0,0.0,-46193000.0,-202977000.0,-892000.0,,157676000.0,-5701000.0,4158000.0,,4158000.0,-10348000.0,-684379000.0,-13166000.0
2024-03-31,28380575.585663,0.125302,22888000.0,226497000.0,226497000.0,210923000.0,3216000.0,57651000.0,249385000.0,246169000.0,49212000.0,5032000.0,54278000.0,12806575.585663,210923000.0,94150000.0,364000.0,33033000.0,33033000.0,6.4,6.4,210923000.0,210923000.0,0.0,210923000.0,210922000.0,,210922000.0,30215000.0,241137000.0,2309000.0,223833000.0,-223833000.0,0.0,49212000.0,34000.0,5032000.0,54278000.0,-36882000.0,36499000.0,16938000.0,3216000.0,3216000.0,1607000.0,1607000.0,364000.0,-383000.0,57651000.0,57268000.0,57268000.0,,33033000.0,33033000.0,,16240000.0,884529000.0,901072000.0,178100000.0,884529000.0,440000.0,885272000.0,898443000.0,885272000.0,885272000.0,553000000.0,-327983000.0,871365000.0,332275000.0,332275000.0,229732000.0,15545000.0,1000.0,0.0,1933000.0,13611000.0,440000.0,13171000.0,1900000.0,214187000.0,200781000.0,2629000.0,2629000.0,2584000.0,2600000.0,4105000.0,2346000.0,1759000.0,1115004000.0,722717000.0,5000000.0,11781000.0,93153000.0,17409000.0,17368000.0,41000.0,,,743000.0,743000.0,30959000.0,-17642000.0,48601000.0,,42731000.0,3830000.0,2040000.0,0.0,392287000.0,11600000.0,12896000.0,221000.0,0.0,,,,,,268000.0,11371000.0,17180000.0,-1846000.0,19026000.0,350351000.0,230617000.0,119734000.0,78000000.0,41734000.0,235827000.0,-97500000.0,,0.0,-23467000.0,119734000.0,,6739000.0,112995000.0,-181668000.0,-5066000.0,-97500000.0,-97500000.0,0.0,0.0,-79102000.0,-79102000.0,,35369000.0,,54157000.0,-227482000.0,208694000.0,232161000.0,-23467000.0,259294000.0,0.0,307009000.0,191734000.0,47180000.0,0.0,68095000.0,-76635000.0,3216000.0,,3216000.0,-603000.0,-214830000.0,17305000.0
2023-03-31,18193288.678599,0.01078,70873000.0,1687759000.0,1687759000.0,1654582000.0,5230000.0,49236000.0,1758632000.0,1753402000.0,29409000.0,80791000.0,110238000.0,-14983711.321401,1654582000.0,94958000.0,373000.0,33033000.0,33033000.0,50.09,50.09,1654582000.0,1654582000.0,0.0,1654582000.0,1654581000.0,0.0,1654581000.0,18030000.0,1672611000.0,2487000.0,1686268000.0,-322736000.0,-1363532000.0,29409000.0,38000.0,80791000.0,110238000.0,-47046000.0,45722000.0,25064000.0,5230000.0,5230000.0,1309000.0,1309000.0,373000.0,-1324000.0,49236000.0,47912000.0,47912000.0,,33033000.0,33033000.0,40333000.0,47508000.0,750687000.0,798516000.0,23089000.0,750687000.0,436000.0,751444000.0,798516000.0,751444000.0,751444000.0,77433000.0,-539244000.0,871365000.0,332275000.0,332275000.0,117745000.0,97137000.0,2600000.0,47830000.0,1799000.0,47508000.0,436000.0,47072000.0,1800000.0,20608000.0,2153000.0,0.0,0.0,2581000.0,2600000.0,10183000.0,7638000.0,2545000.0,869189000.0,828092000.0,-1000.0,12988000.0,123368000.0,15965000.0,15924000.0,41000.0,0.0,,757000.0,757000.0,28027000.0,-42702000.0,70729000.0,,50085000.0,4077000.0,16567000.0,0.0,43697000.0,17200000.0,0.0,169000.0,2600000.0,0.0,,,,0.0,517000.0,10851000.0,18845000.0,-1846000.0,20691000.0,10715000.0,3976000.0,6739000.0,0.0,6739000.0,1702186000.0,0.0,,0.0,-162000.0,6739000.0,,427676000.0,-420937000.0,-2325858000.0,-1342290000.0,0.0,0.0,0.0,0.0,-983568000.0,-983568000.0,,202573000.0,,123193000.0,-1491000.0,80871000.0,81033000.0,-162000.0,1702348000.0,-1800000.0,59422000.0,,-9629000.0,2600000.0,66451000.0,-29248000.0,5230000.0,12000.0,5230000.0,,-3856000.0,-21573000.0
2022-03-31,11854500.0,0.3,3278000.0,39515000.0,39515000.0,-164174000.0,8780000.0,133565000.0,42793000.0,34012000.0,-144002000.0,187500000.0,43541000.0,-191834500.0,-164174000.0,198517000.0,365000.0,33033000.0,33033000.0,-4.96,-4.96,-164174000.0,-164174000.0,0.0,-164174000.0,-164174000.0,-500000.0,-164174000.0,10157000.0,-153488000.0,8777000.0,37033000.0,-40454000.0,3421000.0,-144002000.0,43000.0,187500000.0,43541000.0,-58891000.0,64952000.0,23580000.0,8781000.0,8781000.0,2373000.0,2373000.0,365000.0,6061000.0,133565000.0,139626000.0,139626000.0,975000.0,33033000.0,33033000.0,610236000.0,1038346000.0,-857943000.0,180738000.0,-903187000.0,-857943000.0,433000.0,-857175000.0,64448000.0,-857175000.0,-857175000.0,77433000.0,-2147863000.0,871365000.0,332275000.0,332275000.0,2372400000.0,968230000.0,,44194000.0,1980000.0,922056000.0,433000.0,921623000.0,2000000.0,1404170000.0,2123000.0,116290000.0,116290000.0,2358000.0,2400000.0,1277708000.0,1273338000.0,4370000.0,1515225000.0,1014242000.0,-1000.0,9247000.0,141398000.0,14503000.0,14462000.0,41000.0,0.0,0.0,768000.0,768000.0,110279000.0,-251029000.0,361308000.0,110300000.0,217493000.0,127328000.0,16487000.0,0.0,500983000.0,47500000.0,4284000.0,6208000.0,2600000.0,-7916000.0,,0.0,0.0,10516000.0,728000.0,41269000.0,771000.0,-1846000.0,2617000.0,445123000.0,17446000.0,427677000.0,418525000.0,9152000.0,329000000.0,,,,-1960000.0,427676000.0,-1000.0,29699000.0,397978000.0,-29162000.0,-10288000.0,,,,,-18874000.0,-18874000.0,,96180000.0,,32809000.0,939000.0,62432000.0,64392000.0,-1960000.0,330960000.0,-4100000.0,350422000.0,,-15143000.0,26013000.0,339552000.0,144436000.0,8780000.0,11000.0,8769000.0,,-13934000.0,-174934000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,-479000.0,,,,,,,,,,,,,,,,,,,,,,,,975000.0,,,1033806000.0,,,,,,,,,,,,,,,,,,,40835000.0,,,,,,,,,,,,,,,,,-1000.0,,,,,,3421000.0,3421000.0,,,,,,,,,,,,,,,,0.0,1000.0,6405000.0,9106000.0,13101000.0,,,,,,,,,,,,,-15466000.0,,,,,,,,,,,,,,,-15466000.0,,,,,,,,,,,,,1058000.0,,,,,,-3874000.0,,
