,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Impairment Of Capital Assets,Income_Restructuring And Mergern Acquisition,Income_Net Non Operating Interest Income Expense,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Sale Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,82765055.131467,0.19706,7673000000.0,420000000.0,420000000.0,5680000000.0,849000000.0,34290000000.0,8093000000.0,7244000000.0,396000000.0,170000000.0,566000000.0,5342765055.131467,5680000000.0,47047000000.0,102000000.0,44942092.0,44942092.0,126.38,126.38,5680000000.0,5680000000.0,0.0,5680000000.0,5680000000.0,5680000000.0,1394000000.0,7074000000.0,166000000.0,229000000.0,-256000000.0,27000000.0,0.0,,396000000.0,170000000.0,566000000.0,6094000000.0,12757000000.0,3465000000.0,849000000.0,29000000.0,820000000.0,5204000000.0,3849000000.0,1355000000.0,102000000.0,18851000000.0,34290000000.0,53141000000.0,53141000000.0,44942092.0,44942092.0,1051000000.0,27140000000.0,28504000000.0,22479000000.0,27140000000.0,1051000000.0,28504000000.0,28504000000.0,28504000000.0,28504000000.0,28055000000.0,23081000000.0,1446000000.0,449000000.0,449000000.0,23955000000.0,1718000000.0,,0.0,616000000.0,616000000.0,1102000000.0,22237000000.0,817000000.0,17000000.0,435000000.0,435000000.0,,,871000000.0,16307000000.0,5248000000.0,75000000.0,17000000.0,10984000000.0,52459000000.0,7743000000.0,421000000.0,448000000.0,97000000.0,48000000.0,48000000.0,246000000.0,1364000000.0,1364000000.0,4294000000.0,-3842000000.0,8136000000.0,25000000.0,902000000.0,3763000000.0,3085000000.0,361000000.0,0.0,44716000000.0,434000000.0,82000000.0,1800000000.0,23618000000.0,649000000.0,7013000000.0,3913000000.0,12043000000.0,52000000.0,9521000000.0,-90000000.0,9611000000.0,9209000000.0,354000000.0,8855000000.0,8787000000.0,68000000.0,2211000000.0,,,-409000000.0,8850000000.0,11568000000.0,-2718000000.0,-6194000000.0,-10000000.0,-85000000.0,-5608000000.0,,,,,,856000000.0,125000000.0,467000000.0,,664000000.0,664000000.0,,,-400000000.0,9000000.0,-409000000.0,2620000000.0,-1618000000.0,-3553000000.0,819000000.0,-549000000.0,4933000000.0,-8208000000.0,-619000000.0,-794000000.0,768000000.0,849000000.0,29000000.0,820000000.0,-191000000.0,4000000.0,12000000.0,7074000000.0
2024-03-31,-22407584.448693,0.213406,10455000000.0,-105000000.0,-105000000.0,7405000000.0,740000000.0,29431000000.0,10350000000.0,9610000000.0,288000000.0,196000000.0,484000000.0,7487592415.551307,7405000000.0,39836000000.0,136000000.0,44942092.0,44942092.0,164.77,164.77,7405000000.0,7405000000.0,0.0,7405000000.0,7405000000.0,7405000000.0,2009000000.0,9414000000.0,148000000.0,-253000000.0,24000000.0,38000000.0,191000000.0,,288000000.0,196000000.0,484000000.0,9085000000.0,10405000000.0,2380000000.0,740000000.0,19000000.0,721000000.0,4755000000.0,3287000000.0,1468000000.0,136000000.0,19490000000.0,29431000000.0,48921000000.0,48921000000.0,44942092.0,44942092.0,471000000.0,27240000000.0,28494000000.0,23081000000.0,27240000000.0,471000000.0,28494000000.0,28494000000.0,28494000000.0,28494000000.0,28045000000.0,23071000000.0,1446000000.0,449000000.0,449000000.0,17477000000.0,1503000000.0,776000000.0,40000000.0,210000000.0,210000000.0,1253000000.0,15974000000.0,866000000.0,19000000.0,261000000.0,261000000.0,,518000000.0,518000000.0,11085000000.0,4969000000.0,65000000.0,19000000.0,6051000000.0,45971000000.0,6916000000.0,313000000.0,363000000.0,0.0,72000000.0,72000000.0,251000000.0,1254000000.0,1254000000.0,3848000000.0,-3579000000.0,7427000000.0,86000000.0,470000000.0,3554000000.0,3003000000.0,314000000.0,0.0,39055000000.0,372000000.0,72000000.0,1391000000.0,15452000000.0,655000000.0,5427000000.0,2093000000.0,7277000000.0,60000000.0,9601000000.0,-62000000.0,9663000000.0,12107000000.0,539000000.0,11568000000.0,10228000000.0,1340000000.0,9059000000.0,,,-457000000.0,11565000000.0,8608000000.0,2957000000.0,-6563000000.0,,-112000000.0,-6067000000.0,-6067000000.0,,,,,4000000.0,77000000.0,304000000.0,,17000000.0,17000000.0,0.0,0.0,-394000000.0,63000000.0,-457000000.0,9516000000.0,-1321000000.0,339000000.0,1577000000.0,170000000.0,-2681000000.0,2072000000.0,129000000.0,-376000000.0,70000000.0,740000000.0,19000000.0,721000000.0,-148000000.0,-3000000.0,60000000.0,9414000000.0
2023-03-31,254595798.404202,0.234219,9832000000.0,1087000000.0,1087000000.0,7582000000.0,795000000.0,28517000000.0,10919000000.0,10124000000.0,117000000.0,223000000.0,340000000.0,6749595798.404202,7582000000.0,40851000000.0,120000000.0,44942092.0,44942092.0,168.71,168.71,7582000000.0,7582000000.0,0.0,7582000000.0,7582000000.0,7582000000.0,2319000000.0,9901000000.0,121000000.0,952000000.0,-1043000000.0,90000000.0,1000000.0,,117000000.0,223000000.0,340000000.0,8598000000.0,12334000000.0,2403000000.0,795000000.0,15000000.0,780000000.0,5505000000.0,4215000000.0,1290000000.0,120000000.0,20932000000.0,28517000000.0,49449000000.0,49449000000.0,44942092.0,44942092.0,735000000.0,25974000000.0,27121000000.0,21189000000.0,25974000000.0,735000000.0,27121000000.0,27121000000.0,27121000000.0,27121000000.0,26672000000.0,21698000000.0,1446000000.0,449000000.0,449000000.0,19665000000.0,1890000000.0,1081000000.0,3000000.0,364000000.0,364000000.0,442000000.0,17775000000.0,1191000000.0,29000000.0,371000000.0,371000000.0,,1130000000.0,1130000000.0,11821000000.0,3024000000.0,65000000.0,29000000.0,8732000000.0,46786000000.0,7822000000.0,284000000.0,291000000.0,0.0,54000000.0,54000000.0,256000000.0,1147000000.0,1147000000.0,4360000000.0,-3160000000.0,7520000000.0,76000000.0,675000000.0,3479000000.0,2976000000.0,314000000.0,0.0,38964000000.0,578000000.0,72000000.0,1428000000.0,18072000000.0,797000000.0,5860000000.0,2199000000.0,9216000000.0,39000000.0,9756000000.0,-34000000.0,9790000000.0,9019000000.0,411000000.0,8608000000.0,7906000000.0,702000000.0,5320000000.0,,,-773000000.0,8603000000.0,7809000000.0,794000000.0,-6132000000.0,,-112000000.0,-5611000000.0,-5611000000.0,,,,,833000000.0,92000000.0,252000000.0,,104000000.0,104000000.0,1111000000.0,1111000000.0,-726000000.0,47000000.0,-773000000.0,6093000000.0,-2395000000.0,-1409000000.0,807000000.0,298000000.0,533000000.0,-3579000000.0,313000000.0,-1232000000.0,-40000000.0,795000000.0,15000000.0,780000000.0,-135000000.0,8000000.0,-4000000.0,9901000000.0
2022-03-31,143486655.64478,0.237955,8639000000.0,603000000.0,603000000.0,6453000000.0,645000000.0,26844000000.0,9242000000.0,8597000000.0,116000000.0,129000000.0,245000000.0,5993486655.64478,6453000000.0,38164000000.0,114000000.0,44942092.0,44942092.0,143.58,143.58,6453000000.0,6453000000.0,0.0,6453000000.0,6453000000.0,6453000000.0,2015000000.0,8468000000.0,148000000.0,509000000.0,-579000000.0,53000000.0,17000000.0,0.0,116000000.0,129000000.0,245000000.0,7603000000.0,11320000000.0,2074000000.0,645000000.0,7000000.0,638000000.0,5325000000.0,4295000000.0,1030000000.0,114000000.0,18923000000.0,26844000000.0,45767000000.0,45767000000.0,44942092.0,44942092.0,864000000.0,24350000000.0,25243000000.0,19162000000.0,24350000000.0,864000000.0,25243000000.0,25243000000.0,25243000000.0,25243000000.0,24794000000.0,20465000000.0,1446000000.0,449000000.0,449000000.0,18286000000.0,1693000000.0,752000000.0,0.0,518000000.0,518000000.0,423000000.0,16593000000.0,1171000000.0,159000000.0,346000000.0,346000000.0,,1098000000.0,1098000000.0,11041000000.0,2785000000.0,58000000.0,159000000.0,8198000000.0,43529000000.0,7774000000.0,259000000.0,322000000.0,73000000.0,68000000.0,68000000.0,261000000.0,893000000.0,893000000.0,4509000000.0,-2619000000.0,7128000000.0,138000000.0,637000000.0,3196000000.0,2829000000.0,328000000.0,0.0,35755000000.0,618000000.0,65000000.0,1613000000.0,15120000000.0,722000000.0,5873000000.0,2172000000.0,6353000000.0,98000000.0,10047000000.0,-46000000.0,10093000000.0,8194000000.0,385000000.0,7809000000.0,7274000000.0,535000000.0,1601000000.0,0.0,0.0,-554000000.0,7809000000.0,12045000000.0,-4236000000.0,-7033000000.0,,-42000000.0,-6728000000.0,-6728000000.0,0.0,0.0,0.0,0.0,642000000.0,70000000.0,200000000.0,0.0,231000000.0,,614000000.0,614000000.0,-473000000.0,81000000.0,-554000000.0,2155000000.0,-2642000000.0,-4062000000.0,-209000000.0,-240000000.0,-97000000.0,-2364000000.0,-2563000000.0,-782000000.0,56000000.0,645000000.0,7000000.0,638000000.0,-94000000.0,-5000000.0,23000000.0,8468000000.0
2021-03-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-51000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-140000000.0,125000000.0,,,,,,,,,,-15000000.0,-15000000.0,-140000000.0,125000000.0,,,,1000000.0,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,
