,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Other Inventories,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Net Other Financing Charges,CashFlow_Interest Paid Cff,CashFlow_Net Preferred Stock Issuance,CashFlow_Preferred Stock Issuance,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Stock Based Compensation,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Amortization Cash Flow,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,5190000.0,0.3,358400000.0,17300000.0,17300000.0,-20600000.0,313300000.0,2646400000.0,375700000.0,62400000.0,-81800000.0,77600000.0,2800000.0,-32710000.0,-20600000.0,4489500000.0,10300000.0,14323488.0,14323488.0,-1.438197,-1.438197,-20600000.0,-20600000.0,0.0,-20600000.0,0.0,-20600000.0,-20600000.0,5400000.0,-15200000.0,900000.0,17300000.0,-17300000.0,,-81800000.0,7000000.0,77600000.0,2800000.0,36400000.0,1843100000.0,1059000000.0,313300000.0,36100000.0,277200000.0,146500000.0,108800000.0,37700000.0,10300000.0,2050700000.0,2646400000.0,4525900000.0,4525900000.0,14323488.0,14323488.0,657000000.0,988700000.0,2992200000.0,4536500000.0,484300000.0,2992200000.0,274200000.0,3822000000.0,4031300000.0,3822000000.0,3822000000.0,2800000.0,852800000.0,2501000000.0,143200000.0,143200000.0,1647700000.0,456100000.0,,56900000.0,399200000.0,189900000.0,209300000.0,56900000.0,1191600000.0,18600000.0,589500000.0,84300000.0,505200000.0,15100000.0,15100000.0,586500000.0,78700000.0,,5000000.0,502800000.0,5469700000.0,3793800000.0,-200000.0,68600000.0,371800000.0,35300000.0,35300000.0,829800000.0,818800000.0,11000000.0,2489300000.0,-1749900000.0,4239200000.0,124900000.0,802000000.0,1532000000.0,774600000.0,1005700000.0,0.0,1675900000.0,365400000.0,52800000.0,33000000.0,353000000.0,519600000.0,,170700000.0,26600000.0,322300000.0,28400000.0,610700000.0,-49800000.0,660500000.0,78400000.0,20900000.0,57500000.0,57500000.0,-214100000.0,-38600000.0,270400000.0,6200000.0,-714800000.0,75100000.0,,55800000.0,19300000.0,232000000.0,,-47300000.0,0.0,0.0,6200000.0,6200000.0,423800000.0,192000000.0,,192000000.0,231800000.0,-38600000.0,270400000.0,-713400000.0,,2800000.0,-6900000.0,8900000.0,-15800000.0,-709300000.0,5500000.0,-714800000.0,500700000.0,-10100000.0,132200000.0,-28000000.0,-2400000.0,12400000.0,-50300000.0,187100000.0,74700000.0,4000000.0,0.0,313300000.0,36100000.0,277200000.0,,1800000.0,-15200000.0
2024-03-31,-204008.29302,0.170007,532300000.0,-1200000.0,-1200000.0,120100000.0,296700000.0,2724600000.0,538700000.0,234400000.0,-95400000.0,89700000.0,1900000.0,121095991.70698,120100000.0,4430300000.0,11600000.0,14297288.0,14297288.0,8.400194,8.400194,120100000.0,120100000.0,0.0,120100000.0,0.0,120100000.0,120100000.0,24600000.0,144700000.0,2300000.0,-1200000.0,1200000.0,0.0,-95400000.0,7600000.0,89700000.0,1900000.0,232500000.0,1705700000.0,963200000.0,296700000.0,29400000.0,267300000.0,161600000.0,130500000.0,31100000.0,11600000.0,1938200000.0,2654300000.0,4662800000.0,4662800000.0,14297288.0,14297288.0,234700000.0,487700000.0,3337900000.0,4127300000.0,824300000.0,3337900000.0,197200000.0,3836800000.0,3850600000.0,3836800000.0,3836800000.0,300000.0,879100000.0,2492200000.0,143000000.0,143000000.0,1144500000.0,199300000.0,,47500000.0,151800000.0,138000000.0,13800000.0,47500000.0,945200000.0,35700000.0,335900000.0,59200000.0,276700000.0,11100000.0,11100000.0,598200000.0,102400000.0,0.0,5400000.0,490400000.0,4981300000.0,3211800000.0,-100000.0,68400000.0,346600000.0,32500000.0,32500000.0,498900000.0,487900000.0,11000000.0,2244000000.0,-1475200000.0,3719200000.0,123400000.0,598800000.0,1307700000.0,683600000.0,1005700000.0,0.0,1769500000.0,255300000.0,52800000.0,21200000.0,242800000.0,469300000.0,,101300000.0,31500000.0,336500000.0,124700000.0,797800000.0,-49800000.0,847600000.0,60900000.0,5100000.0,55800000.0,55800000.0,-211500000.0,-547500000.0,56400000.0,783800000.0,-483200000.0,55800000.0,,15700000.0,40100000.0,219900000.0,,-55900000.0,775000000.0,775000000.0,8800000.0,8800000.0,-365400000.0,125700000.0,,125700000.0,-491100000.0,-547500000.0,56400000.0,-451500000.0,,2400000.0,11800000.0,11800000.0,,-465700000.0,17500000.0,-483200000.0,271700000.0,-12000000.0,-250400000.0,-14400000.0,-85100000.0,-127700000.0,101000000.0,-116900000.0,88200000.0,1600000.0,1700000.0,296700000.0,29400000.0,267300000.0,,1200000.0,144700000.0
2023-03-31,-16110000.0,0.3,495100000.0,-53700000.0,-53700000.0,87300000.0,247100000.0,2310200000.0,441400000.0,194300000.0,-109600000.0,107800000.0,3500000.0,124890000.0,87300000.0,3777200000.0,7500000.0,12763158.0,12728289.0,6.84,6.87,87300000.0,87300000.0,0.0,87300000.0,0.0,87300000.0,87200000.0,-700000.0,86500000.0,1300000.0,-53700000.0,-2200000.0,55900000.0,-109600000.0,5300000.0,107800000.0,3500000.0,256500000.0,1467000000.0,833500000.0,247100000.0,21000000.0,226100000.0,183700000.0,157000000.0,26700000.0,7500000.0,1723500000.0,2310200000.0,4033700000.0,4033700000.0,12728289.0,12728289.0,640100000.0,961900000.0,2706100000.0,3585600000.0,535400000.0,2706100000.0,306100000.0,2929800000.0,3312400000.0,2929800000.0,2929800000.0,264100000.0,759900000.0,1468800000.0,127300000.0,127300000.0,1665700000.0,637000000.0,10000000.0,54000000.0,583000000.0,200400000.0,382600000.0,54000000.0,1028700000.0,43200000.0,378900000.0,105700000.0,273200000.0,11900000.0,11900000.0,519800000.0,108500000.0,0.0,4200000.0,519800000.0,4595500000.0,3031400000.0,-2300000.0,56600000.0,357600000.0,27500000.0,27500000.0,223700000.0,212700000.0,11000000.0,2387800000.0,-1208700000.0,3596500000.0,0.0,598800000.0,1311400000.0,680600000.0,1005700000.0,0.0,1564100000.0,223800000.0,0.0,37900000.0,211300000.0,570300000.0,,15800000.0,191600000.0,362900000.0,45600000.0,683300000.0,-48100000.0,731400000.0,86700000.0,71000000.0,15700000.0,15700000.0,20300000.0,-97700000.0,340200000.0,185800000.0,-213000000.0,15700000.0,,20300000.0,-4600000.0,-28700000.0,,-75400000.0,0.0,0.0,185800000.0,185800000.0,-800000.0,-243300000.0,-243300000.0,,242500000.0,-97700000.0,340200000.0,-209200000.0,,1900000.0,-3700000.0,11200000.0,-14900000.0,-207400000.0,5600000.0,-213000000.0,233300000.0,12600000.0,-279600000.0,9700000.0,-154800000.0,153100000.0,-180500000.0,-106800000.0,105900000.0,1600000.0,4800000.0,247100000.0,21000000.0,226100000.0,,-1300000.0,86500000.0
2022-03-31,133056.478405,0.03696,130300000.0,3600000.0,3600000.0,-231900000.0,267600000.0,1529500000.0,133900000.0,-133700000.0,-111500000.0,107100000.0,3600000.0,-235366943.521595,-231900000.0,2896700000.0,6000000.0,12713939.0,12713939.0,-18.74,-18.74,-231900000.0,-231900000.0,0.0,-231900000.0,0.0,-231900000.0,-231900000.0,-8900000.0,-240800000.0,2900000.0,3600000.0,-3600000.0,,-111500000.0,8000000.0,107100000.0,3600000.0,-131600000.0,1367200000.0,664000000.0,267600000.0,16500000.0,251100000.0,163100000.0,130900000.0,32200000.0,6000000.0,1235600000.0,1529500000.0,2765100000.0,2765100000.0,12713939.0,12713939.0,637100000.0,1023200000.0,2588600000.0,3342800000.0,190300000.0,2588600000.0,365800000.0,2685400000.0,2892000000.0,2685400000.0,2685400000.0,76900000.0,706300000.0,1465400000.0,127100000.0,127100000.0,1604600000.0,523400000.0,,52800000.0,470600000.0,264000000.0,206600000.0,52800000.0,1081200000.0,-100000.0,552600000.0,101800000.0,450800000.0,13100000.0,13100000.0,509500000.0,108400000.0,200000.0,3800000.0,397100000.0,4290000000.0,3018500000.0,-242000000.0,39300000.0,341900000.0,17400000.0,17400000.0,96800000.0,85800000.0,11000000.0,2512600000.0,-983700000.0,3496300000.0,31500000.0,553000000.0,1261600000.0,644500000.0,1005700000.0,0.0,1271500000.0,94300000.0,,45600000.0,76100000.0,389900000.0,,4100000.0,45100000.0,340700000.0,105300000.0,634300000.0,-43300000.0,677600000.0,20300000.0,130200000.0,20300000.0,20300000.0,114200000.0,-362100000.0,0.0,375000000.0,-134200000.0,20300000.0,-100000.0,23800000.0,-3400000.0,-183700000.0,-100000.0,-70900000.0,,,375000000.0,375000000.0,-362100000.0,-3400000.0,-3400000.0,,-358700000.0,-358700000.0,0.0,-68100000.0,,2200000.0,-4800000.0,0.0,-4800000.0,-65500000.0,68700000.0,-134200000.0,248400000.0,7000000.0,146900000.0,16900000.0,5700000.0,65500000.0,-109500000.0,163600000.0,68700000.0,1900000.0,0.0,267600000.0,16500000.0,251100000.0,700000.0,-3600000.0,-240800000.0
