,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Net Income Including Noncontrolling Interests,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_Selling And Marketing Expense,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Non Current Pension And Other Postretirement Benefit Plans,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Deferred Taxes Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Pensionand Other Post Retirement Benefit Plans Current,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Dividends Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Investmentin Financial Assets,Balance_Available For Sale Securities,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Hedging Assets Current,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Finished Goods,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Taxes Receivable,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Other Cash Adjustment Outside Changein Cash,CashFlow_Beginning Cash Position,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Cash Dividends Paid,CashFlow_Common Stock Dividend Paid,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Payable,CashFlow_Change In Inventory,CashFlow_Change In Receivables,CashFlow_Other Non Cash Items,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Net Income From Continuing Operations
2025-03-31,1123080.0,0.2674,2194300000.0,4200000.0,4200000.0,1010700000.0,719900000.0,14139500000.0,2198500000.0,1478600000.0,-41800000.0,99000000.0,105800000.0,1007623080.0,1010700000.0,19375900000.0,17600000.0,293527510.0,293527510.0,3.44,3.44,1010700000.0,1010700000.0,0.0,1010700000.0,1010700000.0,1010700000.0,368900000.0,1379600000.0,29800000.0,-600000.0,-200000.0,800000.0,-41800000.0,48600000.0,99000000.0,105800000.0,1306000000.0,5236400000.0,1765100000.0,719900000.0,719900000.0,678600000.0,622100000.0,56500000.0,17600000.0,6542400000.0,14139500000.0,20681900000.0,20681900000.0,293527510.0,293527510.0,388700000.0,1170400000.0,16740600000.0,18047000000.0,5414300000.0,16740600000.0,0.0,16876600000.0,16876600000.0,16876600000.0,16876600000.0,16289500000.0,14020700000.0,2257200000.0,587100000.0,587100000.0,6944100000.0,845000000.0,,66900000.0,,778100000.0,0.0,,0.0,66900000.0,6099100000.0,199800000.0,,1170400000.0,0.0,1170400000.0,19700000.0,19700000.0,4576300000.0,288100000.0,12600000.0,,4275600000.0,23820700000.0,12307300000.0,128000000.0,91400000.0,243500000.0,243500000.0,136000000.0,136000000.0,11827000000.0,-3701200000.0,15528200000.0,243300000.0,5300000.0,11565800000.0,2112900000.0,1600900000.0,0.0,11513400000.0,596100000.0,0.0,,492500000.0,449900000.0,3606200000.0,1376700000.0,386200000.0,1843300000.0,202500000.0,3400000.0,5136900000.0,-26300000.0,5163200000.0,1622000000.0,840300000.0,781700000.0,,781700000.0,-349300000.0,,,,-2135500000.0,781700000.0,,76900000.0,704800000.0,460400000.0,-147600000.0,-234800000.0,-234800000.0,,,842800000.0,842800000.0,,,,,-1541800000.0,1500000.0,123300000.0,459100000.0,459100000.0,0.0,-2125700000.0,9800000.0,-2135500000.0,1786200000.0,-183200000.0,-208700000.0,-460500000.0,642200000.0,-390400000.0,41500000.0,719900000.0,719900000.0,-4300000.0,38800000.0,1800000.0,1379600000.0
2024-03-31,754000.0,0.26,2551100000.0,2900000.0,2900000.0,1344300000.0,629100000.0,14231000000.0,2554000000.0,1924900000.0,-21100000.0,108400000.0,139900000.0,1342154000.0,1344300000.0,19510300000.0,17100000.0,293527510.0,293527510.0,4.58,4.58,1344300000.0,1344300000.0,0.0,1344300000.0,1344300000.0,1344300000.0,472200000.0,1816500000.0,24600000.0,-600000.0,-1000000.0,1600000.0,-21100000.0,52600000.0,108400000.0,139900000.0,1679300000.0,5279300000.0,2182300000.0,629100000.0,629100000.0,579400000.0,512500000.0,66900000.0,17100000.0,6958600000.0,14231000000.0,21189600000.0,21189600000.0,293527510.0,293527510.0,250700000.0,327600000.0,15987600000.0,16442700000.0,5597700000.0,15987600000.0,0.0,16115100000.0,16115100000.0,16115100000.0,16115100000.0,15528000000.0,13244800000.0,2257200000.0,587100000.0,587100000.0,6328900000.0,728900000.0,400000.0,67100000.0,,661400000.0,0.0,0.0,0.0,67100000.0,5600000000.0,235800000.0,,327600000.0,0.0,327600000.0,33900000.0,33900000.0,4914200000.0,211200000.0,11200000.0,,4691800000.0,22444000000.0,11246300000.0,243500000.0,90900000.0,465100000.0,465100000.0,127500000.0,127500000.0,10365100000.0,-3010300000.0,13375400000.0,1149500000.0,6700000.0,9320300000.0,1486500000.0,1412400000.0,0.0,11197700000.0,-5900000.0,6000000.0,,307200000.0,587100000.0,4248400000.0,1649500000.0,448500000.0,2150400000.0,118600000.0,67600000.0,4712300000.0,-16500000.0,4728800000.0,1150500000.0,1073600000.0,76900000.0,,76900000.0,156100000.0,,,,-2741700000.0,76900000.0,,13900000.0,63000000.0,-925000000.0,-161000000.0,-293500000.0,-293500000.0,,,-468700000.0,-468700000.0,,,,,-1909800000.0,900000.0,134800000.0,677700000.0,680100000.0,-2400000.0,-2723200000.0,18500000.0,-2741700000.0,2897800000.0,-420200000.0,903300000.0,1619900000.0,-993200000.0,276600000.0,19500000.0,629100000.0,629100000.0,-3300000.0,-47700000.0,-1000000.0,1816500000.0
2023-03-31,-944866.8,0.262463,2458600000.0,-3600000.0,-3600000.0,1391400000.0,461600000.0,15767100000.0,2455000000.0,1993400000.0,2600000.0,106900000.0,167300000.0,1394055133.2,1391400000.0,20215200000.0,3900000.0,293527510.0,293527510.0,4.74,4.74,1391400000.0,1391400000.0,0.0,1391400000.0,1391400000.0,1391400000.0,495100000.0,1886500000.0,15200000.0,-5900000.0,5900000.0,0.0,2600000.0,57800000.0,106900000.0,167300000.0,1801700000.0,4448100000.0,1778600000.0,461600000.0,461600000.0,676800000.0,618500000.0,58300000.0,3900000.0,6249800000.0,15767100000.0,22016900000.0,22016900000.0,293527510.0,293527510.0,782400000.0,798100000.0,14986800000.0,15873500000.0,4641300000.0,14986800000.0,1800000.0,15077200000.0,15077200000.0,15077200000.0,15077200000.0,14490100000.0,12194000000.0,2257200000.0,587100000.0,587100000.0,5144100000.0,581500000.0,1400000.0,16500000.0,,563600000.0,0.0,0.0,0.0,16500000.0,4562600000.0,170400000.0,,798100000.0,1800000.0,796300000.0,81300000.0,81300000.0,3438400000.0,287200000.0,9000000.0,,3142200000.0,20221300000.0,11017400000.0,90100000.0,69000000.0,2040700000.0,2040700000.0,90400000.0,90400000.0,8353900000.0,-2424700000.0,10778600000.0,842300000.0,15000000.0,7848000000.0,1368900000.0,704400000.0,0.0,9203900000.0,410700000.0,2500000.0,0.0,57500000.0,410700000.0,3255200000.0,1097000000.0,618500000.0,1539700000.0,221300000.0,17500000.0,5052800000.0,-14100000.0,5066900000.0,186400000.0,172500000.0,13900000.0,,13900000.0,-895500000.0,,,,-2118200000.0,13900000.0,,32300000.0,-18400000.0,-41100000.0,-164000000.0,-235000000.0,-235000000.0,,,368800000.0,368800000.0,,,,,-1200000000.0,-83600000.0,177300000.0,802300000.0,978400000.0,-176100000.0,-2096000000.0,22200000.0,-2118200000.0,1222700000.0,-471000000.0,-636900000.0,-1049900000.0,843700000.0,-430700000.0,-3300000.0,461600000.0,461600000.0,-100000.0,-19700000.0,5900000.0,1886500000.0
2022-03-31,-37739900.8,0.254312,2853800000.0,-148400000.0,-148400000.0,1676700000.0,432600000.0,15966600000.0,2705400000.0,2272800000.0,97500000.0,24300000.0,180400000.0,1787360099.2,1676700000.0,19521800000.0,2300000.0,293527510.0,293527510.0,5.712,5.712,1676700000.0,1676700000.0,0.0,1676700000.0,1676700000.0,1676700000.0,571800000.0,2248500000.0,33100000.0,-150200000.0,150200000.0,,97500000.0,58600000.0,24300000.0,180400000.0,2161900000.0,3555200000.0,1151100000.0,432600000.0,432600000.0,713400000.0,668400000.0,45000000.0,2300000.0,5717100000.0,15966600000.0,21683700000.0,21683700000.0,293527510.0,293527510.0,395200000.0,439500000.0,13889300000.0,14352300000.0,5674200000.0,13889300000.0,12000000.0,13924800000.0,13924800000.0,13924800000.0,13924800000.0,13335700000.0,11037600000.0,2257200000.0,587100000.0,587100000.0,5698200000.0,564200000.0,500000.0,,,531800000.0,1800000.0,1800000.0,0.0,30100000.0,5134000000.0,211300000.0,,437700000.0,10200000.0,427500000.0,73400000.0,73400000.0,4270900000.0,170900000.0,7100000.0,,4092900000.0,19623000000.0,8814800000.0,103000000.0,66100000.0,1850600000.0,1850600000.0,35500000.0,35500000.0,6668000000.0,-2015200000.0,8683200000.0,1063400000.0,24000000.0,6034200000.0,1000900000.0,560700000.0,0.0,10808200000.0,348800000.0,3200000.0,5600000.0,863800000.0,343200000.0,4098900000.0,927500000.0,597000000.0,2574400000.0,226600000.0,9100000.0,4698000000.0,-13900000.0,4711900000.0,559800000.0,527500000.0,32300000.0,0.0,32300000.0,-602400000.0,,427500000.0,,-1532900000.0,32300000.0,1000000.0,323400000.0,-291100000.0,-16400000.0,-81100000.0,-352200000.0,-352200000.0,,,427500000.0,427500000.0,,427500000.0,,427500000.0,-1205200000.0,-101300000.0,186000000.0,224100000.0,235500000.0,-11400000.0,-1514000000.0,18900000.0,-1532900000.0,930500000.0,-625800000.0,-1023400000.0,1831900000.0,-1147500000.0,-1707800000.0,-99300000.0,432600000.0,432600000.0,-200000.0,-12800000.0,10900000.0,2248500000.0
