,Income_Tax Effect Of Unusual Items,Income_Tax Rate For Calcs,Income_Normalized EBITDA,Income_Total Unusual Items,Income_Total Unusual Items Excluding Goodwill,Income_Net Income From Continuing Operation Net Minority Interest,Income_Reconciled Depreciation,Income_Reconciled Cost Of Revenue,Income_EBITDA,Income_EBIT,Income_Net Interest Income,Income_Interest Expense,Income_Interest Income,Income_Normalized Income,Income_Net Income From Continuing And Discontinued Operation,Income_Total Expenses,Income_Rent Expense Supplemental,Income_Diluted Average Shares,Income_Basic Average Shares,Income_Diluted EPS,Income_Basic EPS,Income_Diluted NI Availto Com Stockholders,Income_Net Income Common Stockholders,Income_Otherunder Preferred Stock Dividend,Income_Net Income,Income_Minority Interests,Income_Net Income Including Noncontrolling Interests,Income_Net Income Discontinuous Operations,Income_Net Income Continuous Operations,Income_Tax Provision,Income_Pretax Income,Income_Other Non Operating Income Expenses,Income_Special Income Charges,Income_Other Special Charges,Income_Write Off,Income_Net Non Operating Interest Income Expense,Income_Total Other Finance Cost,Income_Interest Expense Non Operating,Income_Interest Income Non Operating,Income_Operating Income,Income_Operating Expense,Income_Other Operating Expenses,Income_Depreciation And Amortization In Income Statement,Income_Amortization,Income_Depreciation Income Statement,Income_Selling General And Administration,Income_General And Administrative Expense,Income_Rent And Landing Fees,Income_Gross Profit,Income_Cost Of Revenue,Income_Total Revenue,Income_Operating Revenue,Balance_Ordinary Shares Number,Balance_Share Issued,Balance_Net Debt,Balance_Total Debt,Balance_Tangible Book Value,Balance_Invested Capital,Balance_Working Capital,Balance_Net Tangible Assets,Balance_Capital Lease Obligations,Balance_Common Stock Equity,Balance_Total Capitalization,Balance_Total Equity Gross Minority Interest,Balance_Minority Interest,Balance_Stockholders Equity,Balance_Other Equity Interest,Balance_Retained Earnings,Balance_Additional Paid In Capital,Balance_Capital Stock,Balance_Common Stock,Balance_Total Liabilities Net Minority Interest,Balance_Total Non Current Liabilities Net Minority Interest,Balance_Other Non Current Liabilities,Balance_Preferred Securities Outside Stock Equity,Balance_Derivative Product Liabilities,Balance_Tradeand Other Payables Non Current,Balance_Non Current Deferred Revenue,Balance_Non Current Deferred Taxes Liabilities,Balance_Long Term Debt And Capital Lease Obligation,Balance_Long Term Capital Lease Obligation,Balance_Long Term Debt,Balance_Long Term Provisions,Balance_Current Liabilities,Balance_Other Current Liabilities,Balance_Current Debt And Capital Lease Obligation,Balance_Current Capital Lease Obligation,Balance_Current Debt,Balance_Current Provisions,Balance_Payables,Balance_Other Payable,Balance_Total Tax Payable,Balance_Accounts Payable,Balance_Total Assets,Balance_Total Non Current Assets,Balance_Other Non Current Assets,Balance_Non Current Prepaid Assets,Balance_Non Current Deferred Taxes Assets,Balance_Investmentin Financial Assets,Balance_Held To Maturity Securities,Balance_Available For Sale Securities,Balance_Financial Assets Designatedas Fair Value Through Profitor Loss Total,Balance_Long Term Equity Investment,Balance_Investment Properties,Balance_Goodwill And Other Intangible Assets,Balance_Other Intangible Assets,Balance_Goodwill,Balance_Net PPE,Balance_Accumulated Depreciation,Balance_Gross PPE,Balance_Construction In Progress,Balance_Other Properties,Balance_Machinery Furniture Equipment,Balance_Buildings And Improvements,Balance_Land And Improvements,Balance_Properties,Balance_Current Assets,Balance_Other Current Assets,Balance_Assets Held For Sale Current,Balance_Restricted Cash,Balance_Prepaid Assets,Balance_Inventory,Balance_Work In Process,Balance_Raw Materials,Balance_Other Receivables,Balance_Accounts Receivable,Balance_Allowance For Doubtful Accounts Receivable,Balance_Gross Accounts Receivable,Balance_Cash Cash Equivalents And Short Term Investments,Balance_Other Short Term Investments,Balance_Cash And Cash Equivalents,Balance_Cash Equivalents,Balance_Cash Financial,CashFlow_Free Cash Flow,CashFlow_Repayment Of Debt,CashFlow_Issuance Of Debt,CashFlow_Issuance Of Capital Stock,CashFlow_Capital Expenditure,CashFlow_End Cash Position,CashFlow_Beginning Cash Position,CashFlow_Effect Of Exchange Rate Changes,CashFlow_Changes In Cash,CashFlow_Financing Cash Flow,CashFlow_Interest Paid Cff,CashFlow_Net Common Stock Issuance,CashFlow_Common Stock Issuance,CashFlow_Net Issuance Payments Of Debt,CashFlow_Net Short Term Debt Issuance,CashFlow_Short Term Debt Payments,CashFlow_Short Term Debt Issuance,CashFlow_Net Long Term Debt Issuance,CashFlow_Long Term Debt Payments,CashFlow_Long Term Debt Issuance,CashFlow_Investing Cash Flow,CashFlow_Net Other Investing Changes,CashFlow_Interest Received Cfi,CashFlow_Dividends Received Cfi,CashFlow_Net Investment Purchase And Sale,CashFlow_Sale Of Investment,CashFlow_Purchase Of Investment,CashFlow_Net Business Purchase And Sale,CashFlow_Sale Of Business,CashFlow_Purchase Of Business,CashFlow_Net PPE Purchase And Sale,CashFlow_Sale Of PPE,CashFlow_Purchase Of PPE,CashFlow_Operating Cash Flow,CashFlow_Taxes Refund Paid,CashFlow_Change In Working Capital,CashFlow_Change In Other Current Liabilities,CashFlow_Change In Other Current Assets,CashFlow_Change In Payable,CashFlow_Other Non Cash Items,CashFlow_Provisionand Write Offof Assets,CashFlow_Depreciation And Amortization,CashFlow_Depreciation,CashFlow_Gain Loss On Investment Securities,CashFlow_Net Foreign Currency Exchange Gain Loss,CashFlow_Gain Loss On Sale Of PPE,CashFlow_Gain Loss On Sale Of Business,CashFlow_Net Income From Continuing Operations
2025-03-31,415864719.526201,0.021607,18683000000.0,19246800000.0,19246800000.0,16031800000.0,6515000000.0,38348000000.0,37929800000.0,31414800000.0,-13613800000.0,13652000000.0,2096300000.0,-2799135280.473799,14175300000.0,51965900000.0,1041100000.0,684054254.0,684054254.0,20.72,20.72,14175300000.0,14175300000.0,0.0,14175300000.0,-1347200000.0,15522500000.0,-1856500000.0,17379000000.0,383800000.0,17762800000.0,2680100000.0,18995200000.0,-18997200000.0,2000000.0,-13613800000.0,2058100000.0,13652000000.0,2096300000.0,10884000000.0,13617900000.0,2754300000.0,5998500000.0,1590600000.0,4407900000.0,1232700000.0,1232700000.0,1041100000.0,24501900000.0,38348000000.0,62849900000.0,62849900000.0,714836194.0,714836194.0,95399300000.0,102495800000.0,-143600000.0,108155100000.0,9239400000.0,-143600000.0,209800000.0,5869100000.0,93476800000.0,7177300000.0,1308200000.0,5869100000.0,677900000.0,-104440100000.0,117908400000.0,3574200000.0,3574200000.0,162690000000.0,99754800000.0,205200000.0,97000000.0,6618800000.0,1387500000.0,1723500000.0,753700000.0,87779300000.0,171600000.0,87607700000.0,1359200000.0,62935200000.0,8608900000.0,14716500000.0,38200000.0,14678300000.0,4202000000.0,31308200000.0,19373100000.0,385500000.0,11549600000.0,169867300000.0,97692700000.0,510700000.0,715000000.0,38300000.0,1136400000.0,0.0,9167000000.0,1136400000.0,40000000.0,1650200000.0,6012700000.0,5643400000.0,369300000.0,79103500000.0,-8699000000.0,87802500000.0,6902900000.0,19800000.0,66936700000.0,9617100000.0,4326000000.0,0.0,72174600000.0,6942400000.0,9487400000.0,2062700000.0,7022600000.0,3948400000.0,0.0,3948400000.0,22329600000.0,17049400000.0,-68200000.0,17117600000.0,10274500000.0,3387800000.0,6886700000.0,3408900000.0,3477800000.0,25624200000.0,-26253700000.0,10405900000.0,,-2703200000.0,6894300000.0,4307300000.0,24000000.0,2563000000.0,-24173000000.0,-8833100000.0,,,-15286300000.0,561500000.0,,,-15847800000.0,-26253700000.0,10405900000.0,-1591400000.0,,2071100000.0,,-3292500000.0,,-3292500000.0,0.0,0.0,0.0,-906600000.0,1796600000.0,-2703200000.0,28327400000.0,-21700000.0,-21190500000.0,,-5553900000.0,-15636600000.0,26408900000.0,-481600000.0,6515000000.0,6515000000.0,-199100000.0,167100000.0,-61900000.0,-50400000.0,15906300000.0
2024-03-31,1381800000.0,0.3,11602600000.0,4606000000.0,4606000000.0,-577400000.0,3068500000.0,28555200000.0,16208600000.0,13140100000.0,-11024100000.0,13625600000.0,3741300000.0,-3801600000.0,-1030300000.0,36210600000.0,532400000.0,603594528.0,603594528.0,-1.71,-1.71,-1030300000.0,-1030300000.0,0.0,-1030300000.0,244400000.0,-1274700000.0,-452900000.0,-821800000.0,336300000.0,-485500000.0,1251100000.0,4555100000.0,-4560000000.0,4900000.0,-11024100000.0,1139800000.0,13625600000.0,3741300000.0,6322200000.0,7655400000.0,1883500000.0,2862700000.0,1354700000.0,1508000000.0,1083100000.0,1083100000.0,532400000.0,13977600000.0,28555200000.0,42532800000.0,42532800000.0,603594528.0,603594528.0,134159700000.0,138669200000.0,-53416300000.0,109289700000.0,-37457900000.0,-53416300000.0,207300000.0,-29172200000.0,87582500000.0,-29823100000.0,-650900000.0,-29172200000.0,677900000.0,-118612000000.0,100109800000.0,3018000000.0,3018000000.0,224510100000.0,129624000000.0,1600000.0,86900000.0,6191700000.0,2366400000.0,1887500000.0,443300000.0,116916900000.0,162200000.0,116754700000.0,1478700000.0,94886100000.0,8317500000.0,21752300000.0,45100000.0,21707200000.0,7590900000.0,51800200000.0,25469000000.0,372400000.0,25958800000.0,194687000000.0,137258800000.0,3900000.0,827200000.0,18500000.0,2153200000.0,1056800000.0,11610000000.0,1096400000.0,1978600000.0,3397100000.0,24244100000.0,23874800000.0,369300000.0,85371900000.0,-5110000000.0,90481900000.0,4374000000.0,19800000.0,72027100000.0,9560900000.0,4500100000.0,0.0,57428200000.0,4728700000.0,3195300000.0,1323300000.0,4709600000.0,2118800000.0,92400000.0,2026400000.0,22804900000.0,15410400000.0,-321000000.0,15731400000.0,7865900000.0,3563700000.0,4302200000.0,1959700000.0,2342500000.0,15916500000.0,-29382600000.0,27543400000.0,,-986300000.0,4307300000.0,9659700000.0,8400000.0,-5360800000.0,-13237200000.0,-10247800000.0,,,-2879900000.0,-1040700000.0,,,-1839200000.0,-29382600000.0,27543400000.0,-9026400000.0,-100000.0,1164400000.0,0.0,-8328700000.0,,-8328700000.0,-1573800000.0,162000000.0,-1735800000.0,-397000000.0,589300000.0,-986300000.0,16902800000.0,-45700000.0,6950600000.0,,5757200000.0,1193400000.0,6458200000.0,-185100000.0,3068500000.0,3068500000.0,-15700000.0,230000000.0,-137800000.0,-30300000.0,-938400000.0
2023-03-31,906463491.485725,0.073384,13969900000.0,12352300000.0,12352300000.0,12145700000.0,1513900000.0,46282900000.0,26322200000.0,24808300000.0,-9200800000.0,12170700000.0,4299700000.0,699863491.485725,11827900000.0,51523500000.0,416100000.0,603594528.0,603594528.0,19.6,19.6,11827900000.0,11827900000.0,0.0,11827900000.0,435500000.0,11392400000.0,-317800000.0,11710200000.0,927400000.0,12637600000.0,1161900000.0,12319400000.0,-12319400000.0,0.0,-9200800000.0,1329800000.0,12170700000.0,4299700000.0,668400000.0,5240600000.0,1127600000.0,1492200000.0,1131900000.0,360300000.0,1615800000.0,1615800000.0,416100000.0,5909000000.0,46282900000.0,52191900000.0,52191900000.0,603594528.0,603594528.0,72276100000.0,82079000000.0,-46882400000.0,55717800000.0,-26103600000.0,-46882400000.0,147600000.0,-26213600000.0,38516400000.0,-27414800000.0,-1201200000.0,-26213600000.0,675900000.0,-117607800000.0,100109800000.0,3018000000.0,3018000000.0,145440100000.0,69988000000.0,189400000.0,78400000.0,0.0,2449600000.0,1707700000.0,0.0,64783700000.0,53700000.0,64730000000.0,688500000.0,75452100000.0,109800000.0,17295300000.0,93900000.0,17201400000.0,6408500000.0,39163800000.0,13004300000.0,124400000.0,26035100000.0,118025300000.0,68676800000.0,622700000.0,224800000.0,41200000.0,11906100000.0,10999100000.0,20212400000.0,907000000.0,9034700000.0,5502700000.0,20668800000.0,20668800000.0,0.0,3419000000.0,-2836000000.0,6255000000.0,470000000.0,106200000.0,4786300000.0,738900000.0,153600000.0,0.0,49348500000.0,1394400000.0,2062200000.0,614900000.0,1400200000.0,502500000.0,0.0,502500000.0,28727600000.0,5446900000.0,-304300000.0,5751200000.0,10594200000.0,938900000.0,9655300000.0,5448100000.0,4207200000.0,12058400000.0,-42822300000.0,11263000000.0,,-244900000.0,9659700000.0,4556500000.0,259300000.0,4843900000.0,-38397300000.0,-10854400000.0,,,-27484800000.0,4074500000.0,,4074500000.0,-31559300000.0,-42822300000.0,11263000000.0,30937900000.0,,1479000000.0,8060100000.0,-7690400000.0,0.0,-7690400000.0,34335500000.0,34335500000.0,0.0,706800000.0,951700000.0,-244900000.0,12303300000.0,-936900000.0,10600000000.0,,7724700000.0,2875300000.0,-3278000000.0,-226800000.0,1513900000.0,1513900000.0,-5600000.0,294300000.0,-535400000.0,-27300000.0,12319800000.0
2022-03-31,45270000.0,0.3,9215500000.0,150900000.0,150900000.0,-6475100000.0,1281600000.0,31971000000.0,9366400000.0,8084800000.0,-13544900000.0,13544900000.0,3808700000.0,-6580730000.0,-6475400000.0,37113800000.0,534800000.0,603485555.0,603485555.0,-10.73,-10.73,-6475400000.0,-6475400000.0,0.0,-6475400000.0,40300000.0,-6515700000.0,-300000.0,-6515400000.0,1055300000.0,-5460100000.0,1798900000.0,150900000.0,-150900000.0,152900000.0,-13544900000.0,305600000.0,13544900000.0,3808700000.0,3904300000.0,5142800000.0,3145600000.0,1281600000.0,906700000.0,1281600000.0,759800000.0,759800000.0,534800000.0,9047100000.0,31971000000.0,41018100000.0,41018100000.0,603594528.0,603594528.0,99395200000.0,104060200000.0,-43444700000.0,82302500000.0,-45849000000.0,-43444700000.0,113300000.0,-21644400000.0,52499700000.0,-22325300000.0,-680900000.0,-21644400000.0,2970100000.0,-125528100000.0,100109800000.0,3018000000.0,3018000000.0,163051700000.0,77162600000.0,144700000.0,70800000.0,0.0,416500000.0,1549200000.0,,74173400000.0,29300000.0,74144100000.0,495600000.0,85889100000.0,65000000.0,29886800000.0,84000000.0,29802800000.0,7517300000.0,33853400000.0,9145300000.0,217900000.0,24490200000.0,140726400000.0,100686300000.0,236700000.0,335700000.0,44000000.0,6095800000.0,5000000000.0,16251900000.0,1095800000.0,43224100000.0,5274200000.0,21800300000.0,21800300000.0,,3057700000.0,-2703200000.0,5760900000.0,,3057700000.0,4771700000.0,834300000.0,154900000.0,0.0,40040100000.0,2210000000.0,3507800000.0,29300000.0,2271400000.0,871300000.0,,871300000.0,21300400000.0,6229400000.0,-360300000.0,6589700000.0,5830500000.0,1278800000.0,4551700000.0,1212800000.0,3338900000.0,10629300000.0,-23502400000.0,13602400000.0,,-1516900000.0,4556500000.0,1866900000.0,7400000.0,2682200000.0,-22130600000.0,-12203500000.0,,,-9900000000.0,-3276800000.0,-3276800000.0,,-6623200000.0,-20225600000.0,13602400000.0,12666600000.0,,2824100000.0,8425300000.0,-820700000.0,4179300000.0,-5000000000.0,0.0,0.0,,501200000.0,2018100000.0,-1516900000.0,12146200000.0,-918700000.0,9718800000.0,4416300000.0,4416300000.0,5302500000.0,9482800000.0,178000000.0,1281600000.0,1281600000.0,440800000.0,231000000.0,-346000000.0,,-5460400000.0
